"symbol1","symbol2","MF","BP","CC"
"ACHE","CAMK2A",0.578,0.407,0.677
"ACHE","HAND1",0.557,0.428,0.651
"ACP5","CD68",NA,0.049,0.722
"ACTA1","ACTA2",0.681,0.676,0.826
"ACTA1","ACTN4",0.619,0.35,0.727
"ACTA1","AKT1",0.624,0.354,0.675
"ACTA1","ARF1",0.68,0.188,0.682
"ACTA1","CSK",0.589,0.237,0.67
"ACTA1","DDOST",0.514,0.195,0.545
"ACTA1","EEF2",0.622,0.248,0.65
"ACTA1","EIF4A2",0.616,0.186,0.443
"ACTA1","EIF5A",0.568,0.273,0.55
"ACTA1","HSPB1",0.58,0.358,0.723
"ACTA1","LAMA5",0.372,0.399,0.628
"ACTA1","PFDN1",0.36,NA,NA
"ACTA1","PGK1",0.691,0.373,0.622
"ACTA1","RAPSN",0.316,0.088,0.559
"ACTA1","RPL4",0.707,0.265,0.64
"ACTA1","RPLP0",0.645,0.301,0.619
"ACTA1","RPLP2",0.684,0.265,0.595
"ACTA1","RPS9",0.633,0.343,0.645
"ACTA1","TMSB4X",0.65,0.305,0.684
"ACTA1","TNNI1",1,0.622,0.598
"ACTA1","TNNI2",0.602,0.739,0.649
"ACTA1","TPM2",0.574,0.591,0.693
"ACTA1","TMSB4Y",0.596,0.36,0.871
"ACTA1","GSPT2",0.586,0.243,0.425
"ACTA1","CTNNBL1",0.656,0.253,0.475
"ACTA1","TUBB",0.766,0.327,0.735
"ACTA1","HIST1H2AA",0.75,0.33,0.582
"ACTA1","TUBB2B",0.813,0.296,0.663
"ACTA2","ACTN4",0.681,0.342,0.787
"ACTA2","KLF6",0.681,0.552,0.697
"ACTA2","EEF2",1,0.368,0.781
"ACTA2","EIF5A",0.681,0.336,0.691
"ACTA2","HSPB1",1,0.448,0.791
"ACTA2","PGK1",0.681,0.354,0.759
"ACTA2","RPL4",0.681,0.354,0.768
"ACTA2","RPL7",0.681,0.344,0.718
"ACTA2","RPLP0",0.681,0.325,0.76
"ACTA2","RPLP2",0.681,0.354,0.729
"ACTA2","RPS9",0.681,0.394,0.78
"ACTA2","RPS23",0.681,0.322,0.675
"ACTA2","SRF",0.681,0.462,0.71
"ACTA2","TMSB4X",0.866,0.331,0.807
"ACTA2","TPM2",0.452,0.379,0.542
"ACTA2","RPL14",0.681,0.347,0.731
"ACTA2","ARPC1B",0.681,0.219,0.672
"ACTA2","GSPT2",0.681,0.341,0.56
"ACTA2","PYCR2",0.681,0.233,0.526
"ACTA2","TUBB",0.681,0.346,0.765
"ACTA2","TUBB2B",0.681,0.247,0.69
"ACTN4","AP2A1",0.587,0.319,0.606
"ACTN4","AKT1",0.609,0.483,0.827
"ACTN4","CAMK2A",0.606,0.44,0.731
"ACTN4","CSK",0.615,0.292,0.774
"ACTN4","CSNK2B",0.719,0.431,0.799
"ACTN4","DNM2",0.674,0.541,0.713
"ACTN4","EEF2",0.7,0.351,0.834
"ACTN4","FAU",1,NA,NA
"ACTN4","GNB1",0.654,0.369,0.704
"ACTN4","GNB2",0.654,0.3,0.819
"ACTN4","MDH2",0.453,0.176,0.729
"ACTN4","MSN",0.676,0.368,0.828
"ACTN4","MYL6",0.551,0.22,0.739
"ACTN4","PF4",0.588,0.45,0.751
"ACTN4","PGK1",0.571,0.331,0.727
"ACTN4","RAB5C",0.633,0.399,0.633
"ACTN4","RPL4",0.664,0.303,0.85
"ACTN4","RPL7",0.734,0.321,0.81
"ACTN4","RPL8",0.475,0.321,0.685
"ACTN4","RPL27A",0.664,0.303,0.668
"ACTN4","RPLP2",0.601,0.303,0.771
"ACTN4","RPN1",0.648,0.31,0.642
"ACTN4","SET",0.574,0.391,0.792
"ACTN4","SPARC",0.598,0.498,0.788
"ACTN4","TMSB4X",0.703,0.57,0.859
"ACTN4","TNNI2",0.668,0.385,0.696
"ACTN4","TNNT3",0.608,0.249,0.596
"ACTN4","TPM2",0.618,0.265,0.639
"ACTN4","TSC2",0.632,0.423,0.745
"ACTN4","VEGFB",0.543,0.448,0.672
"ACTN4","VWF",0.669,0.38,0.713
"ACTN4","SLC9A3R2",0.661,0.481,0.7
"ACTN4","ARPC1B",0.67,0.249,0.778
"ACTN4","TRIM3",0.598,0.248,1
"ACTN4","RPL13A",0.499,0.329,0.803
"ACTN4","TUBB",0.624,0.48,0.795
"ADAR","EGR1",0.583,0.382,0.872
"ADAR","IFIT2",0.697,0.472,0.755
"ADAR","IRF2",0.636,0.659,0.755
"ADAR","IRF3",0.635,0.492,0.872
"ADAR","IRF7",0.629,0.545,0.855
"ADAR","NONO",0.664,0.417,0.796
"ADAR","NPM1",0.555,0.383,0.797
"ADAR","PCBP1",0.691,0.497,0.837
"ADAR","PSMB4",0.583,0.207,0.746
"ADAR","RPL11",0.64,0.356,0.826
"ADAR","RPS2",0.663,0.349,0.804
"ADAR","RPL35",0.582,0.291,0.803
"ADCY1","FSHR",0.081,0.443,0.827
"ADCY1","GNAI2",0.074,0.565,0.849
"ADCY1","GNB2",0.086,0.435,0.854
"ADCY1","GRM4",0,0.517,0.918
"ADCY1","HRAS",0.074,0.402,0.886
"ADCY1","HTR4",0,0.526,0.893
"ADCY1","NPY",0.003,0.399,0.865
"ADCY1","SCTR",0,0.446,0.764
"ADCY1","CXCR4",0.029,0.443,0.812
"ADCY1","ADM2",0,0.466,0.888
"ADCY1","NPW",0.201,0.423,0.888
"AP2A1","ARRB2",0.686,0.414,0.834
"AP2A1","CAMK2A",0.571,0.339,0.739
