"symbol1","symbol2","MF","BP","CC"
"ACHE","CAMK2A",0.148,0.271,0.113
"ACHE","HAND1",0.083,0.195,0.047
"ACP5","CD68",NA,0.034,0.116
"ACTA1","ACTA2",0.095,0.417,0.276
"ACTA1","ACTN4",0.175,0.236,0.22
"ACTA1","AKT1",0.125,0.158,0.143
"ACTA1","ARF1",0.148,0.117,0.165
"ACTA1","CSK",0.06,0.108,0.139
"ACTA1","DDOST",0.047,0.056,0.082
"ACTA1","EEF2",0.118,0.108,0.137
"ACTA1","EIF4A2",0.091,0.102,0.074
"ACTA1","EIF5A",0.127,0.095,0.082
"ACTA1","HSPB1",0.099,0.207,0.187
"ACTA1","LAMA5",0.161,0.226,0.159
"ACTA1","PFDN1",0.054,NA,NA
"ACTA1","PGK1",0.233,0.235,0.14
"ACTA1","RAPSN",0.095,0.022,0.15
"ACTA1","RPL4",0.195,0.093,0.156
"ACTA1","RPLP0",0.193,0.15,0.146
"ACTA1","RPLP2",0.161,0.093,0.172
"ACTA1","RPS9",0.174,0.156,0.158
"ACTA1","TMSB4X",0.169,0.241,0.132
"ACTA1","TNNI1",0.095,0.386,0.263
"ACTA1","TNNI2",0.167,0.41,0.252
"ACTA1","TPM2",0.207,0.36,0.304
"ACTA1","TMSB4Y",0.141,0.242,0.097
"ACTA1","GSPT2",0.11,0.12,0.071
"ACTA1","CTNNBL1",0.067,0.173,0.063
"ACTA1","TUBB",0.271,0.07,0.252
"ACTA1","HIST1H2AA",0.177,0.238,0.174
"ACTA1","TUBB2B",0.279,0.24,0.177
"ACTA2","ACTN4",0.095,0.166,0.176
"ACTA2","KLF6",0.095,0.244,0.079
"ACTA2","EEF2",0.414,0.162,0.148
"ACTA2","EIF5A",0.095,0.119,0.091
"ACTA2","HSPB1",0.414,0.258,0.15
"ACTA2","PGK1",0.095,0.211,0.137
"ACTA2","RPL4",0.095,0.114,0.139
"ACTA2","RPL7",0.095,0.12,0.096
"ACTA2","RPLP0",0.095,0.125,0.135
"ACTA2","RPLP2",0.095,0.114,0.149
"ACTA2","RPS9",0.095,0.159,0.14
"ACTA2","RPS23",0.095,0.124,0.112
"ACTA2","SRF",0.095,0.275,0.055
"ACTA2","TMSB4X",0.28,0.225,0.123
"ACTA2","TPM2",0.095,0.19,0.077
"ACTA2","RPL14",0.095,0.112,0.154
"ACTA2","ARPC1B",0.095,0.108,0.151
"ACTA2","GSPT2",0.095,0.126,0.099
"ACTA2","PYCR2",0.095,0.114,0.059
"ACTA2","TUBB",0.28,0.053,0.18
"ACTA2","TUBB2B",0.095,0.181,0.054
"ACTN4","AP2A1",0.122,0.212,0.158
"ACTN4","AKT1",0.126,0.261,0.148
"ACTN4","CAMK2A",0.135,0.272,0.161
"ACTN4","CSK",0.094,0.255,0.128
"ACTN4","CSNK2B",0.21,0.261,0.198
"ACTN4","DNM2",0.176,0.289,0.188
"ACTN4","EEF2",0.176,0.21,0.19
"ACTN4","FAU",0.285,NA,NA
"ACTN4","GNB1",0.119,0.143,0.171
"ACTN4","GNB2",0.119,0.106,0.194
"ACTN4","MDH2",0.102,0.073,0.137
"ACTN4","MSN",0.182,0.261,0.234
"ACTN4","MYL6",0.061,0.161,0.19
"ACTN4","PF4",0.161,0.268,0.176
"ACTN4","PGK1",0.127,0.167,0.128
"ACTN4","RAB5C",0.143,0.273,0.172
"ACTN4","RPL4",0.126,0.184,0.213
"ACTN4","RPL7",0.176,0.187,0.172
"ACTN4","RPL8",0.102,0.186,0.157
"ACTN4","RPL27A",0.126,0.184,0.128
"ACTN4","RPLP2",0.069,0.184,0.211
"ACTN4","RPN1",0.126,0.066,0.117
"ACTN4","SET",0.067,0.195,0.156
