"symbol1","symbol2","MF","BP","CC"
"ATP5G2","COX5A",NA,NA,NA
"ENTPD2","POLR2L",0.296,0.422,0.211
"FRG1","RPS9",0.618,0.729,0.486
"GLUD2","COX5A",0.288,0.679,0.817
"HCFC1","ANAPC2",1,0.357,0.553
"NFKBIB","POLR2L",0.273,0.59,1
"NFKBIB","S100A8",0.356,0.315,1
"POLR2L","RPS9",0.232,0.489,0.614
"POLR2L","ARPC1B",0.277,0.204,0.403
"POLR2L","ANAPC2",1,0.238,0.758
"POLR2L","YIF1B",NA,0,0.308
"RPS9","COX5A",0.296,0.298,0.323
"RPS9","ARPC1B",0.508,0.269,0.626
"RPS9","GSPT2",0.573,0.664,0.362
"RPS9","ANAPC2",1,0.335,0.571
"RPS9","ISYNA1",0.339,0.202,0.444
"SIX3","LHX2",1,0.72,NA
"TNFSF13","TNFRSF13B",0.501,0.68,0.155
"RABAC1","YIF1B",NA,NA,0.487
"ANAPC2","VPS28",1,0.381,0.449
"ANAPC2","PCGF6",1,0.286,0.747
