"symbol1","symbol2","MF","BP","CC"
"ATP5G2","COX5A",NA,NA,NA
"ENTPD2","POLR2L",0.236,0.374,0.117
"FRG1","RPS9",0.505,0.72,0.448
"GLUD2","COX5A",0.241,0.673,0.786
"HCFC1","ANAPC2",0.657,0.332,0.493
"NFKBIB","POLR2L",0.173,0.547,0.925
"NFKBIB","S100A8",0.221,0.256,0.925
"POLR2L","RPS9",0.14,0.463,0.54
"POLR2L","ARPC1B",0.177,0.168,0.341
"POLR2L","ANAPC2",0.657,0.196,0.709
"POLR2L","YIF1B",NA,0,0.225
"RPS9","COX5A",0.183,0.26,0.247
"RPS9","ARPC1B",0.379,0.234,0.569
"RPS9","GSPT2",0.482,0.649,0.292
"RPS9","ANAPC2",0.657,0.313,0.502
"RPS9","ISYNA1",0.209,0.167,0.331
"SIX3","LHX2",0.945,0.686,NA
"TNFSF13","TNFRSF13B",0.329,0.654,0.035
"RABAC1","YIF1B",NA,NA,0.359
"ANAPC2","VPS28",0.657,0.372,0.36
"ANAPC2","PCGF6",0.657,0.254,0.68
