"symbol1","symbol2","MF","BP","CC"
"OSBPL7","MOSPD3",NA,NA,NA
"PGLYRP1","DLG5",0.026,0.318,0.075
"PGLYRP1","HSPBP1",0.021,0.076,0.177
"SCTR","HTR4",0.559,0.636,0.479
"SCTR","FSHR",0.496,0.426,0.472
"SCTR","GNB1",0.025,0.47,0.387
"SCTR","ADM2",0.038,0.473,0
"SCTR","GNB2",0.025,0.499,0.299
"SCTR","ADCY1",0,0.42,0.473
"SCTR","P2RY11",0.477,0.436,0.605
"SCTR","GPR20",0.823,0.584,0.484
"PIGQ","PIGL",0.129,0.768,0.984
"RTN4R","GNB1",0.194,0.414,0.61
"RTN4R","HRAS",0.362,0.553,0.336
"RTN4R","CAB39",0.166,0.385,0.26
"RTN4R","DIRAS3",0.657,0.335,NA
"RTN4R","AKT1",0.278,0.388,0.332
"RTN4R","GNAI2",0.32,0.345,0.422
"RTN4R","DIRAS2",0.577,NA,0.882
"RTN4R","EEF1G",0.233,0.133,0.408
"RTN4R","TYRO3",0.43,0.459,0.488
"RTN4R","RASL10B",NA,0.252,NA
"RTN4R","GNB2",0.194,0.213,0.451
"RTN4R","RTN2",0.657,NA,0.324
"RTN4R","PPP3CC",0.202,0.171,0.084
"RTN4R","SH3GL1",0.241,0.507,0.29
"RTN4R","MCL1",0.203,0.431,0.264
"PSMA4","EXOSC5",0.527,0.435,0.616
"PSMA4","ACHE",0.369,0.191,0.296
"PSMA4","NFKB2",0.173,0.247,0.568
"PSMA4","PSMA7",0.718,0.997,0.816
"PSMA4","UQCRQ",0.19,0.249,0.343
"PSMA4","PSMC4",0.585,0.799,0.681
"PSMA4","PPIB",0.24,0.169,0.448
"PSMA4","PPP2R5A",0.359,0.331,0.522
"PSMA4","CDC25A",0.446,0.321,0.559
"PSMA4","RPN1",0.361,0.517,0.395
"PSMA4","PLK1",0.291,0.249,0.476
"PSMA4","TNF",0.259,0.14,0.216
"PSMA4","RELB",0.176,0.147,0.578
"PSMA4","PSMB4",0.823,0.997,0.849
"PSMA4","ASNA1",0.39,0.017,0.541
"PSMA4","DHH",0.292,NA,NA
"PSMA4","ANAPC2",0.657,0.518,0.572
"PSMA4","PSME4",0.251,0.711,0.76
"PSMA4","OAZ2",0.328,0.455,0.504
"PSMA4","NFKBIB",0.328,0.284,0.925
"GRN","HK3",0,0.402,0.656
"GRN","AKT1",0.266,0.254,0.345
"GRN","ITGA2B",0.381,0.469,0.494
"GRN","IFI30",0.322,0.437,0.482
"GRN","TNF",0.554,0.275,0.413
"CD22","SELL",0.341,0.524,0.555
"CD22","FFAR2",0.256,0.426,0.385
"CD22","CD7",0,0.538,0.421
"CD22","TNF",0.399,0.36,0.749
"CD22","CD79A",0.288,0.66,0.58
"CD22","SPN",0.119,0.449,0.635
"CD22","CD72",0.444,0,0.385
"CD22","TNFRSF13B",0.256,0.513,0.882
"PSMC4","NFKB2",0.173,0.375,0.524
"PSMC4","PSMA7",0.527,0.799,0.77
"PSMC4","PPP2R5A",0.359,0.348,0.53
"PSMC4","CDC25A",0.447,0.322,0.522
"PSMC4","PLK1",0.291,0.307,0.417
"PSMC4","UFD1L",NA,NA,NA
"PSMC4","TNF",0.259,0.267,0.19
"PSMC4","RELB",0.176,0.239,0.543
"PSMC4","PSMB4",0.585,0.799,0.711
"PSMC4","DHH",0.292,NA,NA
"PSMC4","ANAPC2",0.657,0.474,0.561
"PSMC4","PSME4",0.251,0.687,0.734
"PSMC4","OAZ2",0.328,0.331,0.454
"PSMC4","NFKBIB",0.328,0.338,0.925
"PSMC4","FTSJ3",0.325,0.324,0.361
"PSMC4","LHX2",0,0.594,NA
"BCL3","NFKB2",0.205,0.521,0.651
"BCL3","STAT3",0.29,0.498,0.645
"BCL3","AKT1",0.187,0.551,0.659
"BCL3","PLK1",0.209,0.436,0.518
"BCL3","RFXANK",0,NA,0.459
"BCL3","TNF",0.279,0.574,0.247
"BCL3","HDAC3",0.38,0.558,0.599
"BCL3","RELB",0.202,0.54,0.586
"PDZD4","LAMA5",0,0.037,NA
"HBQ1","HBZ",0.95,0.999,0.8
"HBQ1","ALAS2",0.497,0.173,0.12
"HBQ1","HBE1",0.895,0.8,0.739
"HBQ1","ECHS1",0.217,0.45,0.115
"HBQ1","TH",0.279,0.089,0.124
"HBQ1","HBD",0.895,0.8,0.739
"HBQ1","PAH",0.429,0.293,0.433
"ITGB4","KLC2",0.459,0.137,0.287
"ITGB4","HRAS",0.233,0.35,0.198
"ITGB4","VWF",0.428,0.559,0.296
"ITGB4","CHAD",NA,NA,0.209
"ITGB4","PRKCG",0,0.246,0.173
"ITGB4","AKT1",0.18,0.325,0.312
"ITGB4","ITGA2B",0.331,0.385,0.503
"ITGB4","LAMA5",0.417,0.623,0.361
"ITGB4","CRK",0.3,0.441,0.267
"ITGB4","EPPK1",0.212,0.339,0.414
"ITGB4","ACTN4",0.381,0.397,0.419
"ITGB4","COMP",0.292,0.371,0.318
"ITGB4","COL9A3",0,0.262,0.28
"PPP1R15A","PPP2R4",NA,NA,NA
"PPP1R15A","PPP2R5A",0.773,0.527,0.541
"PPP1R15A","TSC2",0.61,0.46,0.561
"PPP1R15A","ZNF148",0.163,0.389,0.43
"PPP1R15A","KLF6",0.186,0.334,0.375
"TFAP4","SP1",0.74,0.583,0.656
"TFAP4","TPST2",0.213,0.162,0.244
"TFAP4","SALL2",0.722,0.507,0.811
"THPO","SPI1",0.121,0.511,0
"THPO","ACHE",0.099,0.391,0.913
"THPO","VWF",0.253,0.165,0.913
"THPO","GATA2",0.131,0.487,0
"THPO","SOS1",0.483,0.497,0
"THPO","STAT3",0.122,0.459,0
"THPO","PSMA7",0.212,0.251,0.724
"THPO","CSF3R",0.138,0.32,0
"THPO","STAT5A",0.143,0.407,0
"THPO","IL7R",0.15,0.505,0
"THPO","GP9",0.329,0.237,0
"THPO","IL6R",0.334,0.545,0.913
"THPO","CNTFR",0.442,0.459,0.364
"THPO","AKT1",0.158,0.469,0
"THPO","ITGA2B",0.265,0.355,0.724
"THPO","CXCR4",0.122,0.417,0.724
"THPO","ZFPM1",0.138,0.465,0
"THPO","PF4",0.481,0.514,0.913
"SEMA4G","OBSCN",0.332,0.365,0.169
"PRRT1","EPPK1",NA,NA,0.736
"BCL7C","SMARCD3",NA,NA,NA
"BCL7C","VPS37C",NA,NA,NA
"NDUFB7","NDUFB10",0.999,0.999,0.915
"NDUFB7","NDUFV1",0.999,0.991,0.869
"NDUFB7","UQCRC2",0.19,0.778,0.834
"NDUFB7","UQCRQ",0.437,0.854,0.896
"NDUFB7","COX5A",0.519,0.85,0.859
"NDUFB7","NDUFB11",0,0.999,0.947
"NDUFB7","ZNHIT1",0,0.386,0.375
