"symbol1","symbol2","MF","BP","CC"
"OSBPL7","MOSPD3",NA,NA,NA
"PGLYRP1","DLG5",0.033,0.224,0.063
"PGLYRP1","HSPBP1",0.026,0.068,0.097
"SCTR","HTR4",0.289,0.243,0.128
"SCTR","FSHR",0.291,0.211,0.117
"SCTR","GNB1",0.026,0.223,0.135
"SCTR","ADM2",0.046,0.196,0
"SCTR","GNB2",0.026,0.183,0.099
"SCTR","ADCY1",0,0.201,0.137
"SCTR","P2RY11",0.276,0.195,0.146
"SCTR","GPR20",0.364,0.245,0.117
"PIGQ","PIGL",0.142,0.576,0.362
"RTN4R","GNB1",0.047,0.233,0.265
"RTN4R","HRAS",0.149,0.313,0.11
"RTN4R","CAB39",0.038,0.214,0.102
"RTN4R","DIRAS3",0.095,0.199,NA
"RTN4R","AKT1",0.112,0.233,0.106
"RTN4R","GNAI2",0.123,0.177,0.162
"RTN4R","DIRAS2",0.301,NA,0.187
"RTN4R","EEF1G",0.054,0.096,0.132
"RTN4R","TYRO3",0.15,0.275,0.185
"RTN4R","RASL10B",NA,0.189,NA
"RTN4R","GNB2",0.047,0.114,0.152
"RTN4R","RTN2",0.095,NA,0.141
"RTN4R","PPP3CC",0.047,0.131,0.039
"RTN4R","SH3GL1",0.059,0.24,0.129
"RTN4R","MCL1",0.057,0.259,0.1
"PSMA4","EXOSC5",0.16,0.262,0.217
"PSMA4","ACHE",0.144,0.134,0.111
"PSMA4","NFKB2",0.03,0.121,0.17
"PSMA4","PSMA7",0.219,0.526,0.327
"PSMA4","UQCRQ",0.142,0.173,0.177
"PSMA4","PSMC4",0.16,0.375,0.274
"PSMA4","PPIB",0.085,0.111,0.155
"PSMA4","PPP2R5A",0.105,0.187,0.186
"PSMA4","CDC25A",0.151,0.172,0.133
"PSMA4","RPN1",0.104,0.218,0.172
"PSMA4","PLK1",0.098,0.143,0.178
"PSMA4","TNF",0.074,0.088,0.093
"PSMA4","RELB",0.042,0.086,0.178
"PSMA4","PSMB4",0.25,0.526,0.331
"PSMA4","ASNA1",0.107,0.03,0.177
"PSMA4","DHH",0.056,NA,NA
"PSMA4","ANAPC2",0.095,0.317,0.217
"PSMA4","PSME4",0.055,0.412,0.311
"PSMA4","OAZ2",0.048,0.251,0.117
"PSMA4","NFKBIB",0.048,0.131,0.227
"GRN","HK3",0,0.202,0.268
"GRN","AKT1",0.1,0.126,0.123
"GRN","ITGA2B",0.085,0.245,0.226
"GRN","IFI30",0.066,0.243,0.218
"GRN","TNF",0.21,0.146,0.155
"CD22","SELL",0.168,0.259,0.204
"CD22","FFAR2",0.071,0.305,0.12
"CD22","CD7",0,0.267,0.111
"CD22","TNF",0.167,0.258,0.291
"CD22","CD79A",0.083,0.42,0.262
"CD22","SPN",0.083,0.26,0.215
"CD22","CD72",0.137,0,0.12
"CD22","TNFRSF13B",0.071,0.346,0.187
"PSMC4","NFKB2",0.03,0.217,0.163
"PSMC4","PSMA7",0.147,0.375,0.309
"PSMC4","PPP2R5A",0.105,0.212,0.177
"PSMC4","CDC25A",0.151,0.179,0.137
"PSMC4","PLK1",0.098,0.189,0.146
"PSMC4","UFD1L",NA,NA,NA
"PSMC4","TNF",0.074,0.193,0.078
"PSMC4","RELB",0.042,0.155,0.166
"PSMC4","PSMB4",0.16,0.375,0.29
"PSMC4","DHH",0.056,NA,NA
"PSMC4","ANAPC2",0.095,0.302,0.214
"PSMC4","PSME4",0.055,0.378,0.302
"PSMC4","OAZ2",0.048,0.204,0.119
"PSMC4","NFKBIB",0.048,0.168,0.227
"PSMC4","FTSJ3",0.11,0.238,0.137
"PSMC4","LHX2",0,0.345,NA
"BCL3","NFKB2",0.047,0.261,0.255
"BCL3","STAT3",0.104,0.265,0.17
"BCL3","AKT1",0.056,0.311,0.157
"BCL3","PLK1",0.062,0.255,0.189
"BCL3","RFXANK",0,NA,0.112
"BCL3","TNF",0.085,0.336,0.093
"BCL3","HDAC3",0.135,0.292,0.166
"BCL3","RELB",0.056,0.279,0.158
"PDZD4","LAMA5",0,0.034,NA
"HBQ1","HBZ",0.566,0.639,0.604
"HBQ1","ALAS2",0.25,0.131,0.091
"HBQ1","HBE1",0.535,0.511,0.541
"HBQ1","ECHS1",0.079,0.298,0.085
"HBQ1","TH",0.116,0.074,0.085
"HBQ1","HBD",0.535,0.511,0.541
"HBQ1","PAH",0.321,0.229,0.227
"ITGB4","KLC2",0.181,0.066,0.102
"ITGB4","HRAS",0.076,0.191,0.063
"ITGB4","VWF",0.198,0.281,0.122
"ITGB4","CHAD",NA,NA,0.069
"ITGB4","PRKCG",0,0.146,0.052
"ITGB4","AKT1",0.06,0.191,0.1
"ITGB4","ITGA2B",0.095,0.225,0.178
"ITGB4","LAMA5",0.24,0.329,0.154
"ITGB4","CRK",0.136,0.255,0.1
"ITGB4","EPPK1",0.146,0.197,0.214
"ITGB4","ACTN4",0.176,0.234,0.176
"ITGB4","COMP",0.123,0.212,0.105
"ITGB4","COL9A3",0,0.154,0.12
"PPP1R15A","PPP2R4",NA,NA,NA
"PPP1R15A","PPP2R5A",0.398,0.375,0.19
"PPP1R15A","TSC2",0.29,0.288,0.166
"PPP1R15A","ZNF148",0.043,0.228,0.152
"PPP1R15A","KLF6",0.047,0.204,0.12
"TFAP4","SP1",0.279,0.288,0.259
"TFAP4","TPST2",0.097,0.123,0.092
"TFAP4","SALL2",0.24,0.218,0.146
"THPO","SPI1",0.057,0.264,0
"THPO","ACHE",0.047,0.202,0.214
"THPO","VWF",0.126,0.103,0.214
"THPO","GATA2",0.061,0.287,0
"THPO","SOS1",0.234,0.279,0
"THPO","STAT3",0.06,0.273,0
"THPO","PSMA7",0.076,0.13,0.214
"THPO","CSF3R",0.059,0.168,0
"THPO","STAT5A",0.048,0.262,0
"THPO","IL7R",0.055,0.276,0
"THPO","GP9",0.095,0.143,0
"THPO","IL6R",0.18,0.333,0.214
"THPO","CNTFR",0.166,0.224,0.214
"THPO","AKT1",0.086,0.256,0
"THPO","ITGA2B",0.095,0.251,0.214
"THPO","CXCR4",0.061,0.256,0.214
"THPO","ZFPM1",0.058,0.314,0
"THPO","PF4",0.255,0.321,0.214
"SEMA4G","OBSCN",0.144,0.231,0.06
"PRRT1","EPPK1",NA,NA,0.117
"BCL7C","SMARCD3",NA,NA,NA
"BCL7C","VPS37C",NA,NA,NA
"NDUFB7","NDUFB10",0.644,0.632,0.44
"NDUFB7","NDUFV1",0.644,0.628,0.379
"NDUFB7","UQCRC2",0.142,0.506,0.399
"NDUFB7","UQCRQ",0.321,0.609,0.408
"NDUFB7","COX5A",0.321,0.609,0.428
"NDUFB7","NDUFB11",0,0.605,0.418
"NDUFB7","ZNHIT1",0,0.261,0.191
"NDUFB7","ACAD9",0.321,0.412,0.299
"NDUFB7","NDUFS7",0.644,0.511,0.427
"NDUFB7","SDHC",0.321,0.389,0.397
"NDUFB7","COX7C",0.321,0.425,0.408
"NDUFB7","ATP5G1",NA,NA,NA
"NDUFB7","NDUFA3",0.644,0.632,0.418
"TIMM13","CAB39",0.02,0.131,0.129
"TIMM13","CHCHD4",0.023,0.29,0.389
"TIMM13","TMPRSS9",NA,NA,NA
"TIMM13","ATP5G1",NA,NA,NA
"TIMM13","TIMM8A",0.046,0.424,0.389
"PDXP","ECE1",0.171,0.232,0.128
"PDXP","SH3GL1",0.058,0.076,0.071
"PDXP","MCL1",0.056,0.173,0.097
"PDXP","AMBP",0.043,0.183,0.067
"PDXP","COMP",0.102,0.077,0.01
"PDXP","TH",0.111,0.154,0.158
"PDXP","PPP2R4",NA,NA,NA
