"ABCA4"	"ABCB11"	0.491
"ACADS"	"SAMM50"	0.521
"ALAS2"	"HBD"	0.187
"ALAS2"	"GNMT"	0.321
"ARRB1"	"GNMT"	0.925
"BCS1L"	"SAMM50"	0.609
"CBL"	"CD79B"	0.612
"CDC34"	"FBXL2"	0.17
"CHRM1"	"LAMB2"	0.005
"CHRM1"	"SP1"	0.015
"CHRM1"	"F2RL3"	0.614
"DYNC1I1"	"SPTBN2"	0.337
"DYNC1I1"	"RILP"	0.467
"IDH3B"	"PYCR1"	0.846
"IDH3B"	"SAMM50"	0.554
"IRAK2"	"PELI3"	0.925
"LDLR"	"SNX17"	0.575
"MYO1A"	"RAC3"	0.459
"POU2F1"	"SP1"	0.599
"POU2F1"	"VDR"	0.746
"PYCR1"	"SUPT5H"	0.381
"PYCR1"	"ADSSL1"	0.313
"RAC3"	"NRBP1"	0.308
"RAC3"	"CLEC1B"	0.882
"RAC3"	"PLEKHG5"	0.381
"RAC3"	"ARHGAP10"	0.925
"SPTBN2"	"SPTBN4"	0.462
"SPTBN2"	"RILP"	0.262
"UCHL1"	"HIST1H2BN"	0.574
"HIST1H2AK"	"HIST1H2BN"	0.737
"OR1E1"	"OR1J2"	0.882
"OR1E1"	"OR5C1"	0.882
"LY6D"	"ABCB11"	0.761
"MAP3K14"	"PELI3"	0.925
"TXNRD2"	"SAMM50"	0.524
"SLC35D2"	"B3GNT7"	0.898
"OR1J2"	"OR5C1"	0.882
"DGCR8"	"CDT1"	0.615
"PLEKHG5"	"ARHGAP10"	0.925
"CDT1"	"LMNB2"	0.46
"DERL3"	"SERINC5"	0.155
