"ABCA4"	"ABCB11"	0.628
"ACADS"	"SAMM50"	0.204
"ALAS2"	"HBD"	0.538
"ALAS2"	"GNMT"	0.676
"ARRB1"	"GNMT"	0.501
"BCS1L"	"SAMM50"	1
"CBL"	"CD79B"	0.629
"CDC34"	"FBXL2"	0.801
"CHRM1"	"LAMB2"	0.113
"CHRM1"	"SP1"	0.233
"CHRM1"	"F2RL3"	1
"DYNC1I1"	"SPTBN2"	0.218
"DYNC1I1"	"RILP"	0.528
"IDH3B"	"PYCR1"	0.344
"IDH3B"	"SAMM50"	0.344
"IRAK2"	"PELI3"	0.846
"LDLR"	"SNX17"	0.53
"POU2F1"	"SP1"	0.806
"POU2F1"	"VDR"	0.674
"PYCR1"	"SUPT5H"	0.695
"PYCR1"	"ADSSL1"	0.279
"RAC3"	"NRBP1"	0.689
"RAC3"	"CLEC1B"	0.676
"RAC3"	"PLEKHG5"	0.428
"RAC3"	"ARHGAP10"	0.65
"SPTBN2"	"SPTBN4"	0.606
"SPTBN2"	"RILP"	0.61
"UCHL1"	"HIST1H2BN"	0.741
"HIST1H2AK"	"HIST1H2BN"	1
"OR1E1"	"OR5C1"	1
"MAP3K14"	"PELI3"	0.822
"TXNRD2"	"SAMM50"	1
"SLC35D2"	"B3GNT7"	1e-08
"DGCR8"	"CDT1"	0.61
"PLEKHG5"	"ARHGAP10"	0.618
"CDT1"	"LMNB2"	1
"DERL3"	"SERINC5"	0.064
