"REM1"	"GSTZ1"	0.024
"REM1"	"LRRC24"	0
"REM1"	"ISLR2"	0.017
"REM1"	"LRRK1"	0.024
"REM1"	"PLEKHG5"	0.035
"REM1"	"LRRC38"	0.643
"CDC34"	"UBE2E3"	0.828
"CDC34"	"FBXL2"	0.17
"CDC34"	"CBL"	0.305
"CDC34"	"ZNRF3"	0.024
"GSTZ1"	"EEF1D"	0.488
"GSTZ1"	"MPO"	0.262
"PCK2"	"CRTC2"	0.376
"PCK2"	"RETN"	0.189
"SLC17A7"	"GABBR2"	0.45
"AMH"	"INHBE"	0.948
"RETN"	"SP1"	0.193
"HOXA2"	"HIST1H2BN"	0.467
"SNX17"	"LDLR"	0.575
"ACADS"	"TXNRD2"	0.674
"F2RL3"	"ARRB1"	0.245
"F2RL3"	"AVPR1B"	0.622
"F2RL3"	"CHRM1"	0.614
"IRAK2"	"PELI3"	0.925
"USP37"	"RHPN1"	0.102
"DPEP1"	"SAMM50"	0.426
"DGCR8"	"CDT1"	0.615
"SPTBN4"	"SPTBN2"	0.462
"SPTBN4"	"DYNC1I1"	0.347
"SPTBN4"	"CABP4"	0.416
"CBL"	"UBE2E3"	0.318
"CBL"	"LDLR"	0.466
"CBL"	"ARRB1"	0.531
"CBL"	"CD79B"	0.612
"CBL"	"CBLC"	0.571
"TRPV5"	"TRPM1"	0.861
"TRPV5"	"VDR"	0.019
"MAD1L1"	"PMF1"	0.549
"MAD1L1"	"CENPH"	0.592
"INHBE"	"BMPER"	0.948
"INHBE"	"TGFB2"	0.948
"ASGR1"	"CLEC1B"	0.882
"ASGR1"	"ITIH3"	0.006
"CBX4"	"HIST1H2BN"	0.553
"NFKBIE"	"CARD11"	0.392
"CENPH"	"HIST1H2BN"	0.746
"CENPH"	"PMF1"	0.737
"UCHL1"	"BCS1L"	0.272
"UCHL1"	"KRT4"	0.407
"MYO1A"	"RAC3"	0.459
"MYO1A"	"CABP4"	0.174
"EPB42"	"ALAS2"	0.151
"EPB42"	"HBD"	0.076
"CDT1"	"LMNB2"	0.46
"RILP"	"HLA-DRA"	0.552
"RILP"	"SPTBN2"	0.262
"RILP"	"DYNC1I1"	0.467
"KCNAB3"	"KCNH6"	0.882
"RAC3"	"PLEKHG5"	0.381
"RAC3"	"ARHGAP10"	0.925
"CHRM1"	"AVPR1B"	0.617
"CHRM1"	"ARRB1"	0.275
"CHRM1"	"SP1"	0.015
"CHRM1"	"LAMB2"	0.005
"DNAI2"	"DYNC1I1"	0.467
"BRSK1"	"RIMS2"	0.576
"SPTBN2"	"DYNC1I1"	0.337
"SPTBN2"	"CABP4"	0.459
"SPTBN2"	"HLA-DRA"	0.277
"OR1E1"	"ARRB1"	0.882
"DYNC1I1"	"HLA-DRA"	0.339
"LPA"	"LDLR"	0.043
"FHL2"	"SP1"	0.489
"CABP4"	"CACNA1E"	0.024
"IGLL1"	"CD79B"	0.571
"SP1"	"VDR"	0.612
"SP1"	"POU2F1"	0.599
"SP1"	"NR1H3"	0.646
"HIST1H2AK"	"HIST1H2BN"	0.737
"ALAS2"	"GNMT"	0.321
"ALAS2"	"HBD"	0.187
"PDCD1"	"HLA-DRA"	0.882
"OR1J2"	"ARRB1"	0.882
"TGFB2"	"ITIH3"	0.613
"OR5C1"	"ARRB1"	0.882
"ZNF593"	"MTG1"	0.388
"IDH3B"	"TXNRD2"	0.699
"LRRK1"	"CARD11"	0.367
"UBE2E3"	"ZNRF3"	0.022
"CD79B"	"CARD11"	0.606
"HIST1H2BN"	"SUPT5H"	0.556
"NR1H3"	"LDLR"	0.238
"EEF1D"	"SUPT5H"	0.441
"ARRB1"	"LDLR"	0.509
"ARRB1"	"OR7G1"	0.882
