"REM1"	"GSTZ1"	0.066
"REM1"	"LRRK1"	0.066
"REM1"	"PLEKHG5"	0.041
"REM1"	"LRRC38"	0.036
"CDC34"	"UBE2E3"	0.882
"CDC34"	"FBXL2"	0.627
"CDC34"	"CBL"	0.516
"CDC34"	"UBL4B"	0.657
"CDC34"	"ZNRF3"	0.73
"GSTZ1"	"EEF1D"	0.214
"GSTZ1"	"MPO"	0.261
"PCK2"	"CRTC2"	0.25
"SLC17A7"	"GABBR2"	1e-08
"AMH"	"INHBE"	0.717
"HOXA2"	"HIST1H2BN"	0.702
"SNX17"	"LDLR"	0.228
"TBX4"	"DUX4"	0.613
"ACADS"	"TXNRD2"	0.298
"F2RL3"	"ARRB1"	1e-08
"F2RL3"	"AVPR1B"	0.612
"F2RL3"	"CHRM1"	0.983
"IRAK2"	"PELI3"	0.606
"USP37"	"UBL4B"	0.657
"USP37"	"RHPN1"	0.657
"DPEP1"	"SAMM50"	0.657
"DGCR8"	"CDT1"	0.335
"SPTBN4"	"SPTBN2"	0.53
"SPTBN4"	"DYNC1I1"	0.406
"SPTBN4"	"CABP4"	0.113
"CBL"	"UBE2E3"	0.516
"CBL"	"LDLR"	0.217
"CBL"	"ARRB1"	0.255
"CBL"	"CD79B"	0.231
"CBL"	"CBLC"	0.59
"TRPV5"	"TRPM1"	0.997
"TRPV5"	"VDR"	0.112
"MAD1L1"	"PMF1"	0.299
"MAD1L1"	"CENPH"	0.722
"INHBE"	"TGFB2"	0.63
"ASGR1"	"CLEC1B"	0.657
"ASGR1"	"ITIH3"	0.657
"CBX4"	"HIST1H2BN"	0.106
"NFKBIE"	"CARD11"	0.657
"CENPH"	"HIST1H2BN"	0.106
"CENPH"	"PMF1"	0.299
"UCHL1"	"BCS1L"	0.657
"UCHL1"	"KRT4"	0.657
"EPB42"	"ALAS2"	0.367
"EPB42"	"HBD"	0.347
"CDT1"	"LMNB2"	0.657
"RILP"	"HLA-DRA"	0.252
"RILP"	"SPTBN2"	0.458
"RILP"	"DYNC1I1"	0.217
"KCNAB3"	"KCNH6"	1e-08
"RAC3"	"PLEKHG5"	0.31
"RAC3"	"ARHGAP10"	0.257
"CHRM1"	"AVPR1B"	0.368
"CHRM1"	"ARRB1"	1e-08
"CHRM1"	"SP1"	1e-08
"CHRM1"	"LAMB2"	1e-08
"DNAI2"	"DYNC1I1"	0.818
"BRSK1"	"RIMS2"	0.082
"SPTBN2"	"DYNC1I1"	0.099
"SPTBN2"	"CABP4"	0.081
"SPTBN2"	"HLA-DRA"	0.101
"OR1E1"	"ARRB1"	1e-08
"DYNC1I1"	"HLA-DRA"	0.173
"LPA"	"LDLR"	0.181
"FHL2"	"SP1"	0.362
"CABP4"	"UBL4B"	0.193
"CABP4"	"CACNA1E"	1e-08
"IGLL1"	"CD79B"	0.135
"SP1"	"VDR"	0.65
"SP1"	"POU2F1"	0.656
"SP1"	"NR1H3"	0.68
"HIST1H2AK"	"HIST1H2BN"	0.944
"ALAS2"	"GNMT"	0.613
"ALAS2"	"HBD"	0.466
"UBL4B"	"UBE2E3"	0.657
"PDCD1"	"HLA-DRA"	0.657
"SAMM50"	"STK32A"	1e-08
"TGFB2"	"ITIH3"	0.341
"OR5C1"	"ARRB1"	0.027
"ZNF593"	"MTG1"	1e-08
"IDH3B"	"TXNRD2"	0.464
"LRRK1"	"CARD11"	0.352
"UBE2E3"	"ZNRF3"	0.73
"CD79B"	"CARD11"	0.343
"HIST1H2BN"	"SUPT5H"	0.681
"NR1H3"	"LDLR"	0.134
"EEF1D"	"SUPT5H"	0.494
"ARRB1"	"LDLR"	0.224
"ARRB1"	"OR7G1"	1e-08
