"ABCA4"	"ABCB11"	0.645
"ACADS"	"SAMM50"	0.181
"ALAS2"	"HBD"	0.547
"ALAS2"	"GNMT"	0.684
"ARRB1"	"GNMT"	0.56
"BCS1L"	"SAMM50"	1
"CBL"	"CD79B"	0.575
"CDC34"	"FBXL2"	0.866
"CHRM1"	"LAMB2"	0.171
"CHRM1"	"SP1"	0.117
"CHRM1"	"F2RL3"	1
"DYNC1I1"	"SPTBN2"	0.359
"DYNC1I1"	"RILP"	0.562
"IDH3B"	"PYCR1"	0.34
"IDH3B"	"SAMM50"	0.34
"IRAK2"	"PELI3"	0.792
"LDLR"	"SNX17"	0.62
"POU2F1"	"SP1"	0.845
"POU2F1"	"VDR"	0.68
"PYCR1"	"SUPT5H"	0.643
"PYCR1"	"ADSSL1"	0.294
"RAC3"	"NRBP1"	0.614
"RAC3"	"CLEC1B"	0.55
"RAC3"	"PLEKHG5"	0.182
"RAC3"	"ARHGAP10"	0.548
"SPTBN2"	"SPTBN4"	0.724
"SPTBN2"	"RILP"	0.433
"UCHL1"	"HIST1H2BN"	0.367
"HIST1H2AK"	"HIST1H2BN"	1
"OR1E1"	"OR5C1"	1
"MAP3K14"	"PELI3"	0.833
"TXNRD2"	"SAMM50"	1
"SLC35D2"	"B3GNT7"	0.069
"DGCR8"	"CDT1"	0.655
"PLEKHG5"	"ARHGAP10"	0.285
"CDT1"	"LMNB2"	0.669
"DERL3"	"SERINC5"	0.08
