"symbol1" "symbol2" "CC"
"ATP5G2" "COX5A" NA
"ENTPD2" "POLR2L" 0.2155
"FRG1" "RPS9" 0.43825
"GLUD2" "COX5A" 0.69025
"HCFC1" "ANAPC2" 0.49075
"NFKBIB" "POLR2L" 0.788
"NFKBIB" "S100A8" 0.788
"POLR2L" "RPS9" 0.523
"POLR2L" "ARPC1B" 0.35625
"POLR2L" "ANAPC2" 0.62425
"POLR2L" "YIF1B" 0.2735
"RPS9" "COX5A" 0.29375
"RPS9" "ARPC1B" 0.54325
"RPS9" "GSPT2" 0.34525
"RPS9" "ANAPC2" 0.49175
"RPS9" "ISYNA1" 0.4065
"SIX3" "LHX2" NA
"TNFSF13" "TNFRSF13B" 0.243
"RABAC1" "YIF1B" 0.4295
"ANAPC2" "VPS28" 0.3985
"ANAPC2" "PCGF6" 0.6425
