"symbol1"	"symbol2"	"MF"
"ATP5G2"	"COX5A"	NA
"ENTPD2"	"POLR2L"	0.30775
"FRG1"	"RPS9"	0.50225
"GLUD2"	"COX5A"	0.2495
"HCFC1"	"ANAPC2"	0.688
"NFKBIB"	"POLR2L"	0.23525
"NFKBIB"	"S100A8"	0.29775
"POLR2L"	"RPS9"	0.21575
"POLR2L"	"ARPC1B"	0.239
"POLR2L"	"ANAPC2"	0.688
"POLR2L"	"YIF1B"	NA
"RPS9"	"COX5A"	0.26475
"RPS9"	"ARPC1B"	0.4225
"RPS9"	"GSPT2"	0.47525
"RPS9"	"ANAPC2"	0.688
"RPS9"	"ISYNA1"	0.28225
"SIX3"	"LHX2"	0.80075
"TNFSF13"	"TNFRSF13B"	0.434
"RABAC1"	"YIF1B"	NA
"ANAPC2"	"VPS28"	0.688
"ANAPC2"	"PCGF6"	0.688
