"symbol1"	"symbol2"	"CC"
"ACP5"	"CLCN7"	0.40975
"ACP5"	"NES"	0.2875
"ACP5"	"CD207"	0.34575
"COMP"	"NES"	0.1635
"COMP"	"NDP"	0.629
"HRK"	"BBC3"	0.812
"SIX3"	"ENTPD2"	0.256
"SIX3"	"LHX2"	NA
"TNFRSF13B"	"TNFSF13"	0.243
"PRKCG"	"ADRBK1"	NA
"POLD3"	"POLR2L"	0.601
"ASB6"	"ANAPC2"	0.788
"ANXA5"	"BBC3"	0.28325
"RPS9"	"GSPT2"	0.34525
"DCXR"	"NES"	0.4115
"SNCB"	"ALAS2"	0.308
"ADRBK1"	"GIT1"	NA
"ANAPC2"	"PCGF6"	0.6425
"COX5A"	"ATP5G2"	NA
"POLR2L"	"ENTPD2"	0.2155
"LCE3B"	"S100A8"	0.316
"NES"	"NDP"	0.136
"S100A8"	"FCN1"	0.53425
"TLX1"	"LHX2"	NA
"LHX2"	"CRB2"	NA
