"symbol1" "symbol2" "BP"
"ACHE" "CAMK2A" 0.407
"ACHE" "HAND1" 0.428
"ACP5" "CD68" 0.049
"ACTA1" "ACTA2" 0.676
"ACTA1" "ACTN4" 0.35
"ACTA1" "AKT1" 0.354
"ACTA1" "ARF1" 0.188
"ACTA1" "CSK" 0.237
"ACTA1" "DDOST" 0.195
"ACTA1" "EEF2" 0.248
"ACTA1" "EIF4A2" 0.186
"ACTA1" "EIF5A" 0.273
"ACTA1" "HSPB1" 0.358
"ACTA1" "LAMA5" 0.399
"ACTA1" "PFDN1" NA
"ACTA1" "PGK1" 0.373
"ACTA1" "RAPSN" 0.088
"ACTA1" "RPL4" 0.265
"ACTA1" "RPLP0" 0.301
"ACTA1" "RPLP2" 0.265
"ACTA1" "RPS9" 0.343
"ACTA1" "TMSB4X" 0.305
"ACTA1" "TNNI1" 0.622
"ACTA1" "TNNI2" 0.739
"ACTA1" "TPM2" 0.591
"ACTA1" "TMSB4Y" 0.36
"ACTA1" "GSPT2" 0.243
"ACTA1" "CTNNBL1" 0.253
"ACTA1" "TUBB" 0.327
"ACTA1" "HIST1H2AA" 0.33
"ACTA1" "TUBB2B" 0.296
"ACTA2" "ACTN4" 0.342
"ACTA2" "KLF6" 0.552
"ACTA2" "EEF2" 0.368
"ACTA2" "EIF5A" 0.336
"ACTA2" "HSPB1" 0.448
"ACTA2" "PGK1" 0.354
"ACTA2" "RPL4" 0.354
"ACTA2" "RPL7" 0.344
"ACTA2" "RPLP0" 0.325
"ACTA2" "RPLP2" 0.354
"ACTA2" "RPS9" 0.394
"ACTA2" "RPS23" 0.322
"ACTA2" "SRF" 0.462
"ACTA2" "TMSB4X" 0.331
"ACTA2" "TPM2" 0.379
"ACTA2" "RPL14" 0.347
"ACTA2" "ARPC1B" 0.219
"ACTA2" "GSPT2" 0.341
"ACTA2" "PYCR2" 0.233
"ACTA2" "TUBB" 0.346
"ACTA2" "TUBB2B" 0.247
"ACTN4" "AP2A1" 0.319
"ACTN4" "AKT1" 0.483
"ACTN4" "CAMK2A" 0.44
"ACTN4" "CSK" 0.292
"ACTN4" "CSNK2B" 0.431
"ACTN4" "DNM2" 0.541
"ACTN4" "EEF2" 0.351
"ACTN4" "FAU" NA
"ACTN4" "GNB1" 0.369
"ACTN4" "GNB2" 0.3
"ACTN4" "MDH2" 0.176
"ACTN4" "MSN" 0.368
"ACTN4" "MYL6" 0.22
"ACTN4" "PF4" 0.45
"ACTN4" "PGK1" 0.331
"ACTN4" "RAB5C" 0.399
"ACTN4" "RPL4" 0.303
"ACTN4" "RPL7" 0.321
"ACTN4" "RPL8" 0.321
"ACTN4" "RPL27A" 0.303
"ACTN4" "RPLP2" 0.303
"ACTN4" "RPN1" 0.31
"ACTN4" "SET" 0.391
"ACTN4" "SPARC" 0.498
"ACTN4" "TMSB4X" 0.57
"ACTN4" "TNNI2" 0.385
"ACTN4" "TNNT3" 0.249
"ACTN4" "TPM2" 0.265
