"symbol1"	"symbol2"	"MF"
"REM1"	"GSTZ1"	0.164
"REM1"	"LRRC24"	NA
"REM1"	"ISLR2"	NA
"REM1"	"LRRK1"	0.164
"REM1"	"PLEKHG5"	0.101
"REM1"	"LRRC38"	0.09
"CDC34"	"UBE2E3"	1
"CDC34"	"FBXL2"	0.754
"CDC34"	"CBL"	0.617
"CDC34"	"UBL4B"	1
"CDC34"	"ZNRF3"	0.847
"GSTZ1"	"EEF1D"	0.331
"GSTZ1"	"MPO"	0.317
"PCK2"	"CRTC2"	0.389
"PCK2"	"RETN"	NA
"SLC17A7"	"GABBR2"	0
"AMH"	"INHBE"	0.735
"RETN"	"SP1"	NA
"HOXA2"	"HIST1H2BN"	0.744
"SNX17"	"LDLR"	0.356
"TBX4"	"DUX4"	0.672
"ACADS"	"TXNRD2"	0.306
"F2RL3"	"ARRB1"	0
"F2RL3"	"AVPR1B"	0.623
"F2RL3"	"CHRM1"	1
"SHFM1"	"FHL2"	NA
"SHFM1"	"DYNC1I1"	NA
"SHFM1"	"NFKBIE"	NA
"IRAK2"	"PELI3"	0.75
"ITIH5"	"KIAA1549"	NA
"ADAMTS8"	"ADAMTS15"	NA
"USP37"	"UBL4B"	1
"USP37"	"RHPN1"	1
"DPEP1"	"SAMM50"	1
"DGCR8"	"CDT1"	0.458
"SPTBN4"	"SPTBN2"	0.574
"SPTBN4"	"DYNC1I1"	0.479
"SPTBN4"	"CABP4"	0.18
"CBL"	"UBE2E3"	0.617
"CBL"	"LDLR"	0.305
"CBL"	"ARRB1"	0.332
"CBL"	"CD79B"	0.351
"CBL"	"CBLC"	0.619
"TRPV5"	"TRPM1"	1
"TRPV5"	"VDR"	0.192
"MAD1L1"	"PMF1"	0.462
"MAD1L1"	"CENPH"	0.891
"INHBE"	"BMPER"	NA
"INHBE"	"TGFB2"	0.661
"ASGR1"	"CLEC1B"	1
"ASGR1"	"ITIH3"	1
"CBX4"	"HIST1H2BN"	0.262
"NFKBIE"	"CARD11"	1
"CENPH"	"HIST1H2BN"	0.262
"CENPH"	"PMF1"	0.463
"UCHL1"	"BCS1L"	1
"UCHL1"	"KRT4"	1
"MYO1A"	"RAC3"	NA
"MYO1A"	"CABP4"	NA
"EPB42"	"ALAS2"	0.483
"EPB42"	"HBD"	0.434
"CDT1"	"LMNB2"	1
"RILP"	"HLA-DRA"	0.395
"RILP"	"SPTBN2"	0.502
"RILP"	"DYNC1I1"	0.33
"KCNAB3"	"KCNH6"	0
"RAC3"	"PLEKHG5"	0.356
"RAC3"	"ARHGAP10"	0.4
"CHRM1"	"AVPR1B"	0.376
"CHRM1"	"ARRB1"	0
"CHRM1"	"SP1"	0
"CHRM1"	"LAMB2"	0
"DNAI2"	"DYNC1I1"	0.887
"BRSK1"	"RIMS2"	0.143
"SPTBN2"	"DYNC1I1"	0.151
"SPTBN2"	"CABP4"	0.131
"SPTBN2"	"HLA-DRA"	0.163
"OR1E1"	"ARRB1"	0
"DYNC1I1"	"HLA-DRA"	0.271
"LPA"	"LDLR"	0.283
"FHL2"	"SP1"	0.44
"CABP4"	"UBL4B"	0.294
"CABP4"	"CACNA1E"	0
"IGLL1"	"CD79B"	0.22
"SP1"	"VDR"	0.703
"SP1"	"POU2F1"	0.731
"SP1"	"NR1H3"	0.734
"HIST1H2AK"	"HIST1H2BN"	1
"ALAS2"	"GNMT"	0.712
"ALAS2"	"HBD"	0.544
"UBL4B"	"UBE2E3"	1
"PDCD1"	"HLA-DRA"	1
"OR1J2"	"ARRB1"	NA
"SAMM50"	"STK32A"	0
"TGFB2"	"ITIH3"	0.475
"DNTTIP1"	"WIBG"	NA
"OR5C1"	"ARRB1"	0.068
"ZNF593"	"MTG1"	0
"IDH3B"	"TXNRD2"	0.477
"LRRK1"	"CARD11"	0.536
"UBE2E3"	"ZNRF3"	0.847
"CD79B"	"CARD11"	0.522
"HIST1H2BN"	"SUPT5H"	0.757
"NR1H3"	"LDLR"	0.227
"EEF1D"	"SUPT5H"	0.64
"ARRB1"	"LDLR"	0.318
"ARRB1"	"OR7G1"	0
