"symbol1" "symbol2" "BP"
"ACP5" "CLCN7" 0
"ACP5" "NES" 0.124
"ACP5" "CD207" 0
"COMP" "NES" 0.267
"COMP" "NDP" 0.274
"HRK" "BBC3" 0.783
"SIX3" "ENTPD2" 0.315
"SIX3" "LHX2" 0.686
"TNFRSF13B" "TNFSF13" 0.654
"PRKCG" "ADRBK1" NA
"POLD3" "POLR2L" 0.499
"ASB6" "ANAPC2" 0.359
"ANXA5" "BBC3" 0.497
"RPS9" "GSPT2" 0.649
"DCXR" "NES" 0.058
"SNCB" "ALAS2" 0.176
"ADRBK1" "GIT1" NA
"ANAPC2" "PCGF6" 0.254
"COX5A" "ATP5G2" NA
"POLR2L" "ENTPD2" 0.374
"LCE3B" "S100A8" 0.374
"NES" "NDP" 0.365
"S100A8" "FCN1" 0.49
"TLX1" "LHX2" NA
"LHX2" "CRB2" 0.469
