"ABCA4"	"ABCB11"	0.5285
"ACADS"	"SAMM50"	0.517
"ALAS2"	"HBD"	0.23625
"ALAS2"	"GNMT"	0.3975
"ARRB1"	"GNMT"	0.788
"BCS1L"	"SAMM50"	0.561
"CBL"	"CD79B"	0.56875
"CDC34"	"FBXL2"	0.308
"CHRM1"	"LAMB2"	0.10975
"CHRM1"	"SP1"	0.16275
"CHRM1"	"F2RL3"	0.5835
"DYNC1I1"	"SPTBN2"	0.36225
"DYNC1I1"	"RILP"	0.479
"IDH3B"	"PYCR1"	0.75025
"IDH3B"	"SAMM50"	0.53675
"IRAK2"	"PELI3"	0.788
"LDLR"	"SNX17"	0.56575
"MYO1A"	"RAC3"	0.484
"POU2F1"	"SP1"	0.565
"POU2F1"	"VDR"	0.6875
"PYCR1"	"SUPT5H"	0.40325
"PYCR1"	"ADSSL1"	0.4075
"RAC3"	"NRBP1"	0.3915
"RAC3"	"CLEC1B"	0.76725
"RAC3"	"PLEKHG5"	0.426
"RAC3"	"ARHGAP10"	0.788
"SPTBN2"	"SPTBN4"	0.44825
"SPTBN2"	"RILP"	0.32575
"UCHL1"	"HIST1H2BN"	0.56025
"HIST1H2AK"	"HIST1H2BN"	0.68075
"OR1E1"	"OR1J2"	0.76725
"OR1E1"	"OR5C1"	0.76725
"LY6D"	"ABCB11"	0.6965
"MAP3K14"	"PELI3"	0.788
"TXNRD2"	"SAMM50"	0.5185
"SLC35D2"	"B3GNT7"	0.7765
"OR1J2"	"OR5C1"	0.76725
"DGCR8"	"CDT1"	0.58425
"PLEKHG5"	"ARHGAP10"	0.788
"CDT1"	"LMNB2"	0.4565
"DERL3"	"SERINC5"	0.2015
