"symbol1" "symbol2" "BP"
"ACP5" "CLCN7" 0.152
"ACP5" "NES" 0.254
"ACP5" "CD207" 0.08
"COMP" "NES" 0.428
"COMP" "NDP" 0.441
"HRK" "BBC3" 0.626
"SIX3" "ENTPD2" 0.202
"SIX3" "LHX2" 0.677
"TNFRSF13B" "TNFSF13" 0.541
"PRKCG" "ADRBK1" NA
"POLD3" "POLR2L" 0.625
"ASB6" "ANAPC2" 0.663
"ANXA5" "BBC3" 0.402
"RPS9" "GSPT2" 0.693
"DCXR" "NES" 0.192
"SNCB" "ALAS2" 0.251
"ADRBK1" "GIT1" NA
"ANAPC2" "PCGF6" 0.252
"COX5A" "ATP5G2" NA
"POLR2L" "ENTPD2" 0.466
"LCE3B" "S100A8" 0.351
"NES" "NDP" 0.432
"S100A8" "FCN1" 0.349
"TLX1" "LHX2" NA
"LHX2" "CRB2" 0.564
