"symbol1" "symbol2" "CC"
"ACP5" "CLCN7" 0.494
"ACP5" "NES" 0.482
"ACP5" "CD207" 0.375
"COMP" "NES" 0.16
"COMP" "NDP" 0.694
"HRK" "BBC3" 1
"SIX3" "ENTPD2" 0.318
"SIX3" "LHX2" NA
"TNFRSF13B" "TNFSF13" 0.425
"PRKCG" "ADRBK1" NA
"POLD3" "POLR2L" 0.792
"ASB6" "ANAPC2" 1
"ANXA5" "BBC3" 0.337
"RPS9" "GSPT2" 0.476
"DCXR" "NES" 0.5
"SNCB" "ALAS2" 0.509
"ADRBK1" "GIT1" NA
"ANAPC2" "PCGF6" 0.776
"COX5A" "ATP5G2" NA
"POLR2L" "ENTPD2" 0.252
"LCE3B" "S100A8" 0.471
"NES" "NDP" 0.299
"S100A8" "FCN1" 0.687
"TLX1" "LHX2" NA
"LHX2" "CRB2" NA
