"204638_at"	"209235_at"	0.494
"204638_at"	"221961_at"	0.494
"204638_at"	"38069_at"	0.494
"204638_at"	"218678_at"	0.482
"204638_at"	"220428_at"	0.375
"205713_s_at"	"218678_at"	0.16
"205713_s_at"	"206022_at"	0.694
"206634_at"	"207372_s_at"	0.318
"207641_at"	"210314_x_at"	0.425
"212836_at"	"202586_at"	0.792
"212836_at"	"211730_s_at"	0.792
"221657_s_at"	"218555_at"	1
"214317_x_at"	"205541_s_at"	0.476
"217747_s_at"	"205541_s_at"	0.476
"217973_at"	"218678_at"	0.5
"207853_s_at"	"211560_s_at"	0.509
"202586_at"	"207372_s_at"	0.252
"211730_s_at"	"207372_s_at"	0.252
"218678_at"	"206022_at"	0.299
"202917_s_at"	"205237_at"	0.687
"214370_at"	"205237_at"	0.687
