"probe1"	"probe2"	"ont"
"205377_s_at"	"207613_s_at"	0.407
"205377_s_at"	"213108_at"	0.407
"205378_s_at"	"207613_s_at"	0.407
"205378_s_at"	"213108_at"	0.407
"210332_at"	"207613_s_at"	0.407
"210332_at"	"213108_at"	0.407
"205377_s_at"	"220138_at"	0.428
"205378_s_at"	"220138_at"	0.428
"210332_at"	"220138_at"	0.428
"203872_at"	"200974_at"	0.676
"203872_at"	"215787_at"	0.676
"203872_at"	"200601_at"	0.35
"203872_at"	"207163_s_at"	0.354
"203872_at"	"202329_at"	0.237
"203872_at"	"208674_x_at"	0.195
"203872_at"	"208675_s_at"	0.195
"203872_at"	"200094_s_at"	0.248
"203872_at"	"204102_s_at"	0.248
"203872_at"	"201122_x_at"	0.273
"203872_at"	"201123_s_at"	0.273
"203872_at"	"213753_x_at"	0.273
"203872_at"	"201841_s_at"	0.358
"203872_at"	"210150_s_at"	0.399
"203872_at"	"201507_at"	NA
"203872_at"	"200737_at"	0.373
"203872_at"	"200738_s_at"	0.373
"203872_at"	"217356_s_at"	0.373
"203872_at"	"217383_at"	0.373
"203872_at"	"211570_s_at"	0.088
"203872_at"	"201033_x_at"	0.301
"203872_at"	"208856_x_at"	0.301
"203872_at"	"211720_x_at"	0.301
"203872_at"	"211972_x_at"	0.301
"203872_at"	"214167_s_at"	0.301
"203872_at"	"200908_s_at"	0.265
"203872_at"	"217670_at"	0.265
"203872_at"	"214317_x_at"	0.343
"203872_at"	"217747_s_at"	0.343
"203872_at"	"216438_s_at"	0.305
"203872_at"	"205177_at"	0.622
"203872_at"	"206393_at"	0.739
"203872_at"	"204083_s_at"	0.591
"203872_at"	"212654_at"	0.591
"203872_at"	"206769_at"	0.36
"203872_at"	"205541_s_at"	0.243
"203872_at"	"221021_s_at"	0.253
"203872_at"	"209026_x_at"	0.327
"203872_at"	"211714_x_at"	0.327
"203872_at"	"212320_at"	0.327
"203872_at"	"214023_x_at"	0.296
"200974_at"	"200601_at"	0.342
"215787_at"	"200601_at"	0.342
"200974_at"	"208960_s_at"	0.552
"200974_at"	"208961_s_at"	0.552
"200974_at"	"211610_at"	0.552
"215787_at"	"208960_s_at"	0.552
"215787_at"	"208961_s_at"	0.552
"215787_at"	"211610_at"	0.552
"200974_at"	"200094_s_at"	0.368
"200974_at"	"204102_s_at"	0.368
"215787_at"	"200094_s_at"	0.368
"215787_at"	"204102_s_at"	0.368
"200974_at"	"201122_x_at"	0.336
"200974_at"	"201123_s_at"	0.336
"200974_at"	"213753_x_at"	0.336
"215787_at"	"201122_x_at"	0.336
"215787_at"	"201123_s_at"	0.336
"215787_at"	"213753_x_at"	0.336
"200974_at"	"201841_s_at"	0.448
"215787_at"	"201841_s_at"	0.448
"200974_at"	"200737_at"	0.354
"200974_at"	"200738_s_at"	0.354
"200974_at"	"217356_s_at"	0.354
"200974_at"	"217383_at"	0.354
"215787_at"	"200737_at"	0.354
"215787_at"	"200738_s_at"	0.354
"215787_at"	"217356_s_at"	0.354
"215787_at"	"217383_at"	0.354
"200974_at"	"200717_x_at"	0.344
"200974_at"	"212042_x_at"	0.344
"215787_at"	"200717_x_at"	0.344
"215787_at"	"212042_x_at"	0.344
"200974_at"	"201033_x_at"	0.325
"200974_at"	"208856_x_at"	0.325
"200974_at"	"211720_x_at"	0.325
"200974_at"	"211972_x_at"	0.325
"200974_at"	"214167_s_at"	0.325
"215787_at"	"201033_x_at"	0.325
"215787_at"	"208856_x_at"	0.325
"215787_at"	"211720_x_at"	0.325
"215787_at"	"211972_x_at"	0.325
"215787_at"	"214167_s_at"	0.325
"200974_at"	"200908_s_at"	0.354
"200974_at"	"217670_at"	0.354
"215787_at"	"200908_s_at"	0.354
"215787_at"	"217670_at"	0.354
"200974_at"	"214317_x_at"	0.394
"200974_at"	"217747_s_at"	0.394
"215787_at"	"214317_x_at"	0.394
"215787_at"	"217747_s_at"	0.394
"200974_at"	"200926_at"	0.322
"215787_at"	"200926_at"	0.322
"200974_at"	"202400_s_at"	0.462
"200974_at"	"202401_s_at"	0.462
"215787_at"	"202400_s_at"	0.462
"215787_at"	"202401_s_at"	0.462
"200974_at"	"216438_s_at"	0.331
"215787_at"	"216438_s_at"	0.331
"200974_at"	"204083_s_at"	0.379
"200974_at"	"212654_at"	0.379
"215787_at"	"204083_s_at"	0.379
"215787_at"	"212654_at"	0.379
"200974_at"	"200074_s_at"	0.347
"200974_at"	"213588_x_at"	0.347
"200974_at"	"219138_at"	0.347
"215787_at"	"200074_s_at"	0.347
"215787_at"	"213588_x_at"	0.347
"215787_at"	"219138_at"	0.347
"200974_at"	"201954_at"	0.219
"215787_at"	"201954_at"	0.219
"200974_at"	"205541_s_at"	0.341
"215787_at"	"205541_s_at"	0.341
