"probe1"	"probe2"	"ont"
"205377_s_at"	"207613_s_at"	0.369
"205377_s_at"	"213108_at"	0.369
"205378_s_at"	"207613_s_at"	0.369
"205378_s_at"	"213108_at"	0.369
"210332_at"	"207613_s_at"	0.369
"210332_at"	"213108_at"	0.369
"205377_s_at"	"220138_at"	0.23
"205378_s_at"	"220138_at"	0.23
"210332_at"	"220138_at"	0.23
"203872_at"	"200974_at"	0.245
"203872_at"	"215787_at"	0.245
"203872_at"	"200601_at"	0.413
"203872_at"	"207163_s_at"	0.341
"203872_at"	"202329_at"	0.206
"203872_at"	"208674_x_at"	0.203
"203872_at"	"208675_s_at"	0.203
"203872_at"	"200094_s_at"	0.352
"203872_at"	"204102_s_at"	0.352
"203872_at"	"201122_x_at"	0.352
"203872_at"	"201123_s_at"	0.352
"203872_at"	"213753_x_at"	0.352
"203872_at"	"201841_s_at"	0.291
"203872_at"	"210150_s_at"	0.273
"203872_at"	"201507_at"	0.067
"203872_at"	"200737_at"	0.545
"203872_at"	"200738_s_at"	0.545
"203872_at"	"217356_s_at"	0.545
"203872_at"	"217383_at"	0.545
"203872_at"	"211570_s_at"	0.143
"203872_at"	"201033_x_at"	0.488
"203872_at"	"208856_x_at"	0.488
"203872_at"	"211720_x_at"	0.488
"203872_at"	"211972_x_at"	0.488
"203872_at"	"214167_s_at"	0.488
"203872_at"	"200908_s_at"	0.426
"203872_at"	"217670_at"	0.426
"203872_at"	"214317_x_at"	0.445
"203872_at"	"217747_s_at"	0.445
"203872_at"	"216438_s_at"	0.443
"203872_at"	"205177_at"	0.657
"203872_at"	"206393_at"	0.402
"203872_at"	"204083_s_at"	0.389
"203872_at"	"212654_at"	0.389
"203872_at"	"206769_at"	0.357
"203872_at"	"205541_s_at"	0.337
"203872_at"	"221021_s_at"	0.279
"203872_at"	"209026_x_at"	0.612
"203872_at"	"211714_x_at"	0.612
"203872_at"	"212320_at"	0.612
"203872_at"	"214023_x_at"	0.648
"200974_at"	"200601_at"	0.245
"215787_at"	"200601_at"	0.245
"200974_at"	"208960_s_at"	0.245
"200974_at"	"208961_s_at"	0.245
"200974_at"	"211610_at"	0.245
"215787_at"	"208960_s_at"	0.245
"215787_at"	"208961_s_at"	0.245
"215787_at"	"211610_at"	0.245
"200974_at"	"200094_s_at"	0.99
"200974_at"	"204102_s_at"	0.99
"215787_at"	"200094_s_at"	0.99
"215787_at"	"204102_s_at"	0.99
"200974_at"	"201122_x_at"	0.245
"200974_at"	"201123_s_at"	0.245
"200974_at"	"213753_x_at"	0.245
"215787_at"	"201122_x_at"	0.245
"215787_at"	"201123_s_at"	0.245
"215787_at"	"213753_x_at"	0.245
"200974_at"	"201841_s_at"	0.99
"215787_at"	"201841_s_at"	0.99
"200974_at"	"200737_at"	0.245
"200974_at"	"200738_s_at"	0.245
"200974_at"	"217356_s_at"	0.245
"200974_at"	"217383_at"	0.245
"215787_at"	"200737_at"	0.245
"215787_at"	"200738_s_at"	0.245
"215787_at"	"217356_s_at"	0.245
"215787_at"	"217383_at"	0.245
"200974_at"	"200717_x_at"	0.245
"200974_at"	"212042_x_at"	0.245
"215787_at"	"200717_x_at"	0.245
"215787_at"	"212042_x_at"	0.245
"200974_at"	"201033_x_at"	0.245
"200974_at"	"208856_x_at"	0.245
"200974_at"	"211720_x_at"	0.245
"200974_at"	"211972_x_at"	0.245
"200974_at"	"214167_s_at"	0.245
"215787_at"	"201033_x_at"	0.245
"215787_at"	"208856_x_at"	0.245
"215787_at"	"211720_x_at"	0.245
"215787_at"	"211972_x_at"	0.245
"215787_at"	"214167_s_at"	0.245
"200974_at"	"200908_s_at"	0.245
"200974_at"	"217670_at"	0.245
"215787_at"	"200908_s_at"	0.245
"215787_at"	"217670_at"	0.245
"200974_at"	"214317_x_at"	0.245
"200974_at"	"217747_s_at"	0.245
"215787_at"	"214317_x_at"	0.245
"215787_at"	"217747_s_at"	0.245
"200974_at"	"200926_at"	0.245
"215787_at"	"200926_at"	0.245
"200974_at"	"202400_s_at"	0.245
"200974_at"	"202401_s_at"	0.245
"215787_at"	"202400_s_at"	0.245
"215787_at"	"202401_s_at"	0.245
"200974_at"	"216438_s_at"	0.773
"215787_at"	"216438_s_at"	0.773
"200974_at"	"204083_s_at"	0.169
"200974_at"	"212654_at"	0.169
"215787_at"	"204083_s_at"	0.169
"215787_at"	"212654_at"	0.169
"200974_at"	"200074_s_at"	0.245
"200974_at"	"213588_x_at"	0.245
"200974_at"	"219138_at"	0.245
"215787_at"	"200074_s_at"	0.245
"215787_at"	"213588_x_at"	0.245
"215787_at"	"219138_at"	0.245
"200974_at"	"201954_at"	0.245
"215787_at"	"201954_at"	0.245
"200974_at"	"205541_s_at"	0.245
"215787_at"	"205541_s_at"	0.245
"200974_at"	"209026_x_at"	0.593
"200974_at"	"211714_x_at"	0.593
"200974_at"	"212320_at"	0.593
"215787_at"	"209026_x_at"	0.593
"215787_at"	"211714_x_at"	0.593
"215787_at"	"212320_at"	0.593
"200974_at"	"214023_x_at"	0.245
"215787_at"	"214023_x_at"	0.245
"200601_at"	"207163_s_at"	0.332
"200601_at"	"207613_s_at"	0.319
"200601_at"	"213108_at"	0.319
"200601_at"	"202329_at"	0.258
"200601_at"	"201390_s_at"	0.488
"200601_at"	"202253_s_at"	0.422
"200601_at"	"216024_at"	0.422
"200601_at"	"200094_s_at"	0.464
"200601_at"	"204102_s_at"	0.464
"200601_at"	"200019_s_at"	0.959
"200601_at"	"200744_s_at"	0.312
"200601_at"	"200745_s_at"	0.312
"200601_at"	"200746_s_at"	0.312
"200601_at"	"200852_x_at"	0.312
"200601_at"	"209036_s_at"	0.249
"200601_at"	"213333_at"	0.249
"200601_at"	"200600_at"	0.434
"200601_at"	"212082_s_at"	0.18
"200601_at"	"214002_at"	0.18
"200601_at"	"206390_x_at"	0.345
"200601_at"	"200737_at"	0.331
"200601_at"	"200738_s_at"	0.331
"200601_at"	"217356_s_at"	0.331
"200601_at"	"217383_at"	0.331
"200601_at"	"201140_s_at"	0.331
"200601_at"	"201156_s_at"	0.331
"200601_at"	"200717_x_at"	0.51
"200601_at"	"212042_x_at"	0.51
"200601_at"	"200936_at"	0.249
"200601_at"	"212044_s_at"	0.38
"200601_at"	"200908_s_at"	0.204
"200601_at"	"217670_at"	0.204
"200601_at"	"201011_at"	0.38
"200601_at"	"210231_x_at"	0.192
"200601_at"	"213048_s_at"	0.192
"200601_at"	"200665_s_at"	0.273
"200601_at"	"212667_at"	0.273
"200601_at"	"216438_s_at"	0.484
"200601_at"	"206393_at"	0.378
