"probe1"	"probe2"	"ont"
"205377_s_at"	"207613_s_at"	0.271
"205377_s_at"	"213108_at"	0.271
"205378_s_at"	"207613_s_at"	0.271
"205378_s_at"	"213108_at"	0.271
"210332_at"	"207613_s_at"	0.271
"210332_at"	"213108_at"	0.271
"205377_s_at"	"220138_at"	0.195
"205378_s_at"	"220138_at"	0.195
"210332_at"	"220138_at"	0.195
"203872_at"	"200974_at"	0.417
"203872_at"	"215787_at"	0.417
"203872_at"	"200601_at"	0.236
"203872_at"	"207163_s_at"	0.158
"203872_at"	"202329_at"	0.108
"203872_at"	"208674_x_at"	0.056
"203872_at"	"208675_s_at"	0.056
"203872_at"	"200094_s_at"	0.108
"203872_at"	"204102_s_at"	0.108
"203872_at"	"201122_x_at"	0.095
"203872_at"	"201123_s_at"	0.095
"203872_at"	"213753_x_at"	0.095
"203872_at"	"201841_s_at"	0.207
"203872_at"	"210150_s_at"	0.226
"203872_at"	"201507_at"	NA
"203872_at"	"200737_at"	0.235
"203872_at"	"200738_s_at"	0.235
"203872_at"	"217356_s_at"	0.235
"203872_at"	"217383_at"	0.235
"203872_at"	"211570_s_at"	0.022
"203872_at"	"201033_x_at"	0.15
"203872_at"	"208856_x_at"	0.15
"203872_at"	"211720_x_at"	0.15
"203872_at"	"211972_x_at"	0.15
"203872_at"	"214167_s_at"	0.15
"203872_at"	"200908_s_at"	0.093
"203872_at"	"217670_at"	0.093
"203872_at"	"214317_x_at"	0.156
"203872_at"	"217747_s_at"	0.156
"203872_at"	"216438_s_at"	0.241
"203872_at"	"205177_at"	0.386
"203872_at"	"206393_at"	0.41
"203872_at"	"204083_s_at"	0.36
"203872_at"	"212654_at"	0.36
"203872_at"	"206769_at"	0.242
"203872_at"	"205541_s_at"	0.12
"203872_at"	"221021_s_at"	0.173
"203872_at"	"209026_x_at"	0.07
"203872_at"	"211714_x_at"	0.07
"203872_at"	"212320_at"	0.07
"203872_at"	"214023_x_at"	0.24
"200974_at"	"200601_at"	0.166
"215787_at"	"200601_at"	0.166
"200974_at"	"208960_s_at"	0.244
"200974_at"	"208961_s_at"	0.244
"200974_at"	"211610_at"	0.244
"215787_at"	"208960_s_at"	0.244
"215787_at"	"208961_s_at"	0.244
"215787_at"	"211610_at"	0.244
"200974_at"	"200094_s_at"	0.162
"200974_at"	"204102_s_at"	0.162
"215787_at"	"200094_s_at"	0.162
"215787_at"	"204102_s_at"	0.162
"200974_at"	"201122_x_at"	0.119
"200974_at"	"201123_s_at"	0.119
"200974_at"	"213753_x_at"	0.119
"215787_at"	"201122_x_at"	0.119
"215787_at"	"201123_s_at"	0.119
"215787_at"	"213753_x_at"	0.119
"200974_at"	"201841_s_at"	0.258
"215787_at"	"201841_s_at"	0.258
"200974_at"	"200737_at"	0.211
"200974_at"	"200738_s_at"	0.211
"200974_at"	"217356_s_at"	0.211
"200974_at"	"217383_at"	0.211
"215787_at"	"200737_at"	0.211
"215787_at"	"200738_s_at"	0.211
"215787_at"	"217356_s_at"	0.211
"215787_at"	"217383_at"	0.211
"200974_at"	"200717_x_at"	0.12
"200974_at"	"212042_x_at"	0.12
"215787_at"	"200717_x_at"	0.12
"215787_at"	"212042_x_at"	0.12
"200974_at"	"201033_x_at"	0.125
"200974_at"	"208856_x_at"	0.125
"200974_at"	"211720_x_at"	0.125
"200974_at"	"211972_x_at"	0.125
"200974_at"	"214167_s_at"	0.125
"215787_at"	"201033_x_at"	0.125
"215787_at"	"208856_x_at"	0.125
"215787_at"	"211720_x_at"	0.125
"215787_at"	"211972_x_at"	0.125
"215787_at"	"214167_s_at"	0.125
"200974_at"	"200908_s_at"	0.114
"200974_at"	"217670_at"	0.114
"215787_at"	"200908_s_at"	0.114
"215787_at"	"217670_at"	0.114
"200974_at"	"214317_x_at"	0.159
"200974_at"	"217747_s_at"	0.159
"215787_at"	"214317_x_at"	0.159
"215787_at"	"217747_s_at"	0.159
"200974_at"	"200926_at"	0.124
"215787_at"	"200926_at"	0.124
"200974_at"	"202400_s_at"	0.275
"200974_at"	"202401_s_at"	0.275
"215787_at"	"202400_s_at"	0.275
"215787_at"	"202401_s_at"	0.275
"200974_at"	"216438_s_at"	0.225
"215787_at"	"216438_s_at"	0.225
"200974_at"	"204083_s_at"	0.19
"200974_at"	"212654_at"	0.19
"215787_at"	"204083_s_at"	0.19
"215787_at"	"212654_at"	0.19
"200974_at"	"200074_s_at"	0.112
"200974_at"	"213588_x_at"	0.112
"200974_at"	"219138_at"	0.112
"215787_at"	"200074_s_at"	0.112
"215787_at"	"213588_x_at"	0.112
"215787_at"	"219138_at"	0.112
"200974_at"	"201954_at"	0.108
"215787_at"	"201954_at"	0.108
"200974_at"	"205541_s_at"	0.126
"215787_at"	"205541_s_at"	0.126
"200974_at"	"209026_x_at"	0.053
"200974_at"	"211714_x_at"	0.053
"200974_at"	"212320_at"	0.053
"215787_at"	"209026_x_at"	0.053
"215787_at"	"211714_x_at"	0.053
"215787_at"	"212320_at"	0.053
"200974_at"	"214023_x_at"	0.181
"215787_at"	"214023_x_at"	0.181
"200601_at"	"207163_s_at"	0.261
"200601_at"	"207613_s_at"	0.272
"200601_at"	"213108_at"	0.272
"200601_at"	"202329_at"	0.255
"200601_at"	"201390_s_at"	0.261
"200601_at"	"202253_s_at"	0.289
"200601_at"	"216024_at"	0.289
"200601_at"	"200094_s_at"	0.21
"200601_at"	"204102_s_at"	0.21
"200601_at"	"200019_s_at"	NA
"200601_at"	"200744_s_at"	0.143
"200601_at"	"200745_s_at"	0.143
"200601_at"	"200746_s_at"	0.143
"200601_at"	"200852_x_at"	0.106
"200601_at"	"209036_s_at"	0.073
"200601_at"	"213333_at"	0.073
"200601_at"	"200600_at"	0.261
"200601_at"	"212082_s_at"	0.161
"200601_at"	"214002_at"	0.161
"200601_at"	"206390_x_at"	0.268
"200601_at"	"200737_at"	0.167
"200601_at"	"200738_s_at"	0.167
"200601_at"	"217356_s_at"	0.167
"200601_at"	"217383_at"	0.167
"200601_at"	"201140_s_at"	0.273
"200601_at"	"201156_s_at"	0.273
"200601_at"	"200717_x_at"	0.187
"200601_at"	"212042_x_at"	0.187
"200601_at"	"200936_at"	0.186
"200601_at"	"212044_s_at"	0.184
"200601_at"	"200908_s_at"	0.184
"200601_at"	"217670_at"	0.184
"200601_at"	"201011_at"	0.066
"200601_at"	"210231_x_at"	0.195
"200601_at"	"213048_s_at"	0.195
"200601_at"	"200665_s_at"	0.315
"200601_at"	"212667_at"	0.315
"200601_at"	"216438_s_at"	0.37
"200601_at"	"206393_at"	0.187
"200601_at"	"205693_at"	0.197
"200601_at"	"204083_s_at"	0.215
"200601_at"	"212654_at"	0.215
"200601_at"	"215624_at"	0.272
"200601_at"	"215735_s_at"	0.272
"200601_at"	"203683_s_at"	0.299
"200601_at"	"202112_at"	0.224
"200601_at"	"209830_s_at"	0.186
"200601_at"	"201954_at"	0.234
"200601_at"	"204910_s_at"	0.07
"200601_at"	"204911_s_at"	0.07
"200601_at"	"213884_s_at"	0.07
"200601_at"	"213885_at"	0.07
"200601_at"	"209026_x_at"	0.178
"200601_at"	"211714_x_at"	0.178
"200601_at"	"212320_at"	0.178
"201786_s_at"	"201693_s_at"	0.261
"201786_s_at"	"201694_s_at"	0.261
"201786_s_at"	"217502_at"	0.306
"201786_s_at"	"203275_at"	0.342
"201786_s_at"	"202621_at"	0.279
"201786_s_at"	"208436_s_at"	0.306
"201786_s_at"	"200057_s_at"	0.239
"201786_s_at"	"208698_s_at"	0.239
"201786_s_at"	"210470_x_at"	0.239
"201786_s_at"	"200063_s_at"	0.283
"201786_s_at"	"221691_x_at"	0.283
"201786_s_at"	"221923_s_at"	0.283
"201786_s_at"	"208620_at"	0.236
"201786_s_at"	"202243_s_at"	0.129
"201786_s_at"	"202244_at"	0.129
"201786_s_at"	"200010_at"	0.265
"201786_s_at"	"221798_x_at"	0.228
"201786_s_at"	"200002_at"	0.203
"213245_at"	"211201_at"	0.306
"215340_at"	"211201_at"	0.306
"215348_at"	"211201_at"	0.306
"213245_at"	"201040_at"	0.25
"213245_at"	"215996_at"	0.25
"215340_at"	"201040_at"	0.25
"215340_at"	"215996_at"	0.25
"215348_at"	"201040_at"	0.25
"215348_at"	"215996_at"	0.25
"213245_at"	"200852_x_at"	0.187
"215340_at"	"200852_x_at"	0.187
"215348_at"	"200852_x_at"	0.187
"213245_at"	"210234_at"	0.277
"215340_at"	"210234_at"	0.277
"215348_at"	"210234_at"	0.277
"213245_at"	"212983_at"	0.169
"215340_at"	"212983_at"	0.169
"215348_at"	"212983_at"	0.169
"213245_at"	"207577_at"	0.242
"213245_at"	"207578_s_at"	0.242
"213245_at"	"216939_s_at"	0.242
"215340_at"	"207577_at"	0.242
"215340_at"	"207578_s_at"	0.242
"215340_at"	"216939_s_at"	0.242
"215348_at"	"207577_at"	0.242
"215348_at"	"207578_s_at"	0.242
"215348_at"	"216939_s_at"	0.242
"213245_at"	"206001_at"	0.212
"215340_at"	"206001_at"	0.212
"215348_at"	"206001_at"	0.212
"213245_at"	"210382_at"	0.201
"215340_at"	"210382_at"	0.201
"215348_at"	"210382_at"	0.201
"213245_at"	"209201_x_at"	0.23
"213245_at"	"211919_s_at"	0.23
"213245_at"	"217028_at"	0.23
"215340_at"	"209201_x_at"	0.23
"215340_at"	"211919_s_at"	0.23
"215340_at"	"217028_at"	0.23
"215348_at"	"209201_x_at"	0.23
"215348_at"	"211919_s_at"	0.23
"215348_at"	"217028_at"	0.23
"213245_at"	"220538_at"	0.208
"215340_at"	"220538_at"	0.208
"215348_at"	"220538_at"	0.208
"207163_s_at"	"203388_at"	0.327
"207163_s_at"	"1861_at"	0.379
"207163_s_at"	"209364_at"	0.379
"207163_s_at"	"211962_s_at"	0.35
"207163_s_at"	"211965_at"	0.35
"207163_s_at"	"213277_at"	0.35
"207163_s_at"	"213284_at"	0.35
