"probe1"	"probe2"	"ont"
"207372_s_at"	"202586_at"	0.36925
"207372_s_at"	"211730_s_at"	0.36925
"210447_at"	"203663_s_at"	0.5935
"215794_x_at"	"203663_s_at"	0.5935
"202473_x_at"	"218555_at"	0.284
"202474_s_at"	"218555_at"	0.284
"214062_x_at"	"202586_at"	0.504
"214062_x_at"	"211730_s_at"	0.504
"214448_x_at"	"202586_at"	0.504
"214448_x_at"	"211730_s_at"	0.504
"214062_x_at"	"202917_s_at"	0.28875
"214062_x_at"	"214370_at"	0.28875
"214448_x_at"	"202917_s_at"	0.28875
"214448_x_at"	"214370_at"	0.28875
"202586_at"	"214317_x_at"	0.42675
"202586_at"	"217747_s_at"	0.42675
"211730_s_at"	"214317_x_at"	0.42675
"211730_s_at"	"217747_s_at"	0.42675
"202586_at"	"201954_at"	0.16
"211730_s_at"	"201954_at"	0.16
"202586_at"	"218555_at"	0.1685
"211730_s_at"	"218555_at"	0.1685
"214317_x_at"	"203663_s_at"	0.23125
"217747_s_at"	"203663_s_at"	0.23125
"214317_x_at"	"201954_at"	0.2135
"217747_s_at"	"201954_at"	0.2135
"214317_x_at"	"205541_s_at"	0.5775
"217747_s_at"	"205541_s_at"	0.5775
"214317_x_at"	"218555_at"	0.26675
"217747_s_at"	"218555_at"	0.26675
"214317_x_at"	"222240_s_at"	0.15
"217747_s_at"	"222240_s_at"	0.15
"206634_at"	"206140_at"	0.61575
"206634_at"	"211219_s_at"	0.61575
"210314_x_at"	"207641_at"	0.5865
"218555_at"	"218679_s_at"	0.31275
