"probe1"	"probe2"	"ont"
"207372_s_at"	"202586_at"	0.236
"207372_s_at"	"211730_s_at"	0.236
"210447_at"	"203663_s_at"	0.241
"215794_x_at"	"203663_s_at"	0.241
"202473_x_at"	"218555_at"	0.657
"202474_s_at"	"218555_at"	0.657
"214062_x_at"	"202586_at"	0.173
"214062_x_at"	"211730_s_at"	0.173
"214448_x_at"	"202586_at"	0.173
"214448_x_at"	"211730_s_at"	0.173
"214062_x_at"	"202917_s_at"	0.221
"214062_x_at"	"214370_at"	0.221
"214448_x_at"	"202917_s_at"	0.221
"214448_x_at"	"214370_at"	0.221
"202586_at"	"214317_x_at"	0.14
"202586_at"	"217747_s_at"	0.14
"211730_s_at"	"214317_x_at"	0.14
"211730_s_at"	"217747_s_at"	0.14
"202586_at"	"201954_at"	0.177
"211730_s_at"	"201954_at"	0.177
"202586_at"	"218555_at"	0.657
"211730_s_at"	"218555_at"	0.657
"214317_x_at"	"203663_s_at"	0.183
"217747_s_at"	"203663_s_at"	0.183
"214317_x_at"	"201954_at"	0.379
"217747_s_at"	"201954_at"	0.379
"214317_x_at"	"205541_s_at"	0.482
"217747_s_at"	"205541_s_at"	0.482
"214317_x_at"	"218555_at"	0.657
"217747_s_at"	"218555_at"	0.657
"214317_x_at"	"222240_s_at"	0.209
"217747_s_at"	"222240_s_at"	0.209
"206634_at"	"206140_at"	0.945
"206634_at"	"211219_s_at"	0.945
"210314_x_at"	"207641_at"	0.329
"218555_at"	"218679_s_at"	0.657
