"probe1"	"probe2"	"ont"
"210082_at"	"208288_at"	0.156
"210082_at"	"211224_s_at"	0.156
"202366_at"	"201569_s_at"	0.209
"202366_at"	"201570_at"	0.209
"211560_s_at"	"206834_at"	0.081
"211560_s_at"	"210328_at"	0.113
"218832_x_at"	"210328_at"	0.227
"221861_at"	"210328_at"	0.227
"43511_s_at"	"210328_at"	0.227
"49111_at"	"210328_at"	0.227
"207618_s_at"	"201569_s_at"	0.307
"207618_s_at"	"201570_at"	0.307
"206607_at"	"205297_s_at"	0.23
"212540_at"	"214436_at"	0.054
"205348_s_at"	"205155_s_at"	0.166
"201509_at"	"202148_s_at"	0.307
"210014_x_at"	"202148_s_at"	0.307
"210418_s_at"	"202148_s_at"	0.307
"201509_at"	"201569_s_at"	0.22
"201509_at"	"201570_at"	0.22
"210014_x_at"	"201569_s_at"	0.22
"210014_x_at"	"201570_at"	0.22
"210418_s_at"	"201569_s_at"	0.22
"210418_s_at"	"201570_at"	0.22
"202067_s_at"	"200991_s_at"	0.223
"202068_s_at"	"200991_s_at"	0.223
"217005_at"	"200991_s_at"	0.223
"217103_at"	"200991_s_at"	0.223
"217173_s_at"	"200991_s_at"	0.223
"211916_s_at"	"206103_at"	0.223
"206789_s_at"	"214732_at"	0.175
"206789_s_at"	"204253_s_at"	0.244
"206789_s_at"	"204254_s_at"	0.244
"206789_s_at"	"204255_s_at"	0.244
"206789_s_at"	"213692_s_at"	0.244
"202148_s_at"	"201480_s_at"	0.155
"206103_at"	"217765_at"	0.085
"206103_at"	"220496_at"	0.187
"206103_at"	"219431_at"	0.227
"205155_s_at"	"220185_at"	0.217
"201387_s_at"	"207226_at"	0.156
"214644_at"	"207226_at"	0.252
"206276_at"	"208288_at"	0.175
"206276_at"	"211224_s_at"	0.175
"210803_at"	"201569_s_at"	0.208
"210803_at"	"201570_at"	0.208
"211177_s_at"	"201569_s_at"	0.208
"211177_s_at"	"201570_at"	0.208
"209832_s_at"	"216952_s_at"	0.19
