"probe1"	"probe2"	"ont"
"210082_at"	"208288_at"	0.459
"210082_at"	"211224_s_at"	0.459
"202366_at"	"201569_s_at"	0.101
"202366_at"	"201570_at"	0.101
"211560_s_at"	"206834_at"	0.219
"211560_s_at"	"210328_at"	0.297
"218832_x_at"	"210328_at"	0.344
"221861_at"	"210328_at"	0.344
"43511_s_at"	"210328_at"	0.344
"49111_at"	"210328_at"	0.344
"207618_s_at"	"201569_s_at"	0.667
"207618_s_at"	"201570_at"	0.667
"206607_at"	"205297_s_at"	0.498
"212540_at"	"214436_at"	0.704
"205348_s_at"	"205155_s_at"	0.641
"201509_at"	"202148_s_at"	0.48
"210014_x_at"	"202148_s_at"	0.48
"210418_s_at"	"202148_s_at"	0.48
"201509_at"	"201569_s_at"	0.189
"201509_at"	"201570_at"	0.189
"210014_x_at"	"201569_s_at"	0.189
"210014_x_at"	"201570_at"	0.189
"210418_s_at"	"201569_s_at"	0.189
"210418_s_at"	"201570_at"	0.189
"202067_s_at"	"200991_s_at"	0.284
"202068_s_at"	"200991_s_at"	0.284
"217005_at"	"200991_s_at"	0.284
"217103_at"	"200991_s_at"	0.284
"217173_s_at"	"200991_s_at"	0.284
"211916_s_at"	"206103_at"	0.087
"206789_s_at"	"214732_at"	0.581
"206789_s_at"	"204253_s_at"	0.506
"206789_s_at"	"204254_s_at"	0.506
"206789_s_at"	"204255_s_at"	0.506
"206789_s_at"	"213692_s_at"	0.506
"202148_s_at"	"201480_s_at"	0.268
"206103_at"	"217765_at"	0.403
"206103_at"	"220496_at"	0.382
"206103_at"	"219431_at"	0.502
"205155_s_at"	"220185_at"	0.571
"201387_s_at"	"207226_at"	0.347
"214644_at"	"207226_at"	0.315
"206276_at"	"208288_at"	NA
"206276_at"	"211224_s_at"	NA
"210803_at"	"201569_s_at"	0.149
"210803_at"	"201570_at"	0.149
"211177_s_at"	"201569_s_at"	0.149
"211177_s_at"	"201570_at"	0.149
"209832_s_at"	"216952_s_at"	0.329
