"probe1"	"probe2"	"ont"
"208163_s_at"	"219070_s_at"	NA
"210344_at"	"219070_s_at"	NA
"207384_at"	"201681_s_at"	0.312
"207384_at"	"210469_at"	0.312
"207384_at"	"202415_s_at"	0.024
"210382_at"	"207577_at"	0.739
"210382_at"	"207578_s_at"	0.739
"210382_at"	"216939_s_at"	0.739
"210382_at"	"211201_at"	0.459
"210382_at"	"200744_s_at"	0.531
"210382_at"	"200745_s_at"	0.531
"210382_at"	"200746_s_at"	0.531
"210382_at"	"220538_at"	0.633
"210382_at"	"200852_x_at"	0.611
"210382_at"	"213245_at"	0.446
"210382_at"	"215340_at"	0.446
"210382_at"	"215348_at"	0.446
"210382_at"	"214510_at"	0.638
"204144_s_at"	"205873_at"	0.761
"204144_s_at"	"213889_at"	0.761
"203396_at"	"218481_at"	0.376
"203396_at"	"205377_s_at"	0.207
"203396_at"	"205378_s_at"	0.207
"203396_at"	"210332_at"	0.207
"203396_at"	"207535_s_at"	0.393
"203396_at"	"209636_at"	0.393
"203396_at"	"211524_at"	0.393
"203396_at"	"201114_x_at"	1
"203396_at"	"216088_s_at"	1
"203396_at"	"201568_at"	0.133
"203396_at"	"201252_at"	0.803
"203396_at"	"200967_at"	0.118
"203396_at"	"200968_s_at"	0.118
"203396_at"	"202186_x_at"	0.324
"203396_at"	"202187_s_at"	0.324
"203396_at"	"204695_at"	0.368
"203396_at"	"204696_s_at"	0.368
"203396_at"	"201011_at"	0.627
"203396_at"	"202240_at"	0.282
"203396_at"	"207113_s_at"	0.156
"203396_at"	"205205_at"	0.242
"203396_at"	"202243_s_at"	1
"203396_at"	"202244_at"	1
"203396_at"	"202024_at"	0
"203396_at"	"218555_at"	0.466
"203396_at"	"212219_at"	0.74
"203396_at"	"212220_at"	0.74
"203396_at"	"212222_at"	0.74
"203396_at"	"201364_s_at"	0.438
"203396_at"	"201365_at"	0.438
"203396_at"	"214062_x_at"	0.522
"203396_at"	"214448_x_at"	0.522
"200678_x_at"	"205936_s_at"	0.569
"211284_s_at"	"205936_s_at"	0.569
"216041_x_at"	"205936_s_at"	0.569
"200678_x_at"	"207163_s_at"	0.45
"211284_s_at"	"207163_s_at"	0.45
"216041_x_at"	"207163_s_at"	0.45
"200678_x_at"	"206493_at"	0.585
"200678_x_at"	"206494_s_at"	0.585
"200678_x_at"	"216956_s_at"	0.585
"200678_x_at"	"216966_at"	0.585
"211284_s_at"	"206493_at"	0.585
"211284_s_at"	"206494_s_at"	0.585
"211284_s_at"	"216956_s_at"	0.585
"211284_s_at"	"216966_at"	0.585
"216041_x_at"	"206493_at"	0.585
"216041_x_at"	"206494_s_at"	0.585
"216041_x_at"	"216956_s_at"	0.585
"216041_x_at"	"216966_at"	0.585
"200678_x_at"	"207113_s_at"	0.426
"211284_s_at"	"207113_s_at"	0.426
"216041_x_at"	"207113_s_at"	0.426
"204581_at"	"204563_at"	0.551
"217422_s_at"	"204563_at"	0.551
"220674_at"	"204563_at"	0.551
"38521_at"	"204563_at"	0.551
"204581_at"	"221345_at"	0.379
"217422_s_at"	"221345_at"	0.379
"220674_at"	"221345_at"	0.379
"38521_at"	"221345_at"	0.379
"204581_at"	"214049_x_at"	0.552
"204581_at"	"214551_s_at"	0.552
"217422_s_at"	"214049_x_at"	0.552
"217422_s_at"	"214551_s_at"	0.552
"220674_at"	"214049_x_at"	0.552
"220674_at"	"214551_s_at"	0.552
"38521_at"	"214049_x_at"	0.552
"38521_at"	"214551_s_at"	0.552
"204581_at"	"207113_s_at"	0.322
"217422_s_at"	"207113_s_at"	0.322
"220674_at"	"207113_s_at"	0.322
"38521_at"	"207113_s_at"	0.322
"204581_at"	"205049_s_at"	0.591
"217422_s_at"	"205049_s_at"	0.591
"220674_at"	"205049_s_at"	0.591
"38521_at"	"205049_s_at"	0.591
"204581_at"	"206056_x_at"	0.476
"204581_at"	"206057_x_at"	0.476
"204581_at"	"216980_s_at"	0.476
"204581_at"	"216981_x_at"	0.476
"217422_s_at"	"206056_x_at"	0.476
"217422_s_at"	"206057_x_at"	0.476
"217422_s_at"	"216980_s_at"	0.476
"217422_s_at"	"216981_x_at"	0.476
"220674_at"	"206056_x_at"	0.476
"220674_at"	"206057_x_at"	0.476
"220674_at"	"216980_s_at"	0.476
"220674_at"	"216981_x_at"	0.476
"38521_at"	"206056_x_at"	0.476
"38521_at"	"206057_x_at"	0.476
"38521_at"	"216980_s_at"	0.476
"38521_at"	"216981_x_at"	0.476
"204581_at"	"215925_s_at"	0.31
"217422_s_at"	"215925_s_at"	0.31
"220674_at"	"215925_s_at"	0.31
"38521_at"	"215925_s_at"	0.31
"204581_at"	"207641_at"	0.519
"217422_s_at"	"207641_at"	0.519
"220674_at"	"207641_at"	0.519
"38521_at"	"207641_at"	0.519
"201252_at"	"207535_s_at"	0.461
"201252_at"	"209636_at"	0.461
"201252_at"	"211524_at"	0.461
"201252_at"	"201114_x_at"	0.803
"201252_at"	"216088_s_at"	0.803
"201252_at"	"202186_x_at"	0.343
"201252_at"	"202187_s_at"	0.343
"201252_at"	"204695_at"	0.371
"201252_at"	"204696_s_at"	0.371
"201252_at"	"202240_at"	0.312
"201252_at"	"207113_s_at"	0.213
"201252_at"	"205205_at"	0.319
"201252_at"	"202243_s_at"	0.803
"201252_at"	"202244_at"	0.803
"201252_at"	"218555_at"	0.36
"201252_at"	"212219_at"	0.7
"201252_at"	"212220_at"	0.7
"201252_at"	"212222_at"	0.7
"201252_at"	"201364_s_at"	0.341
"201252_at"	"201365_at"	0.341
"201252_at"	"214062_x_at"	0.574
"201252_at"	"214448_x_at"	0.574
"201252_at"	"218103_at"	0.201
"201252_at"	"206140_at"	0.587
"201252_at"	"211219_s_at"	0.587
"220807_at"	"206647_at"	1
"220807_at"	"211560_s_at"	0.117
"220807_at"	"205919_at"	0.8
"220807_at"	"217683_at"	0.8
"220807_at"	"201135_at"	0.308
"220807_at"	"208291_s_at"	0.055
"220807_at"	"206834_at"	0.8
"204989_s_at"	"218906_x_at"	0.183
"204990_s_at"	"218906_x_at"	0.183
"211905_s_at"	"218906_x_at"	0.183
"214292_at"	"218906_x_at"	0.183
"204989_s_at"	"212983_at"	0.412
"204990_s_at"	"212983_at"	0.412
"211905_s_at"	"212983_at"	0.412
"214292_at"	"212983_at"	0.412
"204989_s_at"	"202112_at"	0.57
"204990_s_at"	"202112_at"	0.57
"211905_s_at"	"202112_at"	0.57
"214292_at"	"202112_at"	0.57
"204989_s_at"	"206869_at"	NA
"204990_s_at"	"206869_at"	NA
"211905_s_at"	"206869_at"	NA
"214292_at"	"206869_at"	NA
"204989_s_at"	"206270_at"	0.315
"204990_s_at"	"206270_at"	0.315
"211905_s_at"	"206270_at"	0.315
"214292_at"	"206270_at"	0.315
"204989_s_at"	"207163_s_at"	0.345
"204990_s_at"	"207163_s_at"	0.345
"211905_s_at"	"207163_s_at"	0.345
"214292_at"	"207163_s_at"	0.345
"204989_s_at"	"206493_at"	0.373
"204989_s_at"	"206494_s_at"	0.373
"204989_s_at"	"216956_s_at"	0.373
"204989_s_at"	"216966_at"	0.373
"204990_s_at"	"206493_at"	0.373
"204990_s_at"	"206494_s_at"	0.373
"204990_s_at"	"216956_s_at"	0.373
"204990_s_at"	"216966_at"	0.373
"211905_s_at"	"206493_at"	0.373
"211905_s_at"	"206494_s_at"	0.373
"211905_s_at"	"216956_s_at"	0.373
"211905_s_at"	"216966_at"	0.373
"214292_at"	"206493_at"	0.373
"214292_at"	"206494_s_at"	0.373
"214292_at"	"216956_s_at"	0.373
"214292_at"	"216966_at"	0.373
"204989_s_at"	"210150_s_at"	0.681
"204990_s_at"	"210150_s_at"	0.681
"211905_s_at"	"210150_s_at"	0.681
"214292_at"	"210150_s_at"	0.681
"204989_s_at"	"202224_at"	0.429
"204989_s_at"	"202225_at"	0.429
"204989_s_at"	"202226_s_at"	0.429
"204990_s_at"	"202224_at"	0.429
"204990_s_at"	"202225_at"	0.429
"204990_s_at"	"202226_s_at"	0.429
"211905_s_at"	"202224_at"	0.429
"211905_s_at"	"202225_at"	0.429
"211905_s_at"	"202226_s_at"	0.429
"214292_at"	"202224_at"	0.429
"214292_at"	"202225_at"	0.429
"214292_at"	"202226_s_at"	0.429
"204989_s_at"	"208156_x_at"	0.296
"204990_s_at"	"208156_x_at"	0.296
"211905_s_at"	"208156_x_at"	0.296
"214292_at"	"208156_x_at"	0.296
"204989_s_at"	"200601_at"	0.384
"204990_s_at"	"200601_at"	0.384
"211905_s_at"	"200601_at"	0.384
"214292_at"	"200601_at"	0.384
"204989_s_at"	"205713_s_at"	0.45
"204990_s_at"	"205713_s_at"	0.45
"211905_s_at"	"205713_s_at"	0.45
"214292_at"	"205713_s_at"	0.45
"204989_s_at"	"204724_s_at"	0.267
"204990_s_at"	"204724_s_at"	0.267
"211905_s_at"	"204724_s_at"	0.267
"214292_at"	"204724_s_at"	0.267
"202014_at"	"202186_x_at"	0.459
"202014_at"	"202187_s_at"	0.459
"37028_at"	"202186_x_at"	0.459
"37028_at"	"202187_s_at"	0.459
"202014_at"	"215624_at"	0.402
"202014_at"	"215735_s_at"	0.402
"37028_at"	"215624_at"	0.402
"37028_at"	"215735_s_at"	0.402
"202014_at"	"203318_s_at"	0.389
"202014_at"	"203319_s_at"	0.389
"37028_at"	"203318_s_at"	0.389
"37028_at"	"203319_s_at"	0.389
"202014_at"	"208960_s_at"	0.376
"202014_at"	"208961_s_at"	0.376
"202014_at"	"211610_at"	0.376
"37028_at"	"208960_s_at"	0.376
"37028_at"	"208961_s_at"	0.376
"37028_at"	"211610_at"	0.376
"205688_at"	"214732_at"	0.631
"205688_at"	"204079_at"	0.105
"205688_at"	"213283_s_at"	0.598
"211154_at"	"205312_at"	0.548
"211155_s_at"	"205312_at"	0.548
"211831_s_at"	"205312_at"	0.548
"211154_at"	"205377_s_at"	0.445
"211154_at"	"205378_s_at"	0.445
"211154_at"	"210332_at"	0.445
"211155_s_at"	"205377_s_at"	0.445
"211155_s_at"	"205378_s_at"	0.445
"211155_s_at"	"210332_at"	0.445
"211831_s_at"	"205377_s_at"	0.445
"211831_s_at"	"205378_s_at"	0.445
"211831_s_at"	"210332_at"	0.445
"211154_at"	"202112_at"	0.316
"211155_s_at"	"202112_at"	0.316
"211831_s_at"	"202112_at"	0.316
"211154_at"	"207954_at"	0.498
"211154_at"	"209710_at"	0.498
"211154_at"	"210358_x_at"	0.498
"211155_s_at"	"207954_at"	0.498
"211155_s_at"	"209710_at"	0.498
"211155_s_at"	"210358_x_at"	0.498
"211831_s_at"	"207954_at"	0.498
"211831_s_at"	"209710_at"	0.498
"211831_s_at"	"210358_x_at"	0.498
"211154_at"	"212777_at"	0.499
"211154_at"	"212780_at"	0.499
"211155_s_at"	"212777_at"	0.499
"211155_s_at"	"212780_at"	0.499
"211831_s_at"	"212777_at"	0.499
"211831_s_at"	"212780_at"	0.499
"211154_at"	"208991_at"	0.46
"211154_at"	"208992_s_at"	0.46
"211155_s_at"	"208991_at"	0.46
"211155_s_at"	"208992_s_at"	0.46
"211831_s_at"	"208991_at"	0.46
"211831_s_at"	"208992_s_at"	0.46
"211154_at"	"201114_x_at"	0.339
"211154_at"	"216088_s_at"	0.339
"211155_s_at"	"201114_x_at"	0.339
"211155_s_at"	"216088_s_at"	0.339
"211831_s_at"	"201114_x_at"	0.339
"211831_s_at"	"216088_s_at"	0.339
"211154_at"	"203591_s_at"	0.524
"211155_s_at"	"203591_s_at"	0.524
"211831_s_at"	"203591_s_at"	0.524
"211154_at"	"203010_at"	0.347
"211155_s_at"	"203010_at"	0.347
"211831_s_at"	"203010_at"	0.347
"211154_at"	"205798_at"	0.583
"211155_s_at"	"205798_at"	0.583
"211831_s_at"	"205798_at"	0.583
"211154_at"	"206883_x_at"	0.285
"211155_s_at"	"206883_x_at"	0.285
"211831_s_at"	"206883_x_at"	0.285
"211154_at"	"205945_at"	0.493
"211154_at"	"217489_s_at"	0.493
"211155_s_at"	"205945_at"	0.493
"211155_s_at"	"217489_s_at"	0.493
"211831_s_at"	"205945_at"	0.493
"211831_s_at"	"217489_s_at"	0.493
"211154_at"	"205723_at"	0.559
"211155_s_at"	"205723_at"	0.559
"211831_s_at"	"205723_at"	0.559
"211154_at"	"207163_s_at"	0.48
"211155_s_at"	"207163_s_at"	0.48
"211831_s_at"	"207163_s_at"	0.48
"211154_at"	"206493_at"	0.359
"211154_at"	"206494_s_at"	0.359
"211154_at"	"216956_s_at"	0.359
"211154_at"	"216966_at"	0.359
"211155_s_at"	"206493_at"	0.359
"211155_s_at"	"206494_s_at"	0.359
"211155_s_at"	"216956_s_at"	0.359
"211155_s_at"	"216966_at"	0.359
"211831_s_at"	"206493_at"	0.359
"211831_s_at"	"206494_s_at"	0.359
"211831_s_at"	"216956_s_at"	0.359
"211831_s_at"	"216966_at"	0.359
"211154_at"	"209201_x_at"	0.482
"211154_at"	"211919_s_at"	0.482
"211154_at"	"217028_at"	0.482
"211155_s_at"	"209201_x_at"	0.482
"211155_s_at"	"211919_s_at"	0.482
"211155_s_at"	"217028_at"	0.482
"211831_s_at"	"209201_x_at"	0.482
"211831_s_at"	"211919_s_at"	0.482
"211831_s_at"	"217028_at"	0.482
"211154_at"	"206390_x_at"	0.514
"211155_s_at"	"206390_x_at"	0.514
"211831_s_at"	"206390_x_at"	0.514
"219194_at"	"220427_at"	0.324
"219072_at"	"204099_at"	NA
"219072_at"	"219053_s_at"	NA
"202839_s_at"	"208714_at"	0.99
"211407_at"	"208714_at"	0.99
"202839_s_at"	"200883_at"	0.699
"202839_s_at"	"212600_s_at"	0.699
"211407_at"	"200883_at"	0.699
"211407_at"	"212600_s_at"	0.699
"202839_s_at"	"201568_at"	0.792
"211407_at"	"201568_at"	0.792
"202839_s_at"	"203663_s_at"	0.787
"211407_at"	"203663_s_at"	0.787
"202839_s_at"	"218320_s_at"	1
"211407_at"	"218320_s_at"	1
"202839_s_at"	"201541_s_at"	0.228
"211407_at"	"201541_s_at"	0.228
"202839_s_at"	"211752_s_at"	0.8
"211407_at"	"211752_s_at"	0.8
"202839_s_at"	"202004_x_at"	0.538
"202839_s_at"	"210131_x_at"	0.538
"202839_s_at"	"215088_s_at"	0.538
"202839_s_at"	"216591_s_at"	0.538
"211407_at"	"202004_x_at"	0.538
"211407_at"	"210131_x_at"	0.538
"211407_at"	"215088_s_at"	0.538
"211407_at"	"216591_s_at"	0.538
"202839_s_at"	"201134_x_at"	0.594
"202839_s_at"	"213846_at"	0.594
"202839_s_at"	"217491_x_at"	0.594
"211407_at"	"201134_x_at"	0.594
"211407_at"	"213846_at"	0.594
"211407_at"	"217491_x_at"	0.594
"202839_s_at"	"218563_at"	1
"211407_at"	"218563_at"	1
"218188_s_at"	"217873_at"	0.132
"218188_s_at"	"205217_at"	0.536
"218188_s_at"	"210800_at"	0.536
"201751_at"	"205217_at"	0.247
"201751_at"	"210800_at"	0.247
"201708_s_at"	"203452_at"	0.045
"201708_s_at"	"35179_at"	0.045
"201709_s_at"	"203452_at"	0.045
"201709_s_at"	"35179_at"	0.045
"201708_s_at"	"217720_at"	0.028
"201709_s_at"	"217720_at"	0.028
"209077_at"	"200094_s_at"	0.003
"209077_at"	"204102_s_at"	0.003
"209078_s_at"	"200094_s_at"	0.003
"209078_s_at"	"204102_s_at"	0.003
"209077_at"	"206662_at"	0.07
"209077_at"	"209276_s_at"	0.07
"209078_s_at"	"206662_at"	0.07
"209078_s_at"	"209276_s_at"	0.07
"209077_at"	"204408_at"	0
"209078_s_at"	"204408_at"	0
"209077_at"	"202799_at"	0.532
"209078_s_at"	"202799_at"	0.532
"209077_at"	"217716_s_at"	0
"209078_s_at"	"217716_s_at"	0
"209077_at"	"200936_at"	0.269
"209078_s_at"	"200936_at"	0.269
"209077_at"	"209036_s_at"	0.249
"209077_at"	"213333_at"	0.249
"209078_s_at"	"209036_s_at"	0.249
"209078_s_at"	"213333_at"	0.249
"209077_at"	"210803_at"	0
"209077_at"	"211177_s_at"	0
"209078_s_at"	"210803_at"	0
"209078_s_at"	"211177_s_at"	0
"204400_at"	"202224_at"	0.521
"204400_at"	"202225_at"	0.521
"204400_at"	"202226_s_at"	0.521
"210880_s_at"	"202224_at"	0.521
"210880_s_at"	"202225_at"	0.521
"210880_s_at"	"202226_s_at"	0.521
"201415_at"	"210803_at"	0.445
"201415_at"	"211177_s_at"	0.445
"211630_s_at"	"210803_at"	0.445
"211630_s_at"	"211177_s_at"	0.445
"201415_at"	"217752_s_at"	1
"211630_s_at"	"217752_s_at"	1
"201415_at"	"206662_at"	0.1
"201415_at"	"209276_s_at"	0.1
"211630_s_at"	"206662_at"	0.1
"211630_s_at"	"209276_s_at"	0.1
"201415_at"	"204174_at"	0.211
"211630_s_at"	"204174_at"	0.211
"201415_at"	"204550_x_at"	0.325
"201415_at"	"215333_x_at"	0.325
"211630_s_at"	"204550_x_at"	0.325
"211630_s_at"	"215333_x_at"	0.325
"201415_at"	"203925_at"	0.683
"211630_s_at"	"203925_at"	0.683
"207769_s_at"	"209381_x_at"	0.557
"207769_s_at"	"37462_i_at"	0.557
"210499_s_at"	"209381_x_at"	0.557
"210499_s_at"	"37462_i_at"	0.557
"214527_s_at"	"209381_x_at"	0.557
"214527_s_at"	"37462_i_at"	0.557
"207769_s_at"	"204031_s_at"	0.722
