"probe1"	"probe2"	"ont"
"208163_s_at"	"219070_s_at"	NA
"210344_at"	"219070_s_at"	NA
"207384_at"	"201681_s_at"	0.033
"207384_at"	"210469_at"	0.033
"207384_at"	"202415_s_at"	0.026
"210382_at"	"207577_at"	0.289
"210382_at"	"207578_s_at"	0.289
"210382_at"	"216939_s_at"	0.289
"210382_at"	"211201_at"	0.291
"210382_at"	"200744_s_at"	0.026
"210382_at"	"200745_s_at"	0.026
"210382_at"	"200746_s_at"	0.026
"210382_at"	"220538_at"	0.046
"210382_at"	"200852_x_at"	0.026
"210382_at"	"213245_at"	0
"210382_at"	"215340_at"	0
"210382_at"	"215348_at"	0
"210382_at"	"214510_at"	0.364
"204144_s_at"	"205873_at"	0.142
"204144_s_at"	"213889_at"	0.142
"203396_at"	"218481_at"	0.16
"203396_at"	"205377_s_at"	0.144
"203396_at"	"205378_s_at"	0.144
"203396_at"	"210332_at"	0.144
"203396_at"	"207535_s_at"	0.03
"203396_at"	"209636_at"	0.03
"203396_at"	"211524_at"	0.03
"203396_at"	"201114_x_at"	0.219
"203396_at"	"216088_s_at"	0.219
"203396_at"	"201568_at"	0.142
"203396_at"	"201252_at"	0.16
"203396_at"	"200967_at"	0.085
"203396_at"	"200968_s_at"	0.085
"203396_at"	"202186_x_at"	0.105
"203396_at"	"202187_s_at"	0.105
"203396_at"	"204695_at"	0.151
"203396_at"	"204696_s_at"	0.151
"203396_at"	"201011_at"	0.104
"203396_at"	"202240_at"	0.098
"203396_at"	"207113_s_at"	0.074
"203396_at"	"205205_at"	0.042
"203396_at"	"202243_s_at"	0.25
"203396_at"	"202244_at"	0.25
"203396_at"	"202024_at"	0.107
"203396_at"	"218555_at"	0.095
"203396_at"	"212219_at"	0.055
"203396_at"	"212220_at"	0.055
"203396_at"	"212222_at"	0.055
"203396_at"	"201364_s_at"	0.048
"203396_at"	"201365_at"	0.048
"203396_at"	"214062_x_at"	0.048
"203396_at"	"214448_x_at"	0.048
"200678_x_at"	"205936_s_at"	0
"211284_s_at"	"205936_s_at"	0
"216041_x_at"	"205936_s_at"	0
"200678_x_at"	"207163_s_at"	0.1
"211284_s_at"	"207163_s_at"	0.1
"216041_x_at"	"207163_s_at"	0.1
"200678_x_at"	"206493_at"	0.085
"200678_x_at"	"206494_s_at"	0.085
"200678_x_at"	"216956_s_at"	0.085
"200678_x_at"	"216966_at"	0.085
"211284_s_at"	"206493_at"	0.085
"211284_s_at"	"206494_s_at"	0.085
"211284_s_at"	"216956_s_at"	0.085
"211284_s_at"	"216966_at"	0.085
"216041_x_at"	"206493_at"	0.085
"216041_x_at"	"206494_s_at"	0.085
"216041_x_at"	"216956_s_at"	0.085
"216041_x_at"	"216966_at"	0.085
"200678_x_at"	"207113_s_at"	0.21
"211284_s_at"	"207113_s_at"	0.21
"216041_x_at"	"207113_s_at"	0.21
"204581_at"	"204563_at"	0.168
"217422_s_at"	"204563_at"	0.168
"220674_at"	"204563_at"	0.168
"38521_at"	"204563_at"	0.168
"204581_at"	"221345_at"	0.071
"217422_s_at"	"221345_at"	0.071
"220674_at"	"221345_at"	0.071
"38521_at"	"221345_at"	0.071
"204581_at"	"214049_x_at"	0
"204581_at"	"214551_s_at"	0
"217422_s_at"	"214049_x_at"	0
"217422_s_at"	"214551_s_at"	0
"220674_at"	"214049_x_at"	0
"220674_at"	"214551_s_at"	0
"38521_at"	"214049_x_at"	0
"38521_at"	"214551_s_at"	0
"204581_at"	"207113_s_at"	0.167
"217422_s_at"	"207113_s_at"	0.167
"220674_at"	"207113_s_at"	0.167
"38521_at"	"207113_s_at"	0.167
"204581_at"	"205049_s_at"	0.083
"217422_s_at"	"205049_s_at"	0.083
"220674_at"	"205049_s_at"	0.083
"38521_at"	"205049_s_at"	0.083
"204581_at"	"206056_x_at"	0.083
"204581_at"	"206057_x_at"	0.083
"204581_at"	"216980_s_at"	0.083
"204581_at"	"216981_x_at"	0.083
"217422_s_at"	"206056_x_at"	0.083
"217422_s_at"	"206057_x_at"	0.083
"217422_s_at"	"216980_s_at"	0.083
"217422_s_at"	"216981_x_at"	0.083
"220674_at"	"206056_x_at"	0.083
"220674_at"	"206057_x_at"	0.083
"220674_at"	"216980_s_at"	0.083
"220674_at"	"216981_x_at"	0.083
"38521_at"	"206056_x_at"	0.083
"38521_at"	"206057_x_at"	0.083
"38521_at"	"216980_s_at"	0.083
"38521_at"	"216981_x_at"	0.083
"204581_at"	"215925_s_at"	0.137
"217422_s_at"	"215925_s_at"	0.137
"220674_at"	"215925_s_at"	0.137
"38521_at"	"215925_s_at"	0.137
"204581_at"	"207641_at"	0.071
"217422_s_at"	"207641_at"	0.071
"220674_at"	"207641_at"	0.071
"38521_at"	"207641_at"	0.071
"201252_at"	"207535_s_at"	0.03
"201252_at"	"209636_at"	0.03
"201252_at"	"211524_at"	0.03
"201252_at"	"201114_x_at"	0.147
"201252_at"	"216088_s_at"	0.147
"201252_at"	"202186_x_at"	0.105
"201252_at"	"202187_s_at"	0.105
"201252_at"	"204695_at"	0.151
"201252_at"	"204696_s_at"	0.151
"201252_at"	"202240_at"	0.098
"201252_at"	"207113_s_at"	0.074
"201252_at"	"205205_at"	0.042
"201252_at"	"202243_s_at"	0.16
"201252_at"	"202244_at"	0.16
"201252_at"	"218555_at"	0.095
"201252_at"	"212219_at"	0.055
"201252_at"	"212220_at"	0.055
"201252_at"	"212222_at"	0.055
"201252_at"	"201364_s_at"	0.048
"201252_at"	"201365_at"	0.048
"201252_at"	"214062_x_at"	0.048
"201252_at"	"214448_x_at"	0.048
"201252_at"	"218103_at"	0.11
"201252_at"	"206140_at"	0
"201252_at"	"211219_s_at"	0
"220807_at"	"206647_at"	0.566
"220807_at"	"211560_s_at"	0.25
"220807_at"	"205919_at"	0.535
"220807_at"	"217683_at"	0.535
"220807_at"	"201135_at"	0.079
"220807_at"	"208291_s_at"	0.116
"220807_at"	"206834_at"	0.535
"204989_s_at"	"218906_x_at"	0.181
"204990_s_at"	"218906_x_at"	0.181
"211905_s_at"	"218906_x_at"	0.181
"214292_at"	"218906_x_at"	0.181
"204989_s_at"	"212983_at"	0.076
"204990_s_at"	"212983_at"	0.076
"211905_s_at"	"212983_at"	0.076
"214292_at"	"212983_at"	0.076
"204989_s_at"	"202112_at"	0.198
"204990_s_at"	"202112_at"	0.198
"211905_s_at"	"202112_at"	0.198
"214292_at"	"202112_at"	0.198
"204989_s_at"	"206869_at"	NA
"204990_s_at"	"206869_at"	NA
"211905_s_at"	"206869_at"	NA
"214292_at"	"206869_at"	NA
"204989_s_at"	"206270_at"	0
"204990_s_at"	"206270_at"	0
"211905_s_at"	"206270_at"	0
"214292_at"	"206270_at"	0
"204989_s_at"	"207163_s_at"	0.06
"204990_s_at"	"207163_s_at"	0.06
"211905_s_at"	"207163_s_at"	0.06
"214292_at"	"207163_s_at"	0.06
"204989_s_at"	"206493_at"	0.095
"204989_s_at"	"206494_s_at"	0.095
"204989_s_at"	"216956_s_at"	0.095
"204989_s_at"	"216966_at"	0.095
"204990_s_at"	"206493_at"	0.095
"204990_s_at"	"206494_s_at"	0.095
"204990_s_at"	"216956_s_at"	0.095
"204990_s_at"	"216966_at"	0.095
"211905_s_at"	"206493_at"	0.095
"211905_s_at"	"206494_s_at"	0.095
"211905_s_at"	"216956_s_at"	0.095
"211905_s_at"	"216966_at"	0.095
"214292_at"	"206493_at"	0.095
"214292_at"	"206494_s_at"	0.095
"214292_at"	"216956_s_at"	0.095
"214292_at"	"216966_at"	0.095
"204989_s_at"	"210150_s_at"	0.24
"204990_s_at"	"210150_s_at"	0.24
"211905_s_at"	"210150_s_at"	0.24
"214292_at"	"210150_s_at"	0.24
"204989_s_at"	"202224_at"	0.136
"204989_s_at"	"202225_at"	0.136
"204989_s_at"	"202226_s_at"	0.136
"204990_s_at"	"202224_at"	0.136
"204990_s_at"	"202225_at"	0.136
"204990_s_at"	"202226_s_at"	0.136
"211905_s_at"	"202224_at"	0.136
"211905_s_at"	"202225_at"	0.136
"211905_s_at"	"202226_s_at"	0.136
"214292_at"	"202224_at"	0.136
"214292_at"	"202225_at"	0.136
"214292_at"	"202226_s_at"	0.136
"204989_s_at"	"208156_x_at"	0.146
"204990_s_at"	"208156_x_at"	0.146
"211905_s_at"	"208156_x_at"	0.146
"214292_at"	"208156_x_at"	0.146
"204989_s_at"	"200601_at"	0.176
"204990_s_at"	"200601_at"	0.176
"211905_s_at"	"200601_at"	0.176
"214292_at"	"200601_at"	0.176
"204989_s_at"	"205713_s_at"	0.123
"204990_s_at"	"205713_s_at"	0.123
"211905_s_at"	"205713_s_at"	0.123
"214292_at"	"205713_s_at"	0.123
"204989_s_at"	"204724_s_at"	0
"204990_s_at"	"204724_s_at"	0
"211905_s_at"	"204724_s_at"	0
"214292_at"	"204724_s_at"	0
"202014_at"	"202186_x_at"	0.398
"202014_at"	"202187_s_at"	0.398
"37028_at"	"202186_x_at"	0.398
"37028_at"	"202187_s_at"	0.398
"202014_at"	"215624_at"	0.29
"202014_at"	"215735_s_at"	0.29
"37028_at"	"215624_at"	0.29
"37028_at"	"215735_s_at"	0.29
"202014_at"	"203318_s_at"	0.043
"202014_at"	"203319_s_at"	0.043
"37028_at"	"203318_s_at"	0.043
"37028_at"	"203319_s_at"	0.043
"202014_at"	"208960_s_at"	0.047
"202014_at"	"208961_s_at"	0.047
"202014_at"	"211610_at"	0.047
"37028_at"	"208960_s_at"	0.047
"37028_at"	"208961_s_at"	0.047
"37028_at"	"211610_at"	0.047
"205688_at"	"214732_at"	0.279
"205688_at"	"204079_at"	0.097
"205688_at"	"213283_s_at"	0.24
"211154_at"	"205312_at"	0.057
"211155_s_at"	"205312_at"	0.057
"211831_s_at"	"205312_at"	0.057
"211154_at"	"205377_s_at"	0.047
"211154_at"	"205378_s_at"	0.047
"211154_at"	"210332_at"	0.047
"211155_s_at"	"205377_s_at"	0.047
"211155_s_at"	"205378_s_at"	0.047
"211155_s_at"	"210332_at"	0.047
"211831_s_at"	"205377_s_at"	0.047
"211831_s_at"	"205378_s_at"	0.047
"211831_s_at"	"210332_at"	0.047
"211154_at"	"202112_at"	0.126
"211155_s_at"	"202112_at"	0.126
"211831_s_at"	"202112_at"	0.126
"211154_at"	"207954_at"	0.061
"211154_at"	"209710_at"	0.061
"211154_at"	"210358_x_at"	0.061
"211155_s_at"	"207954_at"	0.061
"211155_s_at"	"209710_at"	0.061
"211155_s_at"	"210358_x_at"	0.061
"211831_s_at"	"207954_at"	0.061
"211831_s_at"	"209710_at"	0.061
"211831_s_at"	"210358_x_at"	0.061
"211154_at"	"212777_at"	0.234
"211154_at"	"212780_at"	0.234
"211155_s_at"	"212777_at"	0.234
"211155_s_at"	"212780_at"	0.234
"211831_s_at"	"212777_at"	0.234
"211831_s_at"	"212780_at"	0.234
"211154_at"	"208991_at"	0.06
"211154_at"	"208992_s_at"	0.06
"211155_s_at"	"208991_at"	0.06
"211155_s_at"	"208992_s_at"	0.06
"211831_s_at"	"208991_at"	0.06
"211831_s_at"	"208992_s_at"	0.06
"211154_at"	"201114_x_at"	0.076
"211154_at"	"216088_s_at"	0.076
"211155_s_at"	"201114_x_at"	0.076
"211155_s_at"	"216088_s_at"	0.076
"211831_s_at"	"201114_x_at"	0.076
"211831_s_at"	"216088_s_at"	0.076
"211154_at"	"203591_s_at"	0.059
"211155_s_at"	"203591_s_at"	0.059
"211831_s_at"	"203591_s_at"	0.059
"211154_at"	"203010_at"	0.048
"211155_s_at"	"203010_at"	0.048
"211831_s_at"	"203010_at"	0.048
"211154_at"	"205798_at"	0.055
"211155_s_at"	"205798_at"	0.055
"211831_s_at"	"205798_at"	0.055
"211154_at"	"206883_x_at"	0.095
"211155_s_at"	"206883_x_at"	0.095
"211831_s_at"	"206883_x_at"	0.095
"211154_at"	"205945_at"	0.18
"211154_at"	"217489_s_at"	0.18
"211155_s_at"	"205945_at"	0.18
"211155_s_at"	"217489_s_at"	0.18
"211831_s_at"	"205945_at"	0.18
"211831_s_at"	"217489_s_at"	0.18
"211154_at"	"205723_at"	0.166
"211155_s_at"	"205723_at"	0.166
"211831_s_at"	"205723_at"	0.166
"211154_at"	"207163_s_at"	0.086
"211155_s_at"	"207163_s_at"	0.086
"211831_s_at"	"207163_s_at"	0.086
"211154_at"	"206493_at"	0.095
"211154_at"	"206494_s_at"	0.095
"211154_at"	"216956_s_at"	0.095
"211154_at"	"216966_at"	0.095
"211155_s_at"	"206493_at"	0.095
"211155_s_at"	"206494_s_at"	0.095
"211155_s_at"	"216956_s_at"	0.095
"211155_s_at"	"216966_at"	0.095
"211831_s_at"	"206493_at"	0.095
"211831_s_at"	"206494_s_at"	0.095
"211831_s_at"	"216956_s_at"	0.095
"211831_s_at"	"216966_at"	0.095
"211154_at"	"209201_x_at"	0.061
"211154_at"	"211919_s_at"	0.061
"211154_at"	"217028_at"	0.061
"211155_s_at"	"209201_x_at"	0.061
"211155_s_at"	"211919_s_at"	0.061
"211155_s_at"	"217028_at"	0.061
"211831_s_at"	"209201_x_at"	0.061
"211831_s_at"	"211919_s_at"	0.061
"211831_s_at"	"217028_at"	0.061
"211154_at"	"206390_x_at"	0.255
"211155_s_at"	"206390_x_at"	0.255
"211831_s_at"	"206390_x_at"	0.255
"219194_at"	"220427_at"	0.144
"219072_at"	"204099_at"	NA
"219072_at"	"219053_s_at"	NA
"202839_s_at"	"208714_at"	0.644
"211407_at"	"208714_at"	0.644
"202839_s_at"	"200883_at"	0.142
"202839_s_at"	"212600_s_at"	0.142
"211407_at"	"200883_at"	0.142
"211407_at"	"212600_s_at"	0.142
"202839_s_at"	"201568_at"	0.321
"211407_at"	"201568_at"	0.321
"202839_s_at"	"203663_s_at"	0.321
"211407_at"	"203663_s_at"	0.321
"202839_s_at"	"218320_s_at"	0
"211407_at"	"218320_s_at"	0
"202839_s_at"	"201541_s_at"	0
"211407_at"	"201541_s_at"	0
"202839_s_at"	"211752_s_at"	0.644
"211407_at"	"211752_s_at"	0.644
"202839_s_at"	"202004_x_at"	0.321
"202839_s_at"	"210131_x_at"	0.321
"202839_s_at"	"215088_s_at"	0.321
"202839_s_at"	"216591_s_at"	0.321
"211407_at"	"202004_x_at"	0.321
"211407_at"	"210131_x_at"	0.321
"211407_at"	"215088_s_at"	0.321
"211407_at"	"216591_s_at"	0.321
"202839_s_at"	"201134_x_at"	0.321
"202839_s_at"	"213846_at"	0.321
"202839_s_at"	"217491_x_at"	0.321
"211407_at"	"201134_x_at"	0.321
"211407_at"	"213846_at"	0.321
"211407_at"	"217491_x_at"	0.321
"202839_s_at"	"218563_at"	0.644
"211407_at"	"218563_at"	0.644
"218188_s_at"	"217873_at"	0.02
"218188_s_at"	"205217_at"	0.046
"218188_s_at"	"210800_at"	0.046
"201751_at"	"205217_at"	0.095
"201751_at"	"210800_at"	0.095
"201708_s_at"	"203452_at"	0.095
"201708_s_at"	"35179_at"	0.095
"201709_s_at"	"203452_at"	0.095
"201709_s_at"	"35179_at"	0.095
"201708_s_at"	"217720_at"	0.095
"201709_s_at"	"217720_at"	0.095
"209077_at"	"200094_s_at"	0.095
"209077_at"	"204102_s_at"	0.095
"209078_s_at"	"200094_s_at"	0.095
"209078_s_at"	"204102_s_at"	0.095
"209077_at"	"206662_at"	0.095
"209077_at"	"209276_s_at"	0.095
"209078_s_at"	"206662_at"	0.095
"209078_s_at"	"209276_s_at"	0.095
"209077_at"	"204408_at"	0
"209078_s_at"	"204408_at"	0
"209077_at"	"202799_at"	0.095
"209078_s_at"	"202799_at"	0.095
"209077_at"	"217716_s_at"	0.095
"209078_s_at"	"217716_s_at"	0.095
"209077_at"	"200936_at"	0.046
"209078_s_at"	"200936_at"	0.046
"209077_at"	"209036_s_at"	0.046
"209077_at"	"213333_at"	0.046
"209078_s_at"	"209036_s_at"	0.046
"209078_s_at"	"213333_at"	0.046
"209077_at"	"210803_at"	0.095
"209077_at"	"211177_s_at"	0.095
"209078_s_at"	"210803_at"	0.095
"209078_s_at"	"211177_s_at"	0.095
"204400_at"	"202224_at"	0.179
"204400_at"	"202225_at"	0.179
"204400_at"	"202226_s_at"	0.179
"210880_s_at"	"202224_at"	0.179
"210880_s_at"	"202225_at"	0.179
"210880_s_at"	"202226_s_at"	0.179
"201415_at"	"210803_at"	0.089
"201415_at"	"211177_s_at"	0.089
"211630_s_at"	"210803_at"	0.089
"211630_s_at"	"211177_s_at"	0.089
"201415_at"	"217752_s_at"	0.142
"211630_s_at"	"217752_s_at"	0.142
"201415_at"	"206662_at"	0.094
"201415_at"	"209276_s_at"	0.094
"211630_s_at"	"206662_at"	0.094
"211630_s_at"	"209276_s_at"	0.094
"201415_at"	"204174_at"	0.16
"211630_s_at"	"204174_at"	0.16
"201415_at"	"204550_x_at"	0.329
"201415_at"	"215333_x_at"	0.329
"211630_s_at"	"204550_x_at"	0.329
"211630_s_at"	"215333_x_at"	0.329
"201415_at"	"203925_at"	0.187
"211630_s_at"	"203925_at"	0.187
"207769_s_at"	"209381_x_at"	0.121
"207769_s_at"	"37462_i_at"	0.121
"210499_s_at"	"209381_x_at"	0.121
"210499_s_at"	"37462_i_at"	0.121
"214527_s_at"	"209381_x_at"	0.121
"214527_s_at"	"37462_i_at"	0.121
"207769_s_at"	"204031_s_at"	0.116
"207769_s_at"	"213263_s_at"	0.116
