"probe1"	"probe2"	"ont"
"208163_s_at"	"219070_s_at"	NA
"210344_at"	"219070_s_at"	NA
"207384_at"	"201681_s_at"	0.312
"207384_at"	"210469_at"	0.312
"207384_at"	"202415_s_at"	0.406
"210382_at"	"207577_at"	0.629
"210382_at"	"207578_s_at"	0.629
"210382_at"	"216939_s_at"	0.629
"210382_at"	"211201_at"	0.547
"210382_at"	"200744_s_at"	0.489
"210382_at"	"200745_s_at"	0.489
"210382_at"	"200746_s_at"	0.489
"210382_at"	"220538_at"	0.235
"210382_at"	"200852_x_at"	0.445
"210382_at"	"213245_at"	0.602
"210382_at"	"215340_at"	0.602
"210382_at"	"215348_at"	0.602
"210382_at"	"214510_at"	0.595
"204144_s_at"	"205873_at"	1
"204144_s_at"	"213889_at"	1
"203396_at"	"218481_at"	0.816
"203396_at"	"205377_s_at"	0.512
"203396_at"	"205378_s_at"	0.512
"203396_at"	"210332_at"	0.512
"203396_at"	"207535_s_at"	0.831
"203396_at"	"209636_at"	0.831
"203396_at"	"211524_at"	0.831
"203396_at"	"201114_x_at"	0.938
"203396_at"	"216088_s_at"	0.938
"203396_at"	"201568_at"	0.534
"203396_at"	"201252_at"	0.795
"203396_at"	"200967_at"	0.671
"203396_at"	"200968_s_at"	0.671
"203396_at"	"202186_x_at"	0.704
"203396_at"	"202187_s_at"	0.704
"203396_at"	"204695_at"	0.815
"203396_at"	"204696_s_at"	0.815
"203396_at"	"201011_at"	0.605
"203396_at"	"202240_at"	0.653
"203396_at"	"207113_s_at"	0.431
"203396_at"	"205205_at"	0.705
"203396_at"	"202243_s_at"	0.957
"203396_at"	"202244_at"	0.957
"203396_at"	"202024_at"	0.793
"203396_at"	"218555_at"	0.676
"203396_at"	"212219_at"	0.877
"203396_at"	"212220_at"	0.877
"203396_at"	"212222_at"	0.877
"203396_at"	"201364_s_at"	0.774
"203396_at"	"201365_at"	0.774
"203396_at"	"214062_x_at"	1
"203396_at"	"214448_x_at"	1
"200678_x_at"	"205936_s_at"	0.68
"211284_s_at"	"205936_s_at"	0.68
"216041_x_at"	"205936_s_at"	0.68
"200678_x_at"	"207163_s_at"	0.518
"211284_s_at"	"207163_s_at"	0.518
"216041_x_at"	"207163_s_at"	0.518
"200678_x_at"	"206493_at"	0.543
"200678_x_at"	"206494_s_at"	0.543
"200678_x_at"	"216956_s_at"	0.543
"200678_x_at"	"216966_at"	0.543
"211284_s_at"	"206493_at"	0.543
"211284_s_at"	"206494_s_at"	0.543
"211284_s_at"	"216956_s_at"	0.543
"211284_s_at"	"216966_at"	0.543
"216041_x_at"	"206493_at"	0.543
"216041_x_at"	"206494_s_at"	0.543
"216041_x_at"	"216956_s_at"	0.543
"216041_x_at"	"216966_at"	0.543
"200678_x_at"	"207113_s_at"	0.53
"211284_s_at"	"207113_s_at"	0.53
"216041_x_at"	"207113_s_at"	0.53
"204581_at"	"204563_at"	0.573
"217422_s_at"	"204563_at"	0.573
"220674_at"	"204563_at"	0.573
"38521_at"	"204563_at"	0.573
"204581_at"	"221345_at"	0.531
"217422_s_at"	"221345_at"	0.531
"220674_at"	"221345_at"	0.531
"38521_at"	"221345_at"	0.531
"204581_at"	"214049_x_at"	0.607
"204581_at"	"214551_s_at"	0.607
"217422_s_at"	"214049_x_at"	0.607
"217422_s_at"	"214551_s_at"	0.607
"220674_at"	"214049_x_at"	0.607
"220674_at"	"214551_s_at"	0.607
"38521_at"	"214049_x_at"	0.607
"38521_at"	"214551_s_at"	0.607
"204581_at"	"207113_s_at"	0.703
"217422_s_at"	"207113_s_at"	0.703
"220674_at"	"207113_s_at"	0.703
"38521_at"	"207113_s_at"	0.703
"204581_at"	"205049_s_at"	0.641
"217422_s_at"	"205049_s_at"	0.641
"220674_at"	"205049_s_at"	0.641
"38521_at"	"205049_s_at"	0.641
"204581_at"	"206056_x_at"	0.666
"204581_at"	"206057_x_at"	0.666
"204581_at"	"216980_s_at"	0.666
"204581_at"	"216981_x_at"	0.666
"217422_s_at"	"206056_x_at"	0.666
"217422_s_at"	"206057_x_at"	0.666
"217422_s_at"	"216980_s_at"	0.666
"217422_s_at"	"216981_x_at"	0.666
"220674_at"	"206056_x_at"	0.666
"220674_at"	"206057_x_at"	0.666
"220674_at"	"216980_s_at"	0.666
"220674_at"	"216981_x_at"	0.666
"38521_at"	"206056_x_at"	0.666
"38521_at"	"206057_x_at"	0.666
"38521_at"	"216980_s_at"	0.666
"38521_at"	"216981_x_at"	0.666
"204581_at"	"215925_s_at"	0.531
"217422_s_at"	"215925_s_at"	0.531
"220674_at"	"215925_s_at"	0.531
"38521_at"	"215925_s_at"	0.531
"204581_at"	"207641_at"	1
"217422_s_at"	"207641_at"	1
"220674_at"	"207641_at"	1
"38521_at"	"207641_at"	1
"201252_at"	"207535_s_at"	0.777
"201252_at"	"209636_at"	0.777
"201252_at"	"211524_at"	0.777
"201252_at"	"201114_x_at"	0.805
"201252_at"	"216088_s_at"	0.805
"201252_at"	"202186_x_at"	0.749
"201252_at"	"202187_s_at"	0.749
"201252_at"	"204695_at"	0.762
"201252_at"	"204696_s_at"	0.762
"201252_at"	"202240_at"	0.624
"201252_at"	"207113_s_at"	0.452
"201252_at"	"205205_at"	0.711
"201252_at"	"202243_s_at"	0.807
"201252_at"	"202244_at"	0.807
"201252_at"	"218555_at"	0.666
"201252_at"	"212219_at"	0.817
"201252_at"	"212220_at"	0.817
"201252_at"	"212222_at"	0.817
"201252_at"	"201364_s_at"	0.709
"201252_at"	"201365_at"	0.709
"201252_at"	"214062_x_at"	1
"201252_at"	"214448_x_at"	1
"201252_at"	"218103_at"	0.58
"201252_at"	"206140_at"	NA
"201252_at"	"211219_s_at"	NA
"220807_at"	"206647_at"	0.818
"220807_at"	"211560_s_at"	0.347
"220807_at"	"205919_at"	0.815
"220807_at"	"217683_at"	0.815
"220807_at"	"201135_at"	0.349
"220807_at"	"208291_s_at"	0.374
"220807_at"	"206834_at"	0.815
"204989_s_at"	"218906_x_at"	0.471
"204990_s_at"	"218906_x_at"	0.471
"211905_s_at"	"218906_x_at"	0.471
"214292_at"	"218906_x_at"	0.471
"204989_s_at"	"212983_at"	0.399
"204990_s_at"	"212983_at"	0.399
"211905_s_at"	"212983_at"	0.399
"214292_at"	"212983_at"	0.399
"204989_s_at"	"202112_at"	0.362
"204990_s_at"	"202112_at"	0.362
"211905_s_at"	"202112_at"	0.362
"214292_at"	"202112_at"	0.362
"204989_s_at"	"206869_at"	0.293
"204990_s_at"	"206869_at"	0.293
"211905_s_at"	"206869_at"	0.293
"214292_at"	"206869_at"	0.293
"204989_s_at"	"206270_at"	0.423
"204990_s_at"	"206270_at"	0.423
"211905_s_at"	"206270_at"	0.423
"214292_at"	"206270_at"	0.423
"204989_s_at"	"207163_s_at"	0.491
"204990_s_at"	"207163_s_at"	0.491
"211905_s_at"	"207163_s_at"	0.491
"214292_at"	"207163_s_at"	0.491
"204989_s_at"	"206493_at"	0.604
"204989_s_at"	"206494_s_at"	0.604
"204989_s_at"	"216956_s_at"	0.604
"204989_s_at"	"216966_at"	0.604
"204990_s_at"	"206493_at"	0.604
"204990_s_at"	"206494_s_at"	0.604
"204990_s_at"	"216956_s_at"	0.604
"204990_s_at"	"216966_at"	0.604
"211905_s_at"	"206493_at"	0.604
"211905_s_at"	"206494_s_at"	0.604
"211905_s_at"	"216956_s_at"	0.604
"211905_s_at"	"216966_at"	0.604
"214292_at"	"206493_at"	0.604
"214292_at"	"206494_s_at"	0.604
"214292_at"	"216956_s_at"	0.604
"214292_at"	"216966_at"	0.604
"204989_s_at"	"210150_s_at"	0.395
"204990_s_at"	"210150_s_at"	0.395
"211905_s_at"	"210150_s_at"	0.395
"214292_at"	"210150_s_at"	0.395
"204989_s_at"	"202224_at"	0.508
"204989_s_at"	"202225_at"	0.508
"204989_s_at"	"202226_s_at"	0.508
"204990_s_at"	"202224_at"	0.508
"204990_s_at"	"202225_at"	0.508
"204990_s_at"	"202226_s_at"	0.508
"211905_s_at"	"202224_at"	0.508
"211905_s_at"	"202225_at"	0.508
"211905_s_at"	"202226_s_at"	0.508
"214292_at"	"202224_at"	0.508
"214292_at"	"202225_at"	0.508
"214292_at"	"202226_s_at"	0.508
"204989_s_at"	"208156_x_at"	0.517
"204990_s_at"	"208156_x_at"	0.517
"211905_s_at"	"208156_x_at"	0.517
"214292_at"	"208156_x_at"	0.517
"204989_s_at"	"200601_at"	0.551
"204990_s_at"	"200601_at"	0.551
"211905_s_at"	"200601_at"	0.551
"214292_at"	"200601_at"	0.551
"204989_s_at"	"205713_s_at"	0.381
"204990_s_at"	"205713_s_at"	0.381
"211905_s_at"	"205713_s_at"	0.381
"214292_at"	"205713_s_at"	0.381
"204989_s_at"	"204724_s_at"	0.334
"204990_s_at"	"204724_s_at"	0.334
"211905_s_at"	"204724_s_at"	0.334
"214292_at"	"204724_s_at"	0.334
"202014_at"	"202186_x_at"	0.773
"202014_at"	"202187_s_at"	0.773
"37028_at"	"202186_x_at"	0.773
"37028_at"	"202187_s_at"	0.773
"202014_at"	"215624_at"	0.842
"202014_at"	"215735_s_at"	0.842
"37028_at"	"215624_at"	0.842
"37028_at"	"215735_s_at"	0.842
"202014_at"	"203318_s_at"	0.667
"202014_at"	"203319_s_at"	0.667
"37028_at"	"203318_s_at"	0.667
"37028_at"	"203319_s_at"	0.667
"202014_at"	"208960_s_at"	0.695
"202014_at"	"208961_s_at"	0.695
"202014_at"	"211610_at"	0.695
"37028_at"	"208960_s_at"	0.695
"37028_at"	"208961_s_at"	0.695
"37028_at"	"211610_at"	0.695
"205688_at"	"214732_at"	0.803
"205688_at"	"204079_at"	0.644
"205688_at"	"213283_s_at"	1
"211154_at"	"205312_at"	0.166
"211155_s_at"	"205312_at"	0.166
"211831_s_at"	"205312_at"	0.166
"211154_at"	"205377_s_at"	1
"211154_at"	"205378_s_at"	1
"211154_at"	"210332_at"	1
"211155_s_at"	"205377_s_at"	1
"211155_s_at"	"205378_s_at"	1
"211155_s_at"	"210332_at"	1
"211831_s_at"	"205377_s_at"	1
"211831_s_at"	"205378_s_at"	1
"211831_s_at"	"210332_at"	1
"211154_at"	"202112_at"	1
"211155_s_at"	"202112_at"	1
"211831_s_at"	"202112_at"	1
"211154_at"	"207954_at"	0.234
"211154_at"	"209710_at"	0.234
"211154_at"	"210358_x_at"	0.234
"211155_s_at"	"207954_at"	0.234
"211155_s_at"	"209710_at"	0.234
"211155_s_at"	"210358_x_at"	0.234
"211831_s_at"	"207954_at"	0.234
"211831_s_at"	"209710_at"	0.234
"211831_s_at"	"210358_x_at"	0.234
"211154_at"	"212777_at"	0.235
"211154_at"	"212780_at"	0.235
"211155_s_at"	"212777_at"	0.235
"211155_s_at"	"212780_at"	0.235
"211831_s_at"	"212777_at"	0.235
"211831_s_at"	"212780_at"	0.235
"211154_at"	"208991_at"	0.235
"211154_at"	"208992_s_at"	0.235
"211155_s_at"	"208991_at"	0.235
"211155_s_at"	"208992_s_at"	0.235
"211831_s_at"	"208991_at"	0.235
"211831_s_at"	"208992_s_at"	0.235
"211154_at"	"201114_x_at"	0.296
"211154_at"	"216088_s_at"	0.296
"211155_s_at"	"201114_x_at"	0.296
"211155_s_at"	"216088_s_at"	0.296
"211831_s_at"	"201114_x_at"	0.296
"211831_s_at"	"216088_s_at"	0.296
"211154_at"	"203591_s_at"	0.276
"211155_s_at"	"203591_s_at"	0.276
"211831_s_at"	"203591_s_at"	0.276
"211154_at"	"203010_at"	0.191
"211155_s_at"	"203010_at"	0.191
"211831_s_at"	"203010_at"	0.191
"211154_at"	"205798_at"	0.235
"211155_s_at"	"205798_at"	0.235
"211831_s_at"	"205798_at"	0.235
"211154_at"	"206883_x_at"	0.235
"211155_s_at"	"206883_x_at"	0.235
"211831_s_at"	"206883_x_at"	0.235
"211154_at"	"205945_at"	1
"211154_at"	"217489_s_at"	1
"211155_s_at"	"205945_at"	1
"211155_s_at"	"217489_s_at"	1
"211831_s_at"	"205945_at"	1
"211831_s_at"	"217489_s_at"	1
"211154_at"	"205723_at"	0.432
"211155_s_at"	"205723_at"	0.432
"211831_s_at"	"205723_at"	0.432
"211154_at"	"207163_s_at"	0.444
"211155_s_at"	"207163_s_at"	0.444
"211831_s_at"	"207163_s_at"	0.444
"211154_at"	"206493_at"	0.549
"211154_at"	"206494_s_at"	0.549
"211154_at"	"216956_s_at"	0.549
"211154_at"	"216966_at"	0.549
"211155_s_at"	"206493_at"	0.549
"211155_s_at"	"206494_s_at"	0.549
"211155_s_at"	"216956_s_at"	0.549
"211155_s_at"	"216966_at"	0.549
"211831_s_at"	"206493_at"	0.549
"211831_s_at"	"206494_s_at"	0.549
"211831_s_at"	"216956_s_at"	0.549
"211831_s_at"	"216966_at"	0.549
"211154_at"	"209201_x_at"	0.444
"211154_at"	"211919_s_at"	0.444
"211154_at"	"217028_at"	0.444
"211155_s_at"	"209201_x_at"	0.444
"211155_s_at"	"211919_s_at"	0.444
"211155_s_at"	"217028_at"	0.444
"211831_s_at"	"209201_x_at"	0.444
"211831_s_at"	"211919_s_at"	0.444
"211831_s_at"	"217028_at"	0.444
"211154_at"	"206390_x_at"	1
"211155_s_at"	"206390_x_at"	1
"211831_s_at"	"206390_x_at"	1
"219194_at"	"220427_at"	0.275
"219072_at"	"204099_at"	NA
"219072_at"	"219053_s_at"	NA
"202839_s_at"	"208714_at"	0.915
"211407_at"	"208714_at"	0.915
"202839_s_at"	"200883_at"	0.854
"202839_s_at"	"212600_s_at"	0.854
"211407_at"	"200883_at"	0.854
"211407_at"	"212600_s_at"	0.854
"202839_s_at"	"201568_at"	0.905
"211407_at"	"201568_at"	0.905
"202839_s_at"	"203663_s_at"	0.833
"211407_at"	"203663_s_at"	0.833
"202839_s_at"	"218320_s_at"	0.959
"211407_at"	"218320_s_at"	0.959
"202839_s_at"	"201541_s_at"	0.529
"211407_at"	"201541_s_at"	0.529
"202839_s_at"	"211752_s_at"	0.803
"211407_at"	"211752_s_at"	0.803
"202839_s_at"	"202004_x_at"	0.775
"202839_s_at"	"210131_x_at"	0.775
"202839_s_at"	"215088_s_at"	0.775
"202839_s_at"	"216591_s_at"	0.775
"211407_at"	"202004_x_at"	0.775
"211407_at"	"210131_x_at"	0.775
"211407_at"	"215088_s_at"	0.775
"211407_at"	"216591_s_at"	0.775
"202839_s_at"	"201134_x_at"	0.908
"202839_s_at"	"213846_at"	0.908
"202839_s_at"	"217491_x_at"	0.908
"211407_at"	"201134_x_at"	0.908
"211407_at"	"213846_at"	0.908
"211407_at"	"217491_x_at"	0.908
"202839_s_at"	"218563_at"	0.959
"211407_at"	"218563_at"	0.959
"218188_s_at"	"217873_at"	0.418
"218188_s_at"	"205217_at"	0.806
"218188_s_at"	"210800_at"	0.806
"201751_at"	"205217_at"	0.443
"201751_at"	"210800_at"	0.443
"201708_s_at"	"203452_at"	0.824
"201708_s_at"	"35179_at"	0.824
"201709_s_at"	"203452_at"	0.824
"201709_s_at"	"35179_at"	0.824
"201708_s_at"	"217720_at"	1
"201709_s_at"	"217720_at"	1
"209077_at"	"200094_s_at"	0.449
"209077_at"	"204102_s_at"	0.449
"209078_s_at"	"200094_s_at"	0.449
"209078_s_at"	"204102_s_at"	0.449
"209077_at"	"206662_at"	0.432
"209077_at"	"209276_s_at"	0.432
"209078_s_at"	"206662_at"	0.432
"209078_s_at"	"209276_s_at"	0.432
"209077_at"	"204408_at"	0.795
"209078_s_at"	"204408_at"	0.795
"209077_at"	"202799_at"	0.838
"209078_s_at"	"202799_at"	0.838
"209077_at"	"217716_s_at"	0.556
"209078_s_at"	"217716_s_at"	0.556
"209077_at"	"200936_at"	0.405
"209078_s_at"	"200936_at"	0.405
"209077_at"	"209036_s_at"	0.796
"209077_at"	"213333_at"	0.796
"209078_s_at"	"209036_s_at"	0.796
"209078_s_at"	"213333_at"	0.796
"209077_at"	"210803_at"	0.832
"209077_at"	"211177_s_at"	0.832
"209078_s_at"	"210803_at"	0.832
"209078_s_at"	"211177_s_at"	0.832
"204400_at"	"202224_at"	0.577
"204400_at"	"202225_at"	0.577
"204400_at"	"202226_s_at"	0.577
"210880_s_at"	"202224_at"	0.577
"210880_s_at"	"202225_at"	0.577
"210880_s_at"	"202226_s_at"	0.577
"201415_at"	"210803_at"	0.677
"201415_at"	"211177_s_at"	0.677
"211630_s_at"	"210803_at"	0.677
"211630_s_at"	"211177_s_at"	0.677
"201415_at"	"217752_s_at"	0.864
"211630_s_at"	"217752_s_at"	0.864
"201415_at"	"206662_at"	1
"201415_at"	"209276_s_at"	1
"211630_s_at"	"206662_at"	1
"211630_s_at"	"209276_s_at"	1
"201415_at"	"204174_at"	0.355
"211630_s_at"	"204174_at"	0.355
"201415_at"	"204550_x_at"	0.687
"201415_at"	"215333_x_at"	0.687
"211630_s_at"	"204550_x_at"	0.687
"211630_s_at"	"215333_x_at"	0.687
"201415_at"	"203925_at"	0.677
"211630_s_at"	"203925_at"	0.677
"207769_s_at"	"209381_x_at"	0.703
"207769_s_at"	"37462_i_at"	0.703
"210499_s_at"	"209381_x_at"	0.703
"210499_s_at"	"37462_i_at"	0.703
"214527_s_at"	"209381_x_at"	0.703
"214527_s_at"	"37462_i_at"	0.703
"207769_s_at"	"204031_s_at"	0.741
"207769_s_at"	"213263_s_at"	0.741
"207769_s_at"	"213264_at"	0.741
