"probe1"	"probe2"	"ont"
"204638_at"	"209235_at"	0.06425
"204638_at"	"221961_at"	0.06425
"204638_at"	"38069_at"	0.06425
"204638_at"	"218678_at"	0.034
"204638_at"	"220428_at"	0.07625
"205713_s_at"	"218678_at"	0.44325
"205713_s_at"	"206022_at"	0.30825
"206634_at"	"207372_s_at"	0.13925
"206634_at"	"206140_at"	0.80075
"206634_at"	"211219_s_at"	0.80075
"207641_at"	"210314_x_at"	0.434
"212836_at"	"202586_at"	0.6025
"212836_at"	"211730_s_at"	0.6025
"221657_s_at"	"218555_at"	0.688
"214317_x_at"	"205541_s_at"	0.47525
"217747_s_at"	"205541_s_at"	0.47525
"217973_at"	"218678_at"	0.04675
"207853_s_at"	"211560_s_at"	0.2355
"202586_at"	"207372_s_at"	0.30775
"211730_s_at"	"207372_s_at"	0.30775
"218678_at"	"206022_at"	0.112
"202917_s_at"	"205237_at"	0.40125
"214370_at"	"205237_at"	0.40125
"207179_at"	"206140_at"	0.80075
"207179_at"	"211219_s_at"	0.80075
