"probe1"	"probe2"	"ont"
"204638_at"	"209235_at"	0.056
"204638_at"	"221961_at"	0.056
"204638_at"	"38069_at"	0.056
"204638_at"	"218678_at"	0.064
"204638_at"	"220428_at"	0.08
"205713_s_at"	"218678_at"	0.53
"205713_s_at"	"206022_at"	0.353
"206634_at"	"207372_s_at"	0
"206634_at"	"206140_at"	1
"206634_at"	"211219_s_at"	1
"207641_at"	"210314_x_at"	0.501
"212836_at"	"202586_at"	0.728
"212836_at"	"211730_s_at"	0.728
"221657_s_at"	"218555_at"	1
"214317_x_at"	"205541_s_at"	0.573
"217747_s_at"	"205541_s_at"	0.573
"217973_at"	"218678_at"	0.086
"207853_s_at"	"211560_s_at"	0.246
"202586_at"	"207372_s_at"	0.296
"211730_s_at"	"207372_s_at"	0.296
"218678_at"	"206022_at"	0.109
"202917_s_at"	"205237_at"	0.467
"214370_at"	"205237_at"	0.467
"207179_at"	"206140_at"	1
"207179_at"	"211219_s_at"	1
