"probe1"	"probe2"	"ont"
"204638_at"	"209235_at"	0
"204638_at"	"221961_at"	0
"204638_at"	"38069_at"	0
"204638_at"	"218678_at"	0.124
"204638_at"	"220428_at"	0
"205713_s_at"	"218678_at"	0.267
"205713_s_at"	"206022_at"	0.274
"206634_at"	"207372_s_at"	0.315
"206634_at"	"206140_at"	0.686
"206634_at"	"211219_s_at"	0.686
"207641_at"	"210314_x_at"	0.654
"212836_at"	"202586_at"	0.499
"212836_at"	"211730_s_at"	0.499
"221657_s_at"	"218555_at"	0.359
"214317_x_at"	"205541_s_at"	0.649
"217747_s_at"	"205541_s_at"	0.649
"217973_at"	"218678_at"	0.058
"207853_s_at"	"211560_s_at"	0.176
"202586_at"	"207372_s_at"	0.374
"211730_s_at"	"207372_s_at"	0.374
"218678_at"	"206022_at"	0.365
"202917_s_at"	"205237_at"	0.49
"214370_at"	"205237_at"	0.49
"207179_at"	"206140_at"	NA
"207179_at"	"211219_s_at"	NA
