"probe1"	"probe2"	"ont"
"204638_at"	"209235_at"	0.332
"204638_at"	"221961_at"	0.332
"204638_at"	"38069_at"	0.332
"204638_at"	"218678_at"	0.181
"204638_at"	"220428_at"	0.284
"205713_s_at"	"218678_at"	0.035
"205713_s_at"	"206022_at"	0.707
"206634_at"	"207372_s_at"	0.117
"206634_at"	"206140_at"	NA
"206634_at"	"211219_s_at"	NA
"207641_at"	"210314_x_at"	0.035
"212836_at"	"202586_at"	0.658
"212836_at"	"211730_s_at"	0.658
"221657_s_at"	"218555_at"	0.925
"214317_x_at"	"205541_s_at"	0.292
"217747_s_at"	"205541_s_at"	0.292
"217973_at"	"218678_at"	0.332
"207853_s_at"	"211560_s_at"	0.238
"202586_at"	"207372_s_at"	0.117
"211730_s_at"	"207372_s_at"	0.117
"218678_at"	"206022_at"	0.012
"202917_s_at"	"205237_at"	0.562
"214370_at"	"205237_at"	0.562
"207179_at"	"206140_at"	NA
"207179_at"	"211219_s_at"	NA
