"probe1"	"probe2"	"ont"
"204638_at"	"209235_at"	0.023
"204638_at"	"221961_at"	0.023
"204638_at"	"38069_at"	0.023
"204638_at"	"218678_at"	0.046
"204638_at"	"220428_at"	0.038
"205713_s_at"	"218678_at"	0.361
"205713_s_at"	"206022_at"	0.075
"206634_at"	"207372_s_at"	0
"206634_at"	"206140_at"	0.258
"206634_at"	"211219_s_at"	0.258
"207641_at"	"210314_x_at"	0.095
"212836_at"	"202586_at"	0.343
"212836_at"	"211730_s_at"	0.343
"221657_s_at"	"218555_at"	0.095
"214317_x_at"	"205541_s_at"	0.148
"217747_s_at"	"205541_s_at"	0.148
"217973_at"	"218678_at"	0.046
"207853_s_at"	"211560_s_at"	0.136
"202586_at"	"207372_s_at"	0.142
"211730_s_at"	"207372_s_at"	0.142
"218678_at"	"206022_at"	0.046
"202917_s_at"	"205237_at"	0.213
"214370_at"	"205237_at"	0.213
"207179_at"	"206140_at"	0.258
"207179_at"	"211219_s_at"	0.258
