"probe1"	"probe2"	"ont"
"210300_at"	"209531_at"	0.531
"210300_at"	"219441_s_at"	0.531
"212540_at"	"210024_s_at"	1
"212540_at"	"214436_at"	0.801
"212540_at"	"206607_at"	0.759
"209531_at"	"203113_s_at"	0.499
"209531_at"	"213087_s_at"	0.499
"209531_at"	"214394_x_at"	0.499
"209531_at"	"214395_x_at"	0.499
"209531_at"	"203948_s_at"	0.403
"209531_at"	"203949_at"	0.403
"202847_at"	"220570_at"	NA
"204229_at"	"209990_s_at"	0.143
"204229_at"	"209991_x_at"	0.143
"204229_at"	"211679_x_at"	0.143
"204229_at"	"217077_s_at"	0.143
"204230_s_at"	"209990_s_at"	0.143
"204230_s_at"	"209991_x_at"	0.143
"204230_s_at"	"211679_x_at"	0.143
"204230_s_at"	"217077_s_at"	0.143
"220570_at"	"214732_at"	NA
"214457_at"	"207226_at"	0.824
"200991_s_at"	"202067_s_at"	0.53
"200991_s_at"	"202068_s_at"	0.53
"200991_s_at"	"217005_at"	0.53
"200991_s_at"	"217103_at"	0.53
"200991_s_at"	"217173_s_at"	0.53
"202366_at"	"210803_at"	0.141
"202366_at"	"211177_s_at"	0.141
"207221_at"	"218832_x_at"	0.541
"207221_at"	"221861_at"	0.541
"207221_at"	"43511_s_at"	0.541
"207221_at"	"49111_at"	0.541
"207221_at"	"208260_at"	0.559
"205983_at"	"201569_s_at"	1
"205983_at"	"201570_at"	1
"220185_at"	"205155_s_at"	0.606
"220185_at"	"205348_s_at"	0.613
"206607_at"	"210024_s_at"	0.759
"206607_at"	"202067_s_at"	0.51
"206607_at"	"202068_s_at"	0.51
"206607_at"	"217005_at"	0.51
"206607_at"	"217103_at"	0.51
"206607_at"	"217173_s_at"	0.51
"206607_at"	"218832_x_at"	0.552
"206607_at"	"221861_at"	0.552
"206607_at"	"43511_s_at"	0.552
"206607_at"	"49111_at"	0.552
"206607_at"	"205297_s_at"	0.629
"206607_at"	"220638_s_at"	0.698
"208267_at"	"206479_at"	1
"208267_at"	"214410_at"	1
"208267_at"	"204253_s_at"	0.454
"208267_at"	"204254_s_at"	0.454
"208267_at"	"204255_s_at"	0.454
"208267_at"	"213692_s_at"	0.454
"204857_at"	"202337_at"	0.615
"210587_at"	"209908_s_at"	0.686
"210587_at"	"209909_s_at"	0.686
"210587_at"	"220406_at"	0.686
"210587_at"	"220407_s_at"	0.686
"206743_s_at"	"220496_at"	1
"206743_s_at"	"205755_at"	1
"206724_at"	"207226_at"	0.741
"201387_s_at"	"207618_s_at"	1
"201387_s_at"	"213240_s_at"	1
"201387_s_at"	"214399_s_at"	1
"211916_s_at"	"206103_at"	NA
"210746_s_at"	"211560_s_at"	0.583
"210746_s_at"	"206834_at"	0.527
"209832_s_at"	"216952_s_at"	1
"221413_at"	"211045_s_at"	0
"221413_at"	"211046_at"	0
"221413_at"	"221023_s_at"	0
"206103_at"	"219431_at"	0.65
"220636_at"	"205348_s_at"	0.921
"221668_s_at"	"205348_s_at"	0.921
"205155_s_at"	"205348_s_at"	0.218
"205155_s_at"	"208894_at"	0.309
"205155_s_at"	"210982_s_at"	0.309
"214515_at"	"218832_x_at"	0.449
"214515_at"	"221861_at"	0.449
"214515_at"	"43511_s_at"	0.449
"214515_at"	"49111_at"	0.449
"205348_s_at"	"208894_at"	0.446
"205348_s_at"	"210982_s_at"	0.446
"207584_at"	"202067_s_at"	0.469
"207584_at"	"202068_s_at"	0.469
"207584_at"	"217005_at"	0.469
"207584_at"	"217103_at"	0.469
"207584_at"	"217173_s_at"	0.469
"202949_s_at"	"214732_at"	0.691
"206660_at"	"205297_s_at"	0.411
"214732_at"	"204253_s_at"	0.743
"214732_at"	"204254_s_at"	0.743
"214732_at"	"204255_s_at"	0.743
"214732_at"	"213692_s_at"	0.743
"214732_at"	"206789_s_at"	0.806
"214732_at"	"203920_at"	0.808
"214644_at"	"207226_at"	1
"211560_s_at"	"210328_at"	0.676
"211560_s_at"	"206834_at"	0.538
"207634_at"	"208894_at"	1
"207634_at"	"210982_s_at"	1
"209908_s_at"	"205755_at"	0.619
"209909_s_at"	"205755_at"	0.619
"220406_at"	"205755_at"	0.619
"220407_s_at"	"205755_at"	0.619
"204175_at"	"212767_at"	0.437
"201509_at"	"210803_at"	0.344
"201509_at"	"211177_s_at"	0.344
"210014_x_at"	"210803_at"	0.344
"210014_x_at"	"211177_s_at"	0.344
"210418_s_at"	"210803_at"	0.344
"210418_s_at"	"211177_s_at"	0.344
"207226_at"	"201480_s_at"	0.869
"203920_at"	"202067_s_at"	0.506
"203920_at"	"202068_s_at"	0.506
"203920_at"	"217005_at"	0.506
"203920_at"	"217103_at"	0.506
"203920_at"	"217173_s_at"	0.506
"203113_s_at"	"201480_s_at"	0.765
"213087_s_at"	"201480_s_at"	0.765
"214394_x_at"	"201480_s_at"	0.765
"214395_x_at"	"201480_s_at"	0.765
"218832_x_at"	"202067_s_at"	0.491
"218832_x_at"	"202068_s_at"	0.491
"218832_x_at"	"217005_at"	0.491
"218832_x_at"	"217103_at"	0.491
"218832_x_at"	"217173_s_at"	0.491
"221861_at"	"202067_s_at"	0.491
"221861_at"	"202068_s_at"	0.491
"221861_at"	"217005_at"	0.491
"221861_at"	"217103_at"	0.491
"221861_at"	"217173_s_at"	0.491
"43511_s_at"	"202067_s_at"	0.491
"43511_s_at"	"202068_s_at"	0.491
"43511_s_at"	"217005_at"	0.491
"43511_s_at"	"217103_at"	0.491
"43511_s_at"	"217173_s_at"	0.491
"49111_at"	"202067_s_at"	0.491
"49111_at"	"202068_s_at"	0.491
"49111_at"	"217005_at"	0.491
"49111_at"	"217103_at"	0.491
"49111_at"	"217173_s_at"	0.491
