"symbol1"	"symbol2"	"BP"
"ACHE"	"CAMK2A"	0.435
"ACHE"	"HAND1"	0.356
"ACP5"	"CD68"	0.018
"ACTA1"	"ACTA2"	0.735
"ACTA1"	"ACTN4"	0.362
"ACTA1"	"AKT1"	0.282
"ACTA1"	"ARF1"	0.161
"ACTA1"	"CSK"	0.176
"ACTA1"	"DDOST"	0.081
"ACTA1"	"EEF2"	0.207
"ACTA1"	"EIF4A2"	0.178
"ACTA1"	"EIF5A"	0.16
"ACTA1"	"HSPB1"	0.327
"ACTA1"	"LAMA5"	0.365
"ACTA1"	"PFDN1"	NA
"ACTA1"	"PGK1"	0.349
"ACTA1"	"RAPSN"	0.013
"ACTA1"	"RPL4"	0.189
"ACTA1"	"RPLP0"	0.262
"ACTA1"	"RPLP2"	0.189
"ACTA1"	"RPS9"	0.277
"ACTA1"	"TMSB4X"	0.346
"ACTA1"	"TNNI1"	0.653
"ACTA1"	"TNNI2"	0.774
"ACTA1"	"TPM2"	0.6
"ACTA1"	"TMSB4Y"	0.368
"ACTA1"	"GSPT2"	0.215
"ACTA1"	"CTNNBL1"	0.289
"ACTA1"	"TUBB"	0.096
"ACTA1"	"HIST1H2AA"	0.391
"ACTA1"	"TUBB2B"	0.342
"ACTA2"	"ACTN4"	0.313
"ACTA2"	"KLF6"	0.555
"ACTA2"	"EEF2"	0.322
"ACTA2"	"EIF5A"	0.206
"ACTA2"	"HSPB1"	0.426
"ACTA2"	"PGK1"	0.335
"ACTA2"	"RPL4"	0.252
"ACTA2"	"RPL7"	0.256
"ACTA2"	"RPLP0"	0.252
"ACTA2"	"RPLP2"	0.252
"ACTA2"	"RPS9"	0.304
"ACTA2"	"RPS23"	0.253
"ACTA2"	"SRF"	0.474
"ACTA2"	"TMSB4X"	0.351
"ACTA2"	"TPM2"	0.341
"ACTA2"	"RPL14"	0.248
"ACTA2"	"ARPC1B"	0.178
"ACTA2"	"GSPT2"	0.264
"ACTA2"	"PYCR2"	0.187
"ACTA2"	"TUBB"	0.071
"ACTA2"	"TUBB2B"	0.243
"ACTN4"	"AP2A1"	0.336
"ACTN4"	"AKT1"	0.455
"ACTN4"	"CAMK2A"	0.446
"ACTN4"	"CSK"	0.369
"ACTN4"	"CSNK2B"	0.424
"ACTN4"	"DNM2"	0.526
"ACTN4"	"EEF2"	0.369
"ACTN4"	"FAU"	NA
"ACTN4"	"GNB1"	0.236
"ACTN4"	"GNB2"	0.171
"ACTN4"	"MDH2"	0.113
"ACTN4"	"MSN"	0.411
"ACTN4"	"MYL6"	0.217
"ACTN4"	"PF4"	0.453
"ACTN4"	"PGK1"	0.27
"ACTN4"	"RAB5C"	0.448
"ACTN4"	"RPL4"	0.321
"ACTN4"	"RPL7"	0.33
"ACTN4"	"RPL8"	0.331
"ACTN4"	"RPL27A"	0.321
"ACTN4"	"RPLP2"	0.321
"ACTN4"	"RPN1"	0.114
"ACTN4"	"SET"	0.366
"ACTN4"	"SPARC"	0.521
"ACTN4"	"TMSB4X"	0.61
"ACTN4"	"TNNI2"	0.329
"ACTN4"	"TNNT3"	0.267
"ACTN4"	"TPM2"	0.296
"ACTN4"	"TSC2"	0.448
"ACTN4"	"VEGFB"	0.48
"ACTN4"	"VWF"	0.345
"ACTN4"	"SLC9A3R2"	0.296
"ACTN4"	"ARPC1B"	0.337
"ACTN4"	"TRIM3"	0.108
"ACTN4"	"RPL13A"	0.373
"ACTN4"	"TUBB"	0.277
"ADAR"	"EGR1"	0.433
"ADAR"	"IFIT2"	0.511
"ADAR"	"IRF2"	0.641
"ADAR"	"IRF3"	0.501
"ADAR"	"IRF7"	0.565
"ADAR"	"NONO"	0.427
"ADAR"	"NPM1"	0.416
"ADAR"	"PCBP1"	0.439
"ADAR"	"PSMB4"	0.186
"ADAR"	"RPL11"	0.395
"ADAR"	"RPS2"	0.363
"ADAR"	"RPL35"	0.298
"ADCY1"	"FSHR"	0.514
"ADCY1"	"GNAI2"	0.475
"ADCY1"	"GNB2"	0.394
"ADCY1"	"GRM4"	0.496
"ADCY1"	"HRAS"	0.311
"ADCY1"	"HTR4"	0.491
"ADCY1"	"NPY"	0.379
"ADCY1"	"SCTR"	0.42
"ADCY1"	"CXCR4"	0.414
"ADCY1"	"ADM2"	0.415
"ADCY1"	"NPW"	0.392
"AP2A1"	"ARRB2"	0.489
"AP2A1"	"CAMK2A"	0.39
"AP2A1"	"CD22"	0.397
"AP2A1"	"CRK"	0.44
"AP2A1"	"CSNK2B"	0.391
"AP2A1"	"DNM2"	0.577
"AP2A1"	"EEF2"	0.342
"AP2A1"	"EIF5A"	0.33
"AP2A1"	"HLA-DRB1"	0.306
"AP2A1"	"PPP3CC"	0.119
"AP2A1"	"RAB5B"	0.515
"AP2A1"	"RAB5C"	0.46
"AP2A1"	"RPN1"	0.131
"AP2A1"	"RPS9"	0.351
"AP2A1"	"RAB11B"	0.49
"AP2A1"	"PIP5K1C"	0.504
"AP2A1"	"RPL13A"	0.396
"AP2A1"	"BIN2"	0.403
"AP2A1"	"EPN3"	NA
"AKT1"	"ARF1"	0.368
"AKT1"	"ARRB2"	0.559
"AKT1"	"BAD"	0.615
"AKT1"	"ZFP36L1"	0.593
"AKT1"	"CAMK2A"	0.551
"AKT1"	"CRK"	0.528
"AKT1"	"CSK"	0.381
"AKT1"	"DDOST"	0.295
"AKT1"	"EEF2"	0.288
"AKT1"	"EGR1"	0.493
"AKT1"	"EIF4EBP1"	0.302
"AKT1"	"FOXM1"	0.471
"AKT1"	"FLII"	NA
"AKT1"	"GATA2"	0.508
"AKT1"	"GNAI2"	0.351
"AKT1"	"GNB2"	0.184
"AKT1"	"GYS1"	0.957
"AKT1"	"HRAS"	0.619
"AKT1"	"HSPB1"	0.606
"AKT1"	"IRF3"	0.441
"AKT1"	"ITGA2B"	0.213
"AKT1"	"ITGB4"	0.325
"AKT1"	"MCL1"	0.472
"AKT1"	"MEF2D"	0.296
"AKT1"	"MSN"	0.49
"AKT1"	"NONO"	0.378
"AKT1"	"NPM1"	0.573
"AKT1"	"PCBP1"	0.132
"AKT1"	"SERPINB5"	0.998
"AKT1"	"PLK1"	0.526
"AKT1"	"PPP2R5A"	0.325
"AKT1"	"PSMA7"	0.17
"AKT1"	"PSMB4"	0.17
"AKT1"	"PSMC4"	0.234
"AKT1"	"RPL7"	0.274
"AKT1"	"RPS2"	0.32
"AKT1"	"RPS9"	0.34
"AKT1"	"SDHC"	0.233
"AKT1"	"SOS1"	0.532
"AKT1"	"ST14"	0.212
"AKT1"	"STAT3"	0.627
"AKT1"	"STAT5A"	0.494
"AKT1"	"STK11"	0.58
"AKT1"	"TNF"	0.712
"AKT1"	"TPM2"	0.152
"AKT1"	"TSC2"	0.611
"AKT1"	"NCK2"	0.502
"AKT1"	"PIAS1"	0.456
"AKT1"	"KHSRP"	0.394
"AKT1"	"HDAC3"	0.529
"AKT1"	"SPHK1"	0.571
"AKT1"	"NUDC"	0.101
"AKT1"	"PLEKHO1"	NA
"AKT1"	"SYTL1"	0.385
"AKT1"	"RASL10B"	0.223
"AKT1"	"TUBB"	0.179
"ALAS2"	"SARDH"	0.221
"ALAS2"	"HBD"	0.375
"ALAS2"	"LSS"	0.316
"ALAS2"	"MDH2"	0.134
"ALAS2"	"NDUFV1"	0.112
"ALAS2"	"FIS1"	0.244
