"symbol1"	"symbol2"	"CC"
"ACP5"	"CLCN7"	0.735
"ACP5"	"NES"	0.622
"ACP5"	"CD207"	0.596
"COMP"	"NES"	0.524
"COMP"	"NDP"	0.85
"HRK"	"BBC3"	1
"SIX3"	"ENTPD2"	0.63
"SIX3"	"LHX2"	NA
"TNFRSF13B"	"TNFSF13"	0.76
"PRKCG"	"ADRBK1"	NA
"POLD3"	"POLR2L"	0.715
"ASB6"	"ANAPC2"	1
"ANXA5"	"BBC3"	0.633
"RPS9"	"GSPT2"	0.614
"DCXR"	"NES"	0.695
"SNCB"	"ALAS2"	0.557
"ADRBK1"	"GIT1"	NA
"ANAPC2"	"PCGF6"	0.833
"COX5A"	"ATP5G2"	NA
"POLR2L"	"ENTPD2"	0.467
"LCE3B"	"S100A8"	0.697
"NES"	"NDP"	0.458
"S100A8"	"FCN1"	0.73
"TLX1"	"LHX2"	NA
"LHX2"	"CRB2"	NA
