"symbol1"	"symbol2"	"CC"
"ACP5"	"CLCN7"	0.468
"ACP5"	"NES"	0.29
"ACP5"	"CD207"	0.387
"COMP"	"NES"	0.067
"COMP"	"NDP"	0.753
"HRK"	"BBC3"	1
"SIX3"	"ENTPD2"	0.225
"SIX3"	"LHX2"	NA
"TNFRSF13B"	"TNFSF13"	0.155
"PRKCG"	"ADRBK1"	NA
"POLD3"	"POLR2L"	0.731
"ASB6"	"ANAPC2"	1
"ANXA5"	"BBC3"	0.266
"RPS9"	"GSPT2"	0.362
"DCXR"	"NES"	0.426
"SNCB"	"ALAS2"	0.337
"ADRBK1"	"GIT1"	NA
"ANAPC2"	"PCGF6"	0.747
"COX5A"	"ATP5G2"	NA
"POLR2L"	"ENTPD2"	0.211
"LCE3B"	"S100A8"	0.296
"NES"	"NDP"	0.056
"S100A8"	"FCN1"	0.62
"TLX1"	"LHX2"	NA
"LHX2"	"CRB2"	NA
