"symbol1"	"symbol2"	"MF"
"OSBPL7"	"MOSPD3"	NA
"PGLYRP1"	"DLG5"	0.033
"PGLYRP1"	"HSPBP1"	0.026
"SCTR"	"HTR4"	0.289
"SCTR"	"FSHR"	0.291
"SCTR"	"GNB1"	0.026
"SCTR"	"ADM2"	0.046
"SCTR"	"GNB2"	0.026
"SCTR"	"ADCY1"	0
"SCTR"	"P2RY11"	0.276
"SCTR"	"GPR20"	0.364
"PIGQ"	"PIGL"	0.142
"RTN4R"	"GNB1"	0.047
"RTN4R"	"HRAS"	0.149
"RTN4R"	"CAB39"	0.038
"RTN4R"	"DIRAS3"	0.095
"RTN4R"	"AKT1"	0.112
"RTN4R"	"GNAI2"	0.123
"RTN4R"	"DIRAS2"	0.301
"RTN4R"	"EEF1G"	0.054
"RTN4R"	"TYRO3"	0.15
"RTN4R"	"RASL10B"	NA
"RTN4R"	"GNB2"	0.047
"RTN4R"	"RTN2"	0.095
"RTN4R"	"PPP3CC"	0.047
"RTN4R"	"SH3GL1"	0.059
"RTN4R"	"MCL1"	0.057
"PSMA4"	"EXOSC5"	0.16
"PSMA4"	"ACHE"	0.144
"PSMA4"	"NFKB2"	0.03
"PSMA4"	"PSMA7"	0.219
"PSMA4"	"UQCRQ"	0.142
"PSMA4"	"PSMC4"	0.16
"PSMA4"	"PPIB"	0.085
"PSMA4"	"PPP2R5A"	0.105
"PSMA4"	"CDC25A"	0.151
"PSMA4"	"RPN1"	0.104
"PSMA4"	"PLK1"	0.098
"PSMA4"	"TNF"	0.074
"PSMA4"	"RELB"	0.042
"PSMA4"	"PSMB4"	0.25
"PSMA4"	"ASNA1"	0.107
"PSMA4"	"DHH"	0.056
"PSMA4"	"ANAPC2"	0.095
"PSMA4"	"PSME4"	0.055
"PSMA4"	"OAZ2"	0.048
"PSMA4"	"NFKBIB"	0.048
"GRN"	"HK3"	0
"GRN"	"AKT1"	0.1
"GRN"	"ITGA2B"	0.085
"GRN"	"IFI30"	0.066
"GRN"	"TNF"	0.21
"CD22"	"SELL"	0.168
"CD22"	"FFAR2"	0.071
"CD22"	"CD7"	0
"CD22"	"TNF"	0.167
"CD22"	"CD79A"	0.083
"CD22"	"SPN"	0.083
"CD22"	"CD72"	0.137
"CD22"	"TNFRSF13B"	0.071
"PSMC4"	"NFKB2"	0.03
"PSMC4"	"PSMA7"	0.147
"PSMC4"	"PPP2R5A"	0.105
"PSMC4"	"CDC25A"	0.151
"PSMC4"	"PLK1"	0.098
"PSMC4"	"UFD1L"	NA
"PSMC4"	"TNF"	0.074
"PSMC4"	"RELB"	0.042
"PSMC4"	"PSMB4"	0.16
"PSMC4"	"DHH"	0.056
"PSMC4"	"ANAPC2"	0.095
"PSMC4"	"PSME4"	0.055
"PSMC4"	"OAZ2"	0.048
"PSMC4"	"NFKBIB"	0.048
"PSMC4"	"FTSJ3"	0.11
"PSMC4"	"LHX2"	0
"BCL3"	"NFKB2"	0.047
"BCL3"	"STAT3"	0.104
"BCL3"	"AKT1"	0.056
"BCL3"	"PLK1"	0.062
"BCL3"	"RFXANK"	0
"BCL3"	"TNF"	0.085
"BCL3"	"HDAC3"	0.135
"BCL3"	"RELB"	0.056
"PDZD4"	"LAMA5"	0
"HBQ1"	"HBZ"	0.566
"HBQ1"	"ALAS2"	0.25
"HBQ1"	"HBE1"	0.535
"HBQ1"	"ECHS1"	0.079
"HBQ1"	"TH"	0.116
"HBQ1"	"HBD"	0.535
"HBQ1"	"PAH"	0.321
"ITGB4"	"KLC2"	0.181
"ITGB4"	"HRAS"	0.076
"ITGB4"	"VWF"	0.198
"ITGB4"	"CHAD"	NA
"ITGB4"	"PRKCG"	0
"ITGB4"	"AKT1"	0.06
"ITGB4"	"ITGA2B"	0.095
"ITGB4"	"LAMA5"	0.24
"ITGB4"	"CRK"	0.136
"ITGB4"	"EPPK1"	0.146
"ITGB4"	"ACTN4"	0.176
"ITGB4"	"COMP"	0.123
"ITGB4"	"COL9A3"	0
"PPP1R15A"	"PPP2R4"	NA
"PPP1R15A"	"PPP2R5A"	0.398
"PPP1R15A"	"TSC2"	0.29
"PPP1R15A"	"ZNF148"	0.043
"PPP1R15A"	"KLF6"	0.047
"TFAP4"	"SP1"	0.279
"TFAP4"	"TPST2"	0.097
"TFAP4"	"SALL2"	0.24
"THPO"	"SPI1"	0.057
"THPO"	"ACHE"	0.047
"THPO"	"VWF"	0.126
"THPO"	"GATA2"	0.061
"THPO"	"SOS1"	0.234
"THPO"	"STAT3"	0.06
"THPO"	"PSMA7"	0.076
