"node","cluster"
"212788_x_at",1
"201033_x_at",1
"208856_x_at",1
"211720_x_at",1
"211972_x_at",1
"214167_s_at",1
"213187_x_at",2
"201033_x_at",2
"208856_x_at",2
"211720_x_at",2
"211972_x_at",2
"214167_s_at",2
"201033_x_at",3
"208856_x_at",3
"211720_x_at",3
"211972_x_at",3
"214167_s_at",3
"203737_s_at",3
"219769_at",4
"209026_x_at",4
"211714_x_at",4
"212320_at",4
"206219_s_at",5
"209026_x_at",5
"211714_x_at",5
"212320_at",5
"209941_at",6
"209026_x_at",6
"211714_x_at",6
"212320_at",6
"211178_s_at",7
"209026_x_at",7
"211714_x_at",7
"212320_at",7
"212983_at",8
"200063_s_at",8
"221691_x_at",8
"221923_s_at",8
"200063_s_at",9
"221691_x_at",9
"221923_s_at",9
"200747_s_at",9
"200063_s_at",10
"221691_x_at",10
"221923_s_at",10
"214250_at",10
"200063_s_at",11
"221691_x_at",11
"221923_s_at",11
"214251_s_at",11
"200063_s_at",12
"221691_x_at",12
"221923_s_at",12
"201708_s_at",12
"200063_s_at",13
"221691_x_at",13
"221923_s_at",13
"201709_s_at",13
"200063_s_at",14
"221691_x_at",14
"221923_s_at",14
"205129_at",14
"200063_s_at",15
"221691_x_at",15
"221923_s_at",15
"211412_at",15
"200063_s_at",16
"221691_x_at",16
"221923_s_at",16
"211413_s_at",16
"200063_s_at",17
"221691_x_at",17
"221923_s_at",17
"220001_at",17
"200063_s_at",18
"221691_x_at",18
"221923_s_at",18
"205561_at",18
"200063_s_at",19
"221691_x_at",19
"221923_s_at",19
"208158_s_at",19
"200063_s_at",20
"221691_x_at",20
"221923_s_at",20
"209485_s_at",20
"202024_at",21
"200093_s_at",21
"207721_x_at",21
"208826_x_at",21
"206492_at",22
"200093_s_at",22
"207721_x_at",22
"208826_x_at",22
"200093_s_at",23
"207721_x_at",23
"208826_x_at",23
"214732_at",23
"200093_s_at",24
"207721_x_at",24
"208826_x_at",24
"201527_at",24
"200093_s_at",25
"207721_x_at",25
"208826_x_at",25
"213088_s_at",25
"200093_s_at",26
"207721_x_at",26
"208826_x_at",26
"213092_x_at",26
"200093_s_at",27
"207721_x_at",27
"208826_x_at",27
"204559_s_at",27
"200093_s_at",28
"207721_x_at",28
"208826_x_at",28
"218011_at",28
"200057_s_at",29
"208698_s_at",29
"210470_x_at",29
"205312_at",29
"203388_at",30
"201173_x_at",30
"210574_s_at",30
"210575_at",30
"219769_at",31
"201173_x_at",31
"210574_s_at",31
"210575_at",31
"205688_at",32
"201173_x_at",32
"210574_s_at",32
"210575_at",32
"218227_at",33
"201173_x_at",33
"210574_s_at",33
"210575_at",33
"201173_x_at",34
"210574_s_at",34
"210575_at",34
"213088_s_at",34
"201173_x_at",35
"210574_s_at",35
"210575_at",35
"213092_x_at",35
"201173_x_at",36
"210574_s_at",36
"210575_at",36
"202415_s_at",36
"201173_x_at",37
"210574_s_at",37
"210575_at",37
"212059_s_at",37
"201173_x_at",38
"210574_s_at",38
"210575_at",38
"217976_s_at",38
"201173_x_at",39
"210574_s_at",39
"210575_at",39
"218848_at",39
"207163_s_at",40
"202224_at",40
"202225_at",40
"202226_s_at",40
"205723_at",41
"202224_at",41
"202225_at",41
"202226_s_at",41
"202224_at",42
"202225_at",42
"202226_s_at",42
"202329_at",42
"202224_at",43
"202225_at",43
"202226_s_at",43
"201841_s_at",43
"202224_at",44
"202225_at",44
"202226_s_at",44
"209800_at",44
"202224_at",45
"202225_at",45
"202226_s_at",45
"206270_at",45
"202224_at",46
"202225_at",46
"202226_s_at",46
"206219_s_at",46
"202224_at",47
"202225_at",47
"202226_s_at",47
"203315_at",47
"202224_at",48
"202225_at",48
"202226_s_at",48
"204400_at",48
"202224_at",49
"202225_at",49
"202226_s_at",49
"210880_s_at",49
"202224_at",50
"202225_at",50
"202226_s_at",50
"203833_s_at",50
"202224_at",51
"202225_at",51
"202226_s_at",51
"203834_s_at",51
"202224_at",52
"202225_at",52
"202226_s_at",52
"212040_at",52
"202224_at",53
"202225_at",53
"202226_s_at",53
"212043_at",53
"202224_at",54
"202225_at",54
"202226_s_at",54
"219907_at",54
"202224_at",55
"202225_at",55
"202226_s_at",55
"202676_x_at",55
"202224_at",56
"202225_at",56
"202226_s_at",56
"210975_x_at",56
"202224_at",57
"202225_at",57
"202226_s_at",57
"214114_x_at",57
"202224_at",58
