"node","cluster"
"212983_at",1
"200063_s_at",1
"221691_x_at",1
"221923_s_at",1
"219769_at",2
"201173_x_at",2
"210574_s_at",2
"210575_at",2
"205688_at",3
"201173_x_at",3
"210574_s_at",3
"210575_at",3
"201173_x_at",4
"210574_s_at",4
"210575_at",4
"212059_s_at",4
"201173_x_at",5
"210574_s_at",5
"210575_at",5
"218848_at",5
"219769_at",6
"209026_x_at",6
"211714_x_at",6
"212320_at",6
"206219_s_at",7
"209026_x_at",7
"211714_x_at",7
"212320_at",7
"209941_at",8
"209026_x_at",8
"211714_x_at",8
"212320_at",8
"200057_s_at",9
"208698_s_at",9
"210470_x_at",9
"205312_at",9
"201135_at",10
"200737_at",10
"200738_s_at",10
"217356_s_at",10
"217383_at",10
"200737_at",11
"200738_s_at",11
"217356_s_at",11
"217383_at",11
"218813_s_at",11
"200737_at",12
"200738_s_at",12
"217356_s_at",12
"217383_at",12
"218260_at",12
"202087_s_at",13
"200744_s_at",13
"200745_s_at",13
"200746_s_at",13
"200093_s_at",14
"207721_x_at",14
"208826_x_at",14
"214732_at",14
"200093_s_at",15
"207721_x_at",15
"208826_x_at",15
"203667_at",15
"200093_s_at",16
"207721_x_at",16
"208826_x_at",16
"203444_s_at",16
"200093_s_at",17
"207721_x_at",17
"208826_x_at",17
"204559_s_at",17
"200093_s_at",18
"207721_x_at",18
"208826_x_at",18
"218011_at",18
"208991_at",19
"208992_s_at",19
"202247_s_at",19
"211783_s_at",19
"207163_s_at",20
"202224_at",20
"202225_at",20
"202226_s_at",20
"205723_at",21
"202224_at",21
"202225_at",21
"202226_s_at",21
"202224_at",22
"202225_at",22
"202226_s_at",22
"202329_at",22
"202224_at",23
"202225_at",23
"202226_s_at",23
"206883_x_at",23
"202224_at",24
"202225_at",24
"202226_s_at",24
"201841_s_at",24
"202224_at",25
"202225_at",25
"202226_s_at",25
"206270_at",25
"202224_at",26
"202225_at",26
"202226_s_at",26
"203010_at",26
"202224_at",27
"202225_at",27
"202226_s_at",27
"206219_s_at",27
"202224_at",28
"202225_at",28
"202226_s_at",28
"202112_at",28
"202224_at",29
"202225_at",29
"202226_s_at",29
"203315_at",29
"202224_at",30
"202225_at",30
"202226_s_at",30
"219907_at",30
"202224_at",31
"202225_at",31
"202226_s_at",31
"213633_at",31
"202224_at",32
"202225_at",32
"202226_s_at",32
"202415_s_at",32
"202224_at",33
"202225_at",33
"202226_s_at",33
"218076_s_at",33
"203175_at",34
"208854_s_at",34
"208855_s_at",34
"215188_at",34
"202329_at",35
"208854_s_at",35
"208855_s_at",35
"215188_at",35
"200600_at",36
"208854_s_at",36
"208855_s_at",36
"215188_at",36
"208854_s_at",37
"208855_s_at",37
"215188_at",37
"217873_at",37
"202247_s_at",38
"211783_s_at",38
"209352_s_at",38
"39705_at",38
"203388_at",39
"208984_x_at",39
"215089_s_at",39
"217221_x_at",39
"208984_x_at",40
"215089_s_at",40
"217221_x_at",40
"205096_at",40
"208984_x_at",41
"215089_s_at",41
"217221_x_at",41
"204559_s_at",41
"202224_at",42
"202225_at",42
"202226_s_at",42
"212994_at",42
"222122_s_at",42
"209352_s_at",43
"39705_at",43
"212994_at",43
"222122_s_at",43
"207535_s_at",44
"209636_at",44
"211524_at",44
"205205_at",44
"207535_s_at",45
"209636_at",45
"211524_at",45
"214732_at",45
"207535_s_at",46
"209636_at",46
"211524_at",46
"207196_s_at",46
"207535_s_at",47
"209636_at",47
"211524_at",47
"205527_s_at",47
"217099_s_at",47
"207535_s_at",48
"209636_at",48
"211524_at",48
"214062_x_at",48
"214448_x_at",48
"202354_s_at",49
"202355_s_at",49
"202356_s_at",49
"203444_s_at",49
"207163_s_at",50
"217862_at",50
"217863_at",50
"217864_s_at",50
"204039_at",51
"217862_at",51
"217863_at",51
"217864_s_at",51
"210333_at",52
"217862_at",52
"217863_at",52
"217864_s_at",52
"203010_at",53
"217862_at",53
"217863_at",53
"217864_s_at",53
"220804_s_at",54
"217862_at",54
"217863_at",54
