"node","cluster"
"201033_x_at",1
"208856_x_at",1
"211720_x_at",1
"211972_x_at",1
"214167_s_at",1
"203737_s_at",1
"200057_s_at",2
"208698_s_at",2
"210470_x_at",2
"205312_at",2
"202329_at",3
"209026_x_at",3
"211714_x_at",3
"212320_at",3
"219769_at",4
"209026_x_at",4
"211714_x_at",4
"212320_at",4
"206219_s_at",5
"209026_x_at",5
"211714_x_at",5
"212320_at",5
"209941_at",6
"209026_x_at",6
"211714_x_at",6
"212320_at",6
"203388_at",7
"201173_x_at",7
"210574_s_at",7
"210575_at",7
"219769_at",8
"201173_x_at",8
"210574_s_at",8
"210575_at",8
"205688_at",9
"201173_x_at",9
"210574_s_at",9
"210575_at",9
"203444_s_at",10
"201173_x_at",10
"210574_s_at",10
"210575_at",10
"218227_at",11
"201173_x_at",11
"210574_s_at",11
"210575_at",11
"201173_x_at",12
"210574_s_at",12
"210575_at",12
"202415_s_at",12
"201173_x_at",13
"210574_s_at",13
"210575_at",13
"212059_s_at",13
"201173_x_at",14
"210574_s_at",14
"210575_at",14
"217976_s_at",14
"201173_x_at",15
"210574_s_at",15
"210575_at",15
"218260_at",15
"201173_x_at",16
"210574_s_at",16
"210575_at",16
"221997_s_at",16
"212983_at",17
"200063_s_at",17
"221691_x_at",17
"221923_s_at",17
"200063_s_at",18
"221691_x_at",18
"221923_s_at",18
"200747_s_at",18
"200063_s_at",19
"221691_x_at",19
"221923_s_at",19
"214250_at",19
"200063_s_at",20
"221691_x_at",20
"221923_s_at",20
"214251_s_at",20
"200063_s_at",21
"221691_x_at",21
"221923_s_at",21
"201136_at",21
"200063_s_at",22
"221691_x_at",22
"221923_s_at",22
"211412_at",22
"200063_s_at",23
"221691_x_at",23
"221923_s_at",23
"211413_s_at",23
"200063_s_at",24
"221691_x_at",24
"221923_s_at",24
"220001_at",24
"200063_s_at",25
"221691_x_at",25
"221923_s_at",25
"205561_at",25
"200063_s_at",26
"221691_x_at",26
"221923_s_at",26
"208158_s_at",26
"200063_s_at",27
"221691_x_at",27
"221923_s_at",27
"209485_s_at",27
"202087_s_at",28
"200744_s_at",28
"200745_s_at",28
"200746_s_at",28
"200744_s_at",29
"200745_s_at",29
"200746_s_at",29
"217873_at",29
"203388_at",30
"208984_x_at",30
"215089_s_at",30
"217221_x_at",30
"208984_x_at",31
"215089_s_at",31
"217221_x_at",31
"205096_at",31
"208984_x_at",32
"215089_s_at",32
"217221_x_at",32
"204559_s_at",32
"208984_x_at",33
"215089_s_at",33
"217221_x_at",33
"202093_s_at",33
"200782_at",34
"200737_at",34
"200738_s_at",34
"217356_s_at",34
"217383_at",34
"201135_at",35
"200737_at",35
"200738_s_at",35
"217356_s_at",35
"217383_at",35
"200737_at",36
"200738_s_at",36
"217356_s_at",36
"217383_at",36
"218813_s_at",36
"200737_at",37
"200738_s_at",37
"217356_s_at",37
"217383_at",37
"218260_at",37
"200737_at",38
"200738_s_at",38
"217356_s_at",38
"217383_at",38
"214023_x_at",38
"201140_s_at",39
"201156_s_at",39
"204330_s_at",39
"204331_s_at",39
"210008_s_at",39
"213840_s_at",39
"212082_s_at",40
"214002_at",40
"208984_x_at",40
"215089_s_at",40
"217221_x_at",40
"212125_at",41
"212127_at",41
"201173_x_at",41
"210574_s_at",41
"210575_at",41
"212082_s_at",42
"214002_at",42
"209077_at",42
"209078_s_at",42
"202247_s_at",43
"211783_s_at",43
"201173_x_at",43
"210574_s_at",43
"210575_at",43
"208991_at",44
"208992_s_at",44
"202247_s_at",44
"211783_s_at",44
"202247_s_at",45
"211783_s_at",45
"209352_s_at",45
"39705_at",45
"208984_x_at",46
"215089_s_at",46
"217221_x_at",46
"202290_at",46
"217624_at",46
"207163_s_at",47
"202224_at",47
"202225_at",47
"202226_s_at",47
"205723_at",48
"202224_at",48
"202225_at",48
"202226_s_at",48
"202224_at",49
"202225_at",49
"202226_s_at",49
"202329_at",49
"202224_at",50
"202225_at",50
"202226_s_at",50
"1438_at",50
"202224_at",51
"202225_at",51
"202226_s_at",51
"204600_at",51
"202224_at",52
"202225_at",52
"202226_s_at",52
"201841_s_at",52
"202224_at",53
"202225_at",53
"202226_s_at",53
"209800_at",53
"202224_at",54
"202225_at",54
"202226_s_at",54
"206270_at",54
"202224_at",55
"202225_at",55
"202226_s_at",55
"203010_at",55
"202224_at",56
"202225_at",56
"202226_s_at",56
"206219_s_at",56
"202224_at",57
"202225_at",57
"202226_s_at",57
"203315_at",57
"202224_at",58
"202225_at",58
"202226_s_at",58
"204400_at",58
"202224_at",59
"202225_at",59
"202226_s_at",59
"210880_s_at",59
"202224_at",60
"202225_at",60
"202226_s_at",60
"219907_at",60
"202224_at",61
"202225_at",61
"202226_s_at",61
"202676_x_at",61
"202224_at",62
"202225_at",62
"202226_s_at",62
"210975_x_at",62
"202224_at",63
"202225_at",63
"202226_s_at",63
"214114_x_at",63
"202224_at",64
"202225_at",64
"202226_s_at",64
"213633_at",64
"202224_at",65
"202225_at",65
"202226_s_at",65
"202415_s_at",65
"202224_at",66
"202225_at",66
"202226_s_at",66
"218076_s_at",66
"202224_at",67
"202225_at",67
"202226_s_at",67
"218376_s_at",67
"202224_at",68
"202225_at",68
"202226_s_at",68
"212994_at",68
"222122_s_at",68
"202024_at",69
"200093_s_at",69
"207721_x_at",69
"208826_x_at",69
"201135_at",70
"200093_s_at",70
"207721_x_at",70
"208826_x_at",70
"206492_at",71
"200093_s_at",71
"207721_x_at",71
"208826_x_at",71
"200093_s_at",72
"207721_x_at",72
"208826_x_at",72
"214732_at",72
"200093_s_at",73
"207721_x_at",73
"208826_x_at",73
"203667_at",73
"200093_s_at",74
"207721_x_at",74
"208826_x_at",74
"216326_s_at",74
"200093_s_at",75
"207721_x_at",75
"208826_x_at",75
"203444_s_at",75
"200093_s_at",76
"207721_x_at",76
"208826_x_at",76
"201527_at",76
"200093_s_at",77
"207721_x_at",77
"208826_x_at",77
"217720_at",77
"200093_s_at",78
"207721_x_at",78
"208826_x_at",78
"204559_s_at",78
"200093_s_at",79
"207721_x_at",79
"208826_x_at",79
"218011_at",79
"200093_s_at",80
"207721_x_at",80
"208826_x_at",80
"209077_at",80
"209078_s_at",80
"203175_at",81
"208854_s_at",81
"208855_s_at",81
"215188_at",81
"202329_at",82
"208854_s_at",82
"208855_s_at",82
"215188_at",82
"200600_at",83
"208854_s_at",83
"208855_s_at",83
"215188_at",83
"208854_s_at",84
"208855_s_at",84
"215188_at",84
"217873_at",84
"209381_x_at",85
"37462_i_at",85
"208984_x_at",85
"215089_s_at",85
"217221_x_at",85
"212125_at",86
"212127_at",86
"209381_x_at",86
"37462_i_at",86
