"node","cluster"
"201033_x_at",1
"208856_x_at",1
"211720_x_at",1
"211972_x_at",1
"214167_s_at",1
"203737_s_at",1
"203490_at",2
"200063_s_at",2
"221691_x_at",2
"221923_s_at",2
"31845_at",3
"200063_s_at",3
"221691_x_at",3
"221923_s_at",3
"200678_x_at",4
"200063_s_at",4
"221691_x_at",4
"221923_s_at",4
"211284_s_at",5
"200063_s_at",5
"221691_x_at",5
"221923_s_at",5
"216041_x_at",6
"200063_s_at",6
"221691_x_at",6
"221923_s_at",6
"212983_at",7
"200063_s_at",7
"221691_x_at",7
"221923_s_at",7
"201841_s_at",8
"200063_s_at",8
"221691_x_at",8
"221923_s_at",8
"200063_s_at",9
"221691_x_at",9
"221923_s_at",9
"200747_s_at",9
"200063_s_at",10
"221691_x_at",10
"221923_s_at",10
"214250_at",10
"200063_s_at",11
"221691_x_at",11
"221923_s_at",11
"214251_s_at",11
"200063_s_at",12
"221691_x_at",12
"221923_s_at",12
"202240_at",12
"200063_s_at",13
"221691_x_at",13
"221923_s_at",13
"201136_at",13
"200063_s_at",14
"221691_x_at",14
"221923_s_at",14
"205129_at",14
"200063_s_at",15
"221691_x_at",15
"221923_s_at",15
"211412_at",15
"200063_s_at",16
"221691_x_at",16
"221923_s_at",16
"211413_s_at",16
"200063_s_at",17
"221691_x_at",17
"221923_s_at",17
"220001_at",17
"200063_s_at",18
"221691_x_at",18
"221923_s_at",18
"205561_at",18
"200063_s_at",19
"221691_x_at",19
"221923_s_at",19
"208158_s_at",19
"200063_s_at",20
"221691_x_at",20
"221923_s_at",20
"209485_s_at",20
"200063_s_at",21
"221691_x_at",21
"221923_s_at",21
"221997_s_at",21
"207163_s_at",22
"201173_x_at",22
"210574_s_at",22
"210575_at",22
"203388_at",23
"201173_x_at",23
"210574_s_at",23
"210575_at",23
"202024_at",24
"201173_x_at",24
"210574_s_at",24
"210575_at",24
"211928_at",25
"201173_x_at",25
"210574_s_at",25
"210575_at",25
"219769_at",26
"201173_x_at",26
"210574_s_at",26
"210575_at",26
"203667_at",27
"201173_x_at",27
"210574_s_at",27
"210575_at",27
"205688_at",28
"201173_x_at",28
"210574_s_at",28
"210575_at",28
"205480_s_at",29
"201173_x_at",29
"210574_s_at",29
"210575_at",29
"216326_s_at",30
"201173_x_at",30
"210574_s_at",30
"210575_at",30
"203444_s_at",31
"201173_x_at",31
"210574_s_at",31
"210575_at",31
"201527_at",32
"201173_x_at",32
"210574_s_at",32
"210575_at",32
"218227_at",33
"201173_x_at",33
"210574_s_at",33
"210575_at",33
"201173_x_at",34
"210574_s_at",34
"210575_at",34
"200645_at",34
"201173_x_at",35
"210574_s_at",35
"210575_at",35
"202415_s_at",35
"201173_x_at",36
"210574_s_at",36
"210575_at",36
"212059_s_at",36
"201173_x_at",37
"210574_s_at",37
"210575_at",37
"218555_at",37
"201173_x_at",38
"210574_s_at",38
"210575_at",38
"217976_s_at",38
"201173_x_at",39
"210574_s_at",39
"210575_at",39
"202093_s_at",39
"201173_x_at",40
"210574_s_at",40
"210575_at",40
"217980_s_at",40
"201173_x_at",41
"210574_s_at",41
"210575_at",41
"218260_at",41
"201173_x_at",42
"210574_s_at",42
"210575_at",42
"218848_at",42
"201173_x_at",43
"210574_s_at",43
"210575_at",43
"221997_s_at",43
"200057_s_at",44
"208698_s_at",44
"210470_x_at",44
"205205_at",44
"200057_s_at",45
"208698_s_at",45
"210470_x_at",45
"205312_at",45
"202329_at",46
"209026_x_at",46
"211714_x_at",46
"212320_at",46
"209477_at",47
"209026_x_at",47
"211714_x_at",47
"212320_at",47
"219769_at",48
"209026_x_at",48
"211714_x_at",48
"212320_at",48
"201136_at",49
"209026_x_at",49
"211714_x_at",49
"212320_at",49
"206219_s_at",50
"209026_x_at",50
"211714_x_at",50
"212320_at",50
"209941_at",51
"209026_x_at",51
"211714_x_at",51
"212320_at",51
"211178_s_at",52
"209026_x_at",52
"211714_x_at",52
"212320_at",52
"205096_at",53
"209026_x_at",53
"211714_x_at",53
"212320_at",53
"202087_s_at",54
"200744_s_at",54
"200745_s_at",54
"200746_s_at",54
"211928_at",55
"200744_s_at",55
"200745_s_at",55
"200746_s_at",55
"200744_s_at",56
"200745_s_at",56
"200746_s_at",56
"202108_at",56
"200744_s_at",57
"200745_s_at",57
"200746_s_at",57
"217873_at",57
"200782_at",58
"200737_at",58
"200738_s_at",58
"217356_s_at",58
"217383_at",58
"201135_at",59
"200737_at",59
"200738_s_at",59
"217356_s_at",59
"217383_at",59
"218336_at",60
"200737_at",60
"200738_s_at",60
"217356_s_at",60
"217383_at",60
"200737_at",61
"200738_s_at",61
"217356_s_at",61
"217383_at",61
"205480_s_at",61
"200737_at",62
"200738_s_at",62
"217356_s_at",62
"217383_at",62
"217980_s_at",62
"200737_at",63
"200738_s_at",63
"217356_s_at",63
"217383_at",63
"218813_s_at",63
"200737_at",64
"200738_s_at",64
"217356_s_at",64
"217383_at",64
"218260_at",64
"200737_at",65
"200738_s_at",65
"217356_s_at",65
"217383_at",65
"214023_x_at",65
"200737_at",66
"200738_s_at",66
"217356_s_at",66
"217383_at",66
"201173_x_at",66
"210574_s_at",66
"210575_at",66
"202024_at",67
"200093_s_at",67
"207721_x_at",67
"208826_x_at",67
"201135_at",68
"200093_s_at",68
"207721_x_at",68
"208826_x_at",68
"206492_at",69
"200093_s_at",69
"207721_x_at",69
"208826_x_at",69
"200093_s_at",70
"207721_x_at",70
"208826_x_at",70
"214732_at",70
"200093_s_at",71
"207721_x_at",71
"208826_x_at",71
"203667_at",71
"200093_s_at",72
"207721_x_at",72
"208826_x_at",72
"216326_s_at",72
"200093_s_at",73
"207721_x_at",73
"208826_x_at",73
"203444_s_at",73
"200093_s_at",74
"207721_x_at",74
"208826_x_at",74
"201527_at",74
"200093_s_at",75
"207721_x_at",75
"208826_x_at",75
"217720_at",75
"200093_s_at",76
"207721_x_at",76
"208826_x_at",76
"204559_s_at",76
"200093_s_at",77
"207721_x_at",77
"208826_x_at",77
"217980_s_at",77
"200093_s_at",78
"207721_x_at",78
"208826_x_at",78
"218011_at",78
"200093_s_at",79
"207721_x_at",79
"208826_x_at",79
"201173_x_at",79
"210574_s_at",79
"210575_at",79
"200093_s_at",80
"207721_x_at",80
"208826_x_at",80
"200737_at",80
"200738_s_at",80
"217356_s_at",80
"217383_at",80
"202247_s_at",81
"211783_s_at",81
"201173_x_at",81
"210574_s_at",81
"210575_at",81
"204031_s_at",82
"213263_s_at",82
"213264_at",82
"213517_at",82
"202247_s_at",82
"211783_s_at",82
"210231_x_at",83
"213048_s_at",83
"202247_s_at",83
"211783_s_at",83
"208991_at",84
