"node","cluster"
"212788_x_at",1
"201033_x_at",1
"208856_x_at",1
"211720_x_at",1
"211972_x_at",1
"214167_s_at",1
"213187_x_at",2
"201033_x_at",2
"208856_x_at",2
"211720_x_at",2
"211972_x_at",2
"214167_s_at",2
"201033_x_at",3
"208856_x_at",3
"211720_x_at",3
"211972_x_at",3
"214167_s_at",3
"203737_s_at",3
"203490_at",4
"200063_s_at",4
"221691_x_at",4
"221923_s_at",4
"31845_at",5
"200063_s_at",5
"221691_x_at",5
"221923_s_at",5
"200678_x_at",6
"200063_s_at",6
"221691_x_at",6
"221923_s_at",6
"211284_s_at",7
"200063_s_at",7
"221691_x_at",7
"221923_s_at",7
"216041_x_at",8
"200063_s_at",8
"221691_x_at",8
"221923_s_at",8
"212983_at",9
"200063_s_at",9
"221691_x_at",9
"221923_s_at",9
"200063_s_at",10
"221691_x_at",10
"221923_s_at",10
"200747_s_at",10
"200063_s_at",11
"221691_x_at",11
"221923_s_at",11
"214250_at",11
"200063_s_at",12
"221691_x_at",12
"221923_s_at",12
"214251_s_at",12
"200063_s_at",13
"221691_x_at",13
"221923_s_at",13
"201136_at",13
"200063_s_at",14
"221691_x_at",14
"221923_s_at",14
"211412_at",14
"200063_s_at",15
"221691_x_at",15
"221923_s_at",15
"211413_s_at",15
"200063_s_at",16
"221691_x_at",16
"221923_s_at",16
"220001_at",16
"200063_s_at",17
"221691_x_at",17
"221923_s_at",17
"205561_at",17
"200063_s_at",18
"221691_x_at",18
"221923_s_at",18
"208158_s_at",18
"200063_s_at",19
"221691_x_at",19
"221923_s_at",19
"209485_s_at",19
"207163_s_at",20
"201173_x_at",20
"210574_s_at",20
"210575_at",20
"203388_at",21
"201173_x_at",21
"210574_s_at",21
"210575_at",21
"219769_at",22
"201173_x_at",22
"210574_s_at",22
"210575_at",22
"205688_at",23
"201173_x_at",23
"210574_s_at",23
"210575_at",23
"201173_x_at",24
"210574_s_at",24
"210575_at",24
"212059_s_at",24
"201173_x_at",25
"210574_s_at",25
"210575_at",25
"217976_s_at",25
"201173_x_at",26
"210574_s_at",26
"210575_at",26
"218848_at",26
"201173_x_at",27
"210574_s_at",27
"210575_at",27
"221997_s_at",27
"200057_s_at",28
"208698_s_at",28
"210470_x_at",28
"205205_at",28
"200057_s_at",29
"208698_s_at",29
"210470_x_at",29
"205312_at",29
"202329_at",30
"209026_x_at",30
"211714_x_at",30
"212320_at",30
"219769_at",31
"209026_x_at",31
"211714_x_at",31
"212320_at",31
"206219_s_at",32
"209026_x_at",32
"211714_x_at",32
"212320_at",32
"209941_at",33
"209026_x_at",33
"211714_x_at",33
"212320_at",33
"205096_at",34
"209026_x_at",34
"211714_x_at",34
"212320_at",34
"202087_s_at",35
"200744_s_at",35
"200745_s_at",35
"200746_s_at",35
"200744_s_at",36
"200745_s_at",36
"200746_s_at",36
"217873_at",36
"201135_at",37
"200737_at",37
"200738_s_at",37
"217356_s_at",37
"217383_at",37
"200737_at",38
"200738_s_at",38
"217356_s_at",38
"217383_at",38
"218813_s_at",38
"200737_at",39
"200738_s_at",39
"217356_s_at",39
"217383_at",39
"218260_at",39
"202024_at",40
"200093_s_at",40
"207721_x_at",40
"208826_x_at",40
"201135_at",41
"200093_s_at",41
"207721_x_at",41
"208826_x_at",41
"206492_at",42
"200093_s_at",42
"207721_x_at",42
"208826_x_at",42
"200093_s_at",43
"207721_x_at",43
"208826_x_at",43
"214732_at",43
"200093_s_at",44
"207721_x_at",44
"208826_x_at",44
"203667_at",44
"200093_s_at",45
"207721_x_at",45
"208826_x_at",45
"216326_s_at",45
"200093_s_at",46
"207721_x_at",46
"208826_x_at",46
"203444_s_at",46
"200093_s_at",47
"207721_x_at",47
"208826_x_at",47
"204559_s_at",47
"200093_s_at",48
"207721_x_at",48
"208826_x_at",48
"218011_at",48
"202247_s_at",49
"211783_s_at",49
"201173_x_at",49
"210574_s_at",49
"210575_at",49
"208991_at",50
"208992_s_at",50
"202247_s_at",50
"211783_s_at",50
"202247_s_at",51
"211783_s_at",51
"209352_s_at",51
"39705_at",51
"207163_s_at",52
"202004_x_at",52
"210131_x_at",52
"215088_s_at",52
"216591_s_at",52
"202004_x_at",53
"210131_x_at",53
"215088_s_at",53
"216591_s_at",53
"218076_s_at",53
"203175_at",54
"208854_s_at",54
"208855_s_at",54
"215188_at",54
"202329_at",55
