"node","cluster"
"201033_x_at",1
"208856_x_at",1
"211720_x_at",1
"211972_x_at",1
"214167_s_at",1
"203737_s_at",1
"203388_at",2
"201173_x_at",2
"210574_s_at",2
"210575_at",2
"219769_at",3
"201173_x_at",3
"210574_s_at",3
"210575_at",3
"205688_at",4
"201173_x_at",4
"210574_s_at",4
"210575_at",4
"201173_x_at",5
"210574_s_at",5
"210575_at",5
"212059_s_at",5
"201173_x_at",6
"210574_s_at",6
"210575_at",6
"218848_at",6
"200057_s_at",7
"208698_s_at",7
"210470_x_at",7
"205312_at",7
"212983_at",8
"200063_s_at",8
"221691_x_at",8
"221923_s_at",8
"200063_s_at",9
"221691_x_at",9
"221923_s_at",9
"201136_at",9
"200063_s_at",10
"221691_x_at",10
"221923_s_at",10
"205561_at",10
"202329_at",11
"209026_x_at",11
"211714_x_at",11
"212320_at",11
"219769_at",12
"209026_x_at",12
"211714_x_at",12
"212320_at",12
"206219_s_at",13
"209026_x_at",13
"211714_x_at",13
"212320_at",13
"209941_at",14
"209026_x_at",14
"211714_x_at",14
"212320_at",14
"205096_at",15
"209026_x_at",15
"211714_x_at",15
"212320_at",15
"202087_s_at",16
"200744_s_at",16
"200745_s_at",16
"200746_s_at",16
"200744_s_at",17
"200745_s_at",17
"200746_s_at",17
"217873_at",17
"201135_at",18
"200093_s_at",18
"207721_x_at",18
"208826_x_at",18
"206492_at",19
"200093_s_at",19
"207721_x_at",19
"208826_x_at",19
"200093_s_at",20
"207721_x_at",20
"208826_x_at",20
"214732_at",20
"200093_s_at",21
"207721_x_at",21
"208826_x_at",21
"203667_at",21
"200093_s_at",22
"207721_x_at",22
"208826_x_at",22
"216326_s_at",22
"200093_s_at",23
"207721_x_at",23
"208826_x_at",23
"203444_s_at",23
"200093_s_at",24
"207721_x_at",24
"208826_x_at",24
"204559_s_at",24
"200093_s_at",25
"207721_x_at",25
"208826_x_at",25
"218011_at",25
"201135_at",26
"200737_at",26
"200738_s_at",26
"217356_s_at",26
"217383_at",26
"200737_at",27
"200738_s_at",27
"217356_s_at",27
"217383_at",27
"218813_s_at",27
"200737_at",28
"200738_s_at",28
"217356_s_at",28
"217383_at",28
"218260_at",28
"202247_s_at",29
"211783_s_at",29
"201173_x_at",29
"210574_s_at",29
"210575_at",29
"208991_at",30
"208992_s_at",30
"202247_s_at",30
"211783_s_at",30
"202247_s_at",31
"211783_s_at",31
"209352_s_at",31
"39705_at",31
"209352_s_at",32
"39705_at",32
"212994_at",32
"222122_s_at",32
"203175_at",33
"208854_s_at",33
"208855_s_at",33
"215188_at",33
"202329_at",34
"208854_s_at",34
"208855_s_at",34
"215188_at",34
"200600_at",35
"208854_s_at",35
"208855_s_at",35
"215188_at",35
"208854_s_at",36
"208855_s_at",36
"215188_at",36
"217873_at",36
"202024_at",37
"204330_s_at",37
"204331_s_at",37
"210008_s_at",37
"213840_s_at",37
"201140_s_at",38
"201156_s_at",38
"204330_s_at",38
"204331_s_at",38
"210008_s_at",38
"213840_s_at",38
"207535_s_at",39
"209636_at",39
"211524_at",39
"205205_at",39
"207535_s_at",40
"209636_at",40
"211524_at",40
"214732_at",40
"207535_s_at",41
"209636_at",41
"211524_at",41
"205527_s_at",41
"217099_s_at",41
"207535_s_at",42
"209636_at",42
"211524_at",42
"214062_x_at",42
"214448_x_at",42
"203388_at",43
"208984_x_at",43
"215089_s_at",43
"217221_x_at",43
"208984_x_at",44
"215089_s_at",44
"217221_x_at",44
"205096_at",44
"208984_x_at",45
"215089_s_at",45
"217221_x_at",45
"204559_s_at",45
"207163_s_at",46
"202224_at",46
"202225_at",46
"202226_s_at",46
"205723_at",47
"202224_at",47
"202225_at",47
"202226_s_at",47
"202224_at",48
"202225_at",48
"202226_s_at",48
"202329_at",48
"202224_at",49
"202225_at",49
"202226_s_at",49
"206883_x_at",49
"202224_at",50
"202225_at",50
"202226_s_at",50
"201841_s_at",50
"202224_at",51
"202225_at",51
"202226_s_at",51
"206270_at",51
"202224_at",52
"202225_at",52
"202226_s_at",52
"203010_at",52
"202224_at",53
"202225_at",53
"202226_s_at",53
"206219_s_at",53
"202224_at",54
"202225_at",54
"202226_s_at",54
"202112_at",54
"202224_at",55
"202225_at",55
"202226_s_at",55
"203315_at",55
"202224_at",56
"202225_at",56
"202226_s_at",56
"204400_at",56
"202224_at",57
"202225_at",57
"202226_s_at",57
"210880_s_at",57
"202224_at",58
"202225_at",58
"202226_s_at",58
"219907_at",58
"202224_at",59
"202225_at",59
"202226_s_at",59
"213633_at",59
"202224_at",60
"202225_at",60
"202226_s_at",60
"202415_s_at",60
"202224_at",61
"202225_at",61
"202226_s_at",61
"218076_s_at",61
"202224_at",62
"202225_at",62
"202226_s_at",62
"212994_at",62
"222122_s_at",62
"203577_at",63
"200083_at",63
"216957_at",63
"216964_at",63
"220861_at",63
"216326_s_at",64
"200083_at",64
"216957_at",64
"216964_at",64
"220861_at",64
"200083_at",65
"216957_at",65
"216964_at",65
"220861_at",65
"213633_at",65
"200083_at",66
"216957_at",66
"216964_at",66
"220861_at",66
"205541_s_at",66
"200083_at",67
"216957_at",67
"216964_at",67
"220861_at",67
"218076_s_at",67
"208991_at",68
"208992_s_at",68
"200083_at",68
"216957_at",68
"216964_at",68
"220861_at",68
"200744_s_at",69
"200745_s_at",69
"200746_s_at",69
"200083_at",69
"216957_at",69
"216964_at",69
"220861_at",69
"202247_s_at",70
"211783_s_at",70
"200083_at",70
"216957_at",70
"216964_at",70
"220861_at",70
"209352_s_at",71
"39705_at",71
"200083_at",71
"216957_at",71
"216964_at",71
"220861_at",71
"208984_x_at",72
"215089_s_at",72
"217221_x_at",72
"200083_at",72
"216957_at",72
"216964_at",72
"220861_at",72
"208149_x_at",73
"208159_x_at",73
"210206_s_at",73
"219769_at",73
"208149_x_at",74
"208159_x_at",74
"210206_s_at",74
"216326_s_at",74
"208149_x_at",75
"208159_x_at",75
"210206_s_at",75
"204267_x_at",75
"208149_x_at",76
"208159_x_at",76
"210206_s_at",76
"212836_at",76
"207163_s_at",77
"202004_x_at",77
"210131_x_at",77
"215088_s_at",77
"216591_s_at",77
"202004_x_at",78
"210131_x_at",78
"215088_s_at",78
"216591_s_at",78
"218076_s_at",78
"202354_s_at",79
"202355_s_at",79
"202356_s_at",79
"203577_at",79
"202354_s_at",80
"202355_s_at",80
"202356_s_at",80
"216326_s_at",80
"202354_s_at",81
"202355_s_at",81
"202356_s_at",81
"203444_s_at",81
"222015_at",82
"202476_s_at",82
"202477_s_at",82
"213563_s_at",82
"211928_at",83
"202476_s_at",83
"202477_s_at",83
"213563_s_at",83
"203660_s_at",84
"202476_s_at",84
