"node","cluster"
"201033_x_at",1
"208856_x_at",1
"211720_x_at",1
"211972_x_at",1
"214167_s_at",1
"203737_s_at",1
"212983_at",2
"200063_s_at",2
"221691_x_at",2
"221923_s_at",2
"200063_s_at",3
"221691_x_at",3
"221923_s_at",3
"200747_s_at",3
"200063_s_at",4
"221691_x_at",4
"221923_s_at",4
"214250_at",4
"200063_s_at",5
"221691_x_at",5
"221923_s_at",5
"214251_s_at",5
"200063_s_at",6
"221691_x_at",6
"221923_s_at",6
"201136_at",6
"200063_s_at",7
"221691_x_at",7
"221923_s_at",7
"211412_at",7
"200063_s_at",8
"221691_x_at",8
"221923_s_at",8
"211413_s_at",8
"200063_s_at",9
"221691_x_at",9
"221923_s_at",9
"220001_at",9
"200063_s_at",10
"221691_x_at",10
"221923_s_at",10
"205561_at",10
"200063_s_at",11
"221691_x_at",11
"221923_s_at",11
"208158_s_at",11
"200063_s_at",12
"221691_x_at",12
"221923_s_at",12
"209485_s_at",12
"219769_at",13
"201173_x_at",13
"210574_s_at",13
"210575_at",13
"205688_at",14
"201173_x_at",14
"210574_s_at",14
"210575_at",14
"201173_x_at",15
"210574_s_at",15
"210575_at",15
"212059_s_at",15
"201173_x_at",16
"210574_s_at",16
"210575_at",16
"218260_at",16
"200057_s_at",17
"208698_s_at",17
"210470_x_at",17
"205312_at",17
"219769_at",18
"209026_x_at",18
"211714_x_at",18
"212320_at",18
"206219_s_at",19
"209026_x_at",19
"211714_x_at",19
"212320_at",19
"209941_at",20
"209026_x_at",20
"211714_x_at",20
"212320_at",20
"202087_s_at",21
"200744_s_at",21
"200745_s_at",21
"200746_s_at",21
"203388_at",22
"208984_x_at",22
"215089_s_at",22
"217221_x_at",22
"208984_x_at",23
"215089_s_at",23
"217221_x_at",23
"205096_at",23
"208984_x_at",24
"215089_s_at",24
"217221_x_at",24
"204559_s_at",24
"208984_x_at",25
"215089_s_at",25
"217221_x_at",25
"202093_s_at",25
"207163_s_at",26
"202224_at",26
"202225_at",26
"202226_s_at",26
"202224_at",27
"202225_at",27
"202226_s_at",27
"202329_at",27
"202224_at",28
"202225_at",28
"202226_s_at",28
"1438_at",28
"202224_at",29
"202225_at",29
"202226_s_at",29
"204600_at",29
"202224_at",30
"202225_at",30
"202226_s_at",30
"201841_s_at",30
"202224_at",31
"202225_at",31
"202226_s_at",31
"206270_at",31
"202224_at",32
"202225_at",32
"202226_s_at",32
"203010_at",32
"202224_at",33
"202225_at",33
"202226_s_at",33
"206219_s_at",33
"202224_at",34
"202225_at",34
"202226_s_at",34
"203315_at",34
"202224_at",35
"202225_at",35
"202226_s_at",35
"219907_at",35
"202224_at",36
"202225_at",36
"202226_s_at",36
"213633_at",36
"202224_at",37
"202225_at",37
"202226_s_at",37
"202415_s_at",37
"202224_at",38
"202225_at",38
"202226_s_at",38
"218076_s_at",38
"202224_at",39
"202225_at",39
"202226_s_at",39
"212994_at",39
"222122_s_at",39
"212082_s_at",40
"214002_at",40
"208984_x_at",40
"215089_s_at",40
"217221_x_at",40
"200782_at",41
"200737_at",41
"200738_s_at",41
"217356_s_at",41
"217383_at",41
"201135_at",42
"200737_at",42
"200738_s_at",42
"217356_s_at",42
"217383_at",42
"200737_at",43
"200738_s_at",43
"217356_s_at",43
"217383_at",43
"205480_s_at",43
"200737_at",44
"200738_s_at",44
"217356_s_at",44
"217383_at",44
"218813_s_at",44
"200737_at",45
"200738_s_at",45
"217356_s_at",45
"217383_at",45
"218260_at",45
"212082_s_at",46
"214002_at",46
"209077_at",46
"209078_s_at",46
"208984_x_at",47
"215089_s_at",47
"217221_x_at",47
"202290_at",47
"217624_at",47
"202247_s_at",48
"211783_s_at",48
"201173_x_at",48
"210574_s_at",48
"210575_at",48
"208991_at",49
"208992_s_at",49
"202247_s_at",49
"211783_s_at",49
"209381_x_at",50
"37462_i_at",50
"208984_x_at",50
"215089_s_at",50
"217221_x_at",50
"212125_at",51
"212127_at",51
"209381_x_at",51
"37462_i_at",51
"201471_s_at",52
"213112_s_at",52
"205527_s_at",52
"217099_s_at",52
"222015_at",53
"202476_s_at",53
"202477_s_at",53
"213563_s_at",53
"211928_at",54
"202476_s_at",54
"202477_s_at",54
"213563_s_at",54
"209680_s_at",55
"202476_s_at",55
"202477_s_at",55
"213563_s_at",55
"203660_s_at",56
"202476_s_at",56
"202477_s_at",56
"213563_s_at",56
"202240_at",57
"202476_s_at",57
"202477_s_at",57
"213563_s_at",57
"216326_s_at",58
"202476_s_at",58
"202477_s_at",58
"213563_s_at",58
"202476_s_at",59
"202477_s_at",59
"213563_s_at",59
"214023_x_at",59
"202354_s_at",60
"202355_s_at",60
"202356_s_at",60
"203577_at",60
"202354_s_at",61
"202355_s_at",61
"202356_s_at",61
"216326_s_at",61
"202354_s_at",62
"202355_s_at",62
"202356_s_at",62
"203444_s_at",62
"202354_s_at",63
"202355_s_at",63
"202356_s_at",63
"209381_x_at",63
"37462_i_at",63
"201135_at",64
"200093_s_at",64
"207721_x_at",64
"208826_x_at",64
"206492_at",65
"200093_s_at",65
"207721_x_at",65
"208826_x_at",65
"200093_s_at",66
"207721_x_at",66
"208826_x_at",66
"214732_at",66
"200093_s_at",67
"207721_x_at",67
"208826_x_at",67
"216326_s_at",67
"200093_s_at",68
"207721_x_at",68
"208826_x_at",68
"203444_s_at",68
"200093_s_at",69
"207721_x_at",69
"208826_x_at",69
"217720_at",69
"200093_s_at",70
"207721_x_at",70
"208826_x_at",70
"204559_s_at",70
"200093_s_at",71
"207721_x_at",71
"208826_x_at",71
"218011_at",71
"200093_s_at",72
"207721_x_at",72
"208826_x_at",72
"209077_at",72
"209078_s_at",72
"207163_s_at",73
"204371_s_at",73
"204372_s_at",73
"212303_x_at",73
"202621_at",74
"204371_s_at",74
"204372_s_at",74
"212303_x_at",74
"204099_at",75
"204371_s_at",75
"204372_s_at",75
"212303_x_at",75
"204371_s_at",76
"204372_s_at",76
"212303_x_at",76
"201173_x_at",76
"210574_s_at",76
"210575_at",76
"203175_at",77
"208854_s_at",77
"208855_s_at",77
"215188_at",77
"202329_at",78
"208854_s_at",78
"208855_s_at",78
"215188_at",78
"200600_at",79
"208854_s_at",79
"208855_s_at",79
"215188_at",79
"208854_s_at",80
"208855_s_at",80
"215188_at",80
"217873_at",80
"200063_s_at",81
"221691_x_at",81
"221923_s_at",81
"201708_s_at",81
"201709_s_at",81
"209036_s_at",82
"213333_at",82
"201708_s_at",82
"201709_s_at",82
"201708_s_at",83
"201709_s_at",83
"201471_s_at",83
"213112_s_at",83
"200663_at",84
"201551_s_at",84
"201552_at",84
"201553_s_at",84
"213728_at",84
"201551_s_at",85
