"node","cluster"
"202108_at",1
"201122_x_at",1
"201123_s_at",1
"213753_x_at",1
"212315_s_at",2
"212316_at",2
"213945_s_at",2
"213947_s_at",2
"220035_at",2
"218678_at",2
"200852_x_at",3
"206737_at",3
"200744_s_at",3
"200745_s_at",3
"200746_s_at",3
"204989_s_at",4
"204990_s_at",4
"211905_s_at",4
"214292_at",4
"208156_x_at",4
"200926_at",5
"214317_x_at",5
"217747_s_at",5
"221798_x_at",5
"200834_s_at",5
"214097_at",5
"222015_at",5
"207745_at",6
"205428_s_at",6
"220414_at",6
"208928_at",6
"200796_s_at",7
"200797_s_at",7
"200798_x_at",7
"214056_at",7
"214057_at",7
"208674_x_at",7
"208675_s_at",7
"200974_at",8
"215787_at",8
"204695_at",8
"204696_s_at",8
"200936_at",9
"222216_s_at",9
"217980_s_at",9
"212044_s_at",9
"211178_s_at",9
"200883_at",10
"212600_s_at",10
"204083_s_at",10
"212654_at",10
"200057_s_at",11
"208698_s_at",11
"210470_x_at",11
"204083_s_at",11
"212654_at",11
"202586_at",12
"211730_s_at",12
"200022_at",12
"214335_at",12
"222297_x_at",12
"206200_s_at",13
"214783_s_at",13
"200834_s_at",13
"214097_at",13
"209999_x_at",14
"210000_s_at",14
"210001_s_at",14
"213337_s_at",14
"209201_x_at",14
"211919_s_at",14
"217028_at",14
"209742_s_at",15
"207155_at",15
"211886_s_at",15
"215389_s_at",15
"217716_s_at",16
"200883_at",16
"212600_s_at",16
"200717_x_at",16
"212042_x_at",16
"208674_x_at",16
"208675_s_at",16
"201011_at",16
"202476_s_at",17
"202477_s_at",17
"213563_s_at",17
"200747_s_at",17
"214250_at",17
"214251_s_at",17
"219053_s_at",18
"218679_s_at",18
"213072_at",18
"213681_at",18
"203691_at",19
"41469_at",19
"211431_s_at",19
"211432_s_at",19
"201851_at",19
"221021_s_at",19
"205049_s_at",20
"202330_s_at",20
"205477_s_at",20
"214425_at",20
"200063_s_at",21
"221691_x_at",21
"221923_s_at",21
"201429_s_at",21
"213459_at",21
"214041_x_at",21
"200074_s_at",21
"213588_x_at",21
"219138_at",21
"200010_at",21
"209381_x_at",22
"37462_i_at",22
"204559_s_at",22
"200092_s_at",22
"200094_s_at",22
"204102_s_at",22
"221798_x_at",22
"200002_at",22
"209449_at",22
"218110_at",22
"200002_at",23
"200062_s_at",23
"200093_s_at",23
"207721_x_at",23
"208826_x_at",23
"201033_x_at",23
"208856_x_at",23
"211720_x_at",23
"211972_x_at",23
"214167_s_at",23
"200834_s_at",23
"214097_at",23
"200010_at",23
"217266_at",23
"221475_s_at",23
"221476_s_at",23
"213412_at",24
"35148_at",24
"208474_at",24
"221664_s_at",24
"222354_at",24
"204638_at",25
"209235_at",25
"221961_at",25
"38069_at",25
"220428_at",25
"203444_s_at",26
"212931_at",26
"215511_at",26
"202218_s_at",26
"209667_at",26
"209668_x_at",26
"213509_x_at",26
"206283_s_at",27
"216925_s_at",27
"216928_at",27
"208574_at",27
"207954_at",27
"209710_at",27
"210358_x_at",27
"218948_at",27
"218949_s_at",27
"205713_s_at",28
"205477_s_at",28
"214425_at",28
"201851_at",28
"200093_s_at",28
"207721_x_at",28
"208826_x_at",28
"209881_s_at",29
"211005_at",29
"206219_s_at",29
"220566_at",29
"212777_at",29
"212780_at",29
"205713_s_at",30
"205477_s_at",30
"214425_at",30
"201140_s_at",30
"201156_s_at",30
"200796_s_at",30
"200797_s_at",30
"200798_x_at",30
"214056_at",30
"214057_at",30
"206022_at",30
"206390_x_at",31
"212024_x_at",31
"212025_s_at",31
"222065_s_at",31
"201693_s_at",32
"201694_s_at",32
"201841_s_at",32
"208991_at",32
"208992_s_at",32
"207163_s_at",32
"200782_at",32
"201763_s_at",32
"216038_x_at",32
"207113_s_at",32
"209077_at",33
"209078_s_at",33
"201415_at",33
"211630_s_at",33
"206662_at",33
"209276_s_at",33
"217793_at",34
"34478_at",34
"212518_at",34
"202253_s_at",34
"216024_at",34
"200094_s_at",35
"204102_s_at",35
"201122_x_at",35
"201123_s_at",35
"213753_x_at",35
"201033_x_at",35
"208856_x_at",35
"211720_x_at",35
"211972_x_at",35
"214167_s_at",35
"221798_x_at",35
"200737_at",35
"200738_s_at",35
"217356_s_at",35
"217383_at",35
"200010_at",35
"205049_s_at",36
"202112_at",36
"203663_s_at",36
"215497_s_at",36
"216036_x_at",36
"40829_at",36
"206522_at",36
"202459_s_at",37
"202460_s_at",37
"215535_s_at",37
"32836_at",37
"203318_s_at",37
"203319_s_at",37
"201011_at",38
"200967_at",38
"200968_s_at",38
"200093_s_at",38
"207721_x_at",38
"208826_x_at",38
"201541_s_at",39
"208103_s_at",39
"221505_at",39
"207168_s_at",39
"214500_at",39
"214501_s_at",39
"203315_at",40
"206493_at",40
"206494_s_at",40
"216956_s_at",40
"216966_at",40
"1438_at",40
"204600_at",40
"218030_at",40
"203396_at",41
"202243_s_at",41
"202244_at",41
"201011_at",41
"218481_at",41
"201114_x_at",41
"216088_s_at",41
"202295_s_at",42
"204493_at",42
"211725_s_at",42
"220804_s_at",42
"211154_at",43
"211155_s_at",43
"211831_s_at",43
"204563_at",43
"203691_at",43
"41469_at",43
"217862_at",43
"217863_at",43
"217864_s_at",43
"206493_at",43
"206494_s_at",43
"216956_s_at",43
"216966_at",43
"208991_at",43
"208992_s_at",43
"200782_at",43
"200063_s_at",43
"221691_x_at",43
"221923_s_at",43
"202224_at",43
"202225_at",43
"202226_s_at",43
"205798_at",43
"209999_x_at",43
"210000_s_at",43
"210001_s_at",43
"213337_s_at",43
"203010_at",43
"203035_s_at",43
"203591_s_at",43
"202004_x_at",43
"210131_x_at",43
"215088_s_at",43
"216591_s_at",43
"209201_x_at",43
"211919_s_at",43
"217028_at",43
"200796_s_at",43
"200797_s_at",43
"200798_x_at",43
"214056_at",43
"214057_at",43
"205945_at",43
"217489_s_at",43
"207113_s_at",43
"200926_at",44
"200063_s_at",44
"221691_x_at",44
"221923_s_at",44
"200717_x_at",44
"212042_x_at",44
"221798_x_at",44
"219098_at",44
"200022_at",44
"214335_at",44
"222297_x_at",44
"201429_s_at",44
"213459_at",44
"214041_x_at",44
"207384_at",45
"201681_s_at",45
"210469_at",45
"202415_s_at",45
"203136_at",46
"217793_at",46
"34478_at",46
"201140_s_at",46
"201156_s_at",46
"201276_at",46
"208984_x_at",46
"215089_s_at",46
"217221_x_at",46
"202112_at",47
"206493_at",47
"206494_s_at",47
"216956_s_at",47
"216966_at",47
"206390_x_at",47
"206883_x_at",47
"215497_s_at",47
"216036_x_at",47
"40829_at",47
"216267_s_at",48
"200714_x_at",48
"215399_s_at",48
"220470_at",48
"210045_at",49
"210046_s_at",49
"218260_at",49
"201135_at",49
"220690_s_at",49
"205829_at",49
"200974_at",50
"215787_at",50
"200094_s_at",50
"204102_s_at",50
"205541_s_at",50
"203872_at",50
"200074_s_at",50
"213588_x_at",50
"219138_at",50
"200926_at",50
"200022_at",50
"214335_at",50
"222297_x_at",50
"200737_at",50
"200738_s_at",50
"217356_s_at",50
"217383_at",50
"220491_at",51
"221576_at",51
"221577_x_at",51
"209263_x_at",51
"209264_s_at",51
"208502_s_at",51
"209587_at",51
"218227_at",52
"218044_x_at",52
"218045_x_at",52
"201173_x_at",52
"210574_s_at",52
"210575_at",52
"205693_at",52
"220807_at",53
"206647_at",53
"205919_at",53
"217683_at",53
"201135_at",53
"206834_at",53
"206200_s_at",54
"214783_s_at",54
"208620_at",54
"212788_x_at",54
"213187_x_at",54
"200967_at",55
"200968_s_at",55
"203010_at",55
"202621_at",55
"207000_s_at",56
"209697_at",56
"213950_s_at",56
"32540_at",56
"32541_at",56
"204046_at",56
"210388_at",56
"213384_x_at",56
"212518_at",56
"205125_at",56
"209280_at",57
"37408_at",57
"220428_at",57
"210845_s_at",57
"211924_s_at",57
"214866_at",57
"221664_s_at",58
"222354_at",58
"217728_at",58
"202917_s_at",58
"214370_at",58
"205863_at",58
"205237_at",58
"212125_at",59
"212127_at",59
"203307_at",59
"201429_s_at",59
"213459_at",59
"214041_x_at",59
"202108_at",60
"209309_at",60
"211560_s_at",60
"206492_at",60
"207889_at",60
"210063_at",60
"210862_s_at",60
"211322_s_at",60
"205164_at",60
"36475_at",60
"205713_s_at",61
"220118_at",61
"208991_at",61
"208992_s_at",61
"205477_s_at",61
"214425_at",61
"201851_at",61
"207163_s_at",61
"218678_at",61
"209201_x_at",61
"211919_s_at",61
"217028_at",61
"200796_s_at",61
"200797_s_at",61
"200798_x_at",61
"214056_at",61
"214057_at",61
"206022_at",61
"220139_at",62
"205421_at",62
"210845_s_at",62
"211924_s_at",62
"214866_at",62
"201392_s_at",62
"201393_s_at",62
"213182_x_at",62
"213183_s_at",62
"213348_at",62
"216894_x_at",62
"219533_at",62
"219534_x_at",62
"200974_at",63
"215787_at",63
"203872_at",63
"219619_at",63
"206522_at",63
"209381_x_at",64
"37462_i_at",64
"212994_at",64
"222122_s_at",64
"212315_s_at",64
"212316_at",64
"213945_s_at",64
"213947_s_at",64
"220035_at",64
"205096_at",64
"218848_at",64
"201638_s_at",64
"212125_at",64
"212127_at",64
"207769_s_at",65
"210499_s_at",65
"214527_s_at",65
"209381_x_at",65
"37462_i_at",65
"204559_s_at",65
"208620_at",65
"202586_at",65
"211730_s_at",65
"201638_s_at",65
"218110_at",65
"204031_s_at",65
"213263_s_at",65
"213264_at",65
"213517_at",65
"221021_s_at",65
"209449_at",65
"202354_s_at",65
"202355_s_at",65
"202356_s_at",65
"209077_at",66
"209078_s_at",66
"201415_at",66
"211630_s_at",66
"206662_at",66
"209276_s_at",66
"219808_at",66
"221575_at",66
"59705_at",66
"1316_at",66
"204100_at",66
"214883_at",66
"35846_at",66
"209036_s_at",66
"213333_at",66
"210045_at",66
"210046_s_at",66
"208817_at",66
"208818_s_at",66
"213981_at",66
"216204_at",66
"208668_x_at",66
"207889_at",66
"210063_at",66
"210862_s_at",66
"211322_s_at",66
"220690_s_at",66
"210803_at",66
"211177_s_at",66
"205829_at",66
"200974_at",67
"215787_at",67
"200645_at",67
"203872_at",67
"201471_s_at",67
"213112_s_at",67
"207282_s_at",68
"202400_s_at",68
"202401_s_at",68
"207163_s_at",68
"217786_at",68
"218678_at",68
"204954_s_at",68
"217270_s_at",68
"207113_s_at",68
"203003_at",68
"203004_s_at",68
"214732_at",68
"206813_at",68
"213707_s_at",69
"205873_at",69
"213889_at",69
"217862_at",69
"217863_at",69
"217864_s_at",69
"219922_s_at",69
"205932_s_at",69
"220519_s_at",70
"220491_at",70
"212788_x_at",70
"213187_x_at",70
