"node","cluster"
"200926_at",1
"214317_x_at",1
"217747_s_at",1
"221798_x_at",1
"200834_s_at",1
"214097_at",1
"222015_at",1
"200093_s_at",2
"207721_x_at",2
"208826_x_at",2
"218336_at",2
"201033_x_at",3
"208856_x_at",3
"211720_x_at",3
"211972_x_at",3
"214167_s_at",3
"200717_x_at",3
"212042_x_at",3
"200074_s_at",3
"213588_x_at",3
"219138_at",3
"218103_at",3
"202108_at",4
"201122_x_at",4
"201123_s_at",4
"213753_x_at",4
"200002_at",5
"200936_at",5
"212044_s_at",5
"200010_at",5
"200924_s_at",5
"200852_x_at",6
"206737_at",6
"200744_s_at",6
"200745_s_at",6
"200746_s_at",6
"203365_s_at",7
"210514_x_at",7
"211528_x_at",7
"211529_x_at",7
"211530_x_at",7
"210514_x_at",8
"211528_x_at",8
"211529_x_at",8
"211530_x_at",8
"220538_at",8
"209026_x_at",9
"211714_x_at",9
"212320_at",9
"201136_at",9
"203174_s_at",10
"215497_s_at",10
"216036_x_at",10
"40829_at",10
"215984_s_at",11
"215497_s_at",11
"216036_x_at",11
"40829_at",11
"215497_s_at",12
"216036_x_at",12
"40829_at",12
"201527_at",12
"207694_at",13
"200737_at",13
"200738_s_at",13
"217356_s_at",13
"217383_at",13
"212315_s_at",14
"212316_at",14
"213945_s_at",14
"213947_s_at",14
"220035_at",14
"218678_at",14
"207000_s_at",15
"209697_at",15
"213950_s_at",15
"32540_at",15
"32541_at",15
"219191_s_at",15
"211752_s_at",16
"221789_x_at",16
"222131_x_at",16
"65770_at",16
"217862_at",17
"217863_at",17
"217864_s_at",17
"205932_s_at",17
"200852_x_at",18
"201040_at",18
"215996_at",18
"203175_at",18
"204989_s_at",19
"204990_s_at",19
"211905_s_at",19
"214292_at",19
"208156_x_at",19
"204581_at",20
"217422_s_at",20
"220674_at",20
"38521_at",20
"221345_at",20
"201897_s_at",21
"201890_at",21
"209773_s_at",21
"213088_s_at",21
"201897_s_at",22
"201890_at",22
"209773_s_at",22
"213092_x_at",22
"205205_at",23
"214062_x_at",23
"214448_x_at",23
"207535_s_at",23
"209636_at",23
"211524_at",23
"210182_at",23
"209280_at",24
"210845_s_at",24
"211924_s_at",24
"214866_at",24
"37408_at",25
"210845_s_at",25
"211924_s_at",25
"214866_at",25
"210845_s_at",26
"211924_s_at",26
"214866_at",26
"203667_at",26
"214023_x_at",27
"209026_x_at",27
"211714_x_at",27
"212320_at",27
"203667_at",27
"209546_s_at",28
"208817_at",28
"208818_s_at",28
"213981_at",28
"216204_at",28
"221087_s_at",29
"208817_at",29
"208818_s_at",29
"213981_at",29
"216204_at",29
"204581_at",30
"217422_s_at",30
"220674_at",30
"38521_at",30
"205049_s_at",30
"215925_s_at",30
"200936_at",31
"222216_s_at",31
"217980_s_at",31
"212044_s_at",31
"211178_s_at",31
"209309_at",32
"207889_at",32
"210063_at",32
"210862_s_at",32
"211322_s_at",32
"203396_at",33
"205377_s_at",33
"205378_s_at",33
"210332_at",33
"211570_s_at",34
"205377_s_at",34
"205378_s_at",34
"210332_at",34
"205377_s_at",35
"205378_s_at",35
"210332_at",35
"206522_at",35
"206380_s_at",36
"206629_at",36
"220208_at",36
"200796_s_at",37
"200797_s_at",37
"200798_x_at",37
"214056_at",37
"214057_at",37
"208674_x_at",37
"208675_s_at",37
"207769_s_at",38
"210499_s_at",38
"214527_s_at",38
"202253_s_at",38
"216024_at",38
"200883_at",39
"212600_s_at",39
"204083_s_at",39
"212654_at",39
"203174_s_at",40
"203833_s_at",40
"203834_s_at",40
"212040_at",40
"212043_at",40
"215984_s_at",41
"203833_s_at",41
"203834_s_at",41
"212040_at",41
"212043_at",41
"202586_at",42
"211730_s_at",42
"200022_at",42
"214335_at",42
"222297_x_at",42
"218076_s_at",43
"203838_s_at",43
"203839_s_at",43
"216439_at",43
"202175_at",44
"203452_at",44
"35179_at",44
"202012_s_at",44
"202013_s_at",44
"201551_s_at",45
"201552_at",45
"201553_s_at",45
"213728_at",45
"201471_s_at",45
"213112_s_at",45
"203691_at",46
"41469_at",46
"211431_s_at",46
"211432_s_at",46
"201851_at",46
"221021_s_at",46
"202621_at",47
"208436_s_at",47
"204910_s_at",47
"208894_at",47
"210982_s_at",47
"203275_at",47
"210514_x_at",47
"211528_x_at",47
"211529_x_at",47
"211530_x_at",47
"202621_at",48
"208436_s_at",48
"204911_s_at",48
"208894_at",48
"210982_s_at",48
"203275_at",48
"210514_x_at",48
"211528_x_at",48
"211529_x_at",48
"211530_x_at",48
"202621_at",49
"208436_s_at",49
"213884_s_at",49
"208894_at",49
"210982_s_at",49
"203275_at",49
"210514_x_at",49
"211528_x_at",49
"211529_x_at",49
"211530_x_at",49
"202621_at",50
"208436_s_at",50
"213885_at",50
"208894_at",50
"210982_s_at",50
"203275_at",50
"210514_x_at",50
"211528_x_at",50
"211529_x_at",50
"211530_x_at",50
"205713_s_at",51
"202330_s_at",51
"201851_at",51
"200796_s_at",51
"200797_s_at",51
"200798_x_at",51
"214056_at",51
"214057_at",51
"217716_s_at",52
"200883_at",52
"212600_s_at",52
"200717_x_at",52
"212042_x_at",52
"208674_x_at",52
"208675_s_at",52
"201011_at",52
"209742_s_at",53
"207155_at",53
"211886_s_at",53
"215389_s_at",53
"207745_at",54
"205428_s_at",54
"220414_at",54
"208928_at",54
"200737_at",55
"200738_s_at",55
"217356_s_at",55
"217383_at",55
"209201_x_at",55
"211919_s_at",55
"217028_at",55
"201954_at",56
"201114_x_at",56
"216088_s_at",56
"217817_at",56
"217818_s_at",56
"200094_s_at",57
"204102_s_at",57
"221789_x_at",57
"222131_x_at",57
"65770_at",57
"221798_x_at",57
"206793_at",58
"208817_at",58
"208818_s_at",58
"213981_at",58
"216204_at",58
"208291_s_at",58
"206450_at",58
"203849_s_at",59
"203850_s_at",59
"215497_s_at",59
"216036_x_at",59
"40829_at",59
"201541_s_at",60
"208103_s_at",60
"221505_at",60
"207168_s_at",60
"214500_at",60
"214501_s_at",60
"212315_s_at",61
"212316_at",61
"213945_s_at",61
"213947_s_at",61
"220035_at",61
"205096_at",61
"200063_s_at",61
"221691_x_at",61
"221923_s_at",61
"1316_at",62
"204100_at",62
"214883_at",62
"35846_at",62
"220566_at",62
"201134_x_at",63
"213846_at",63
"217491_x_at",63
"202473_x_at",63
"202474_s_at",63
"215497_s_at",64
"216036_x_at",64
"40829_at",64
"219590_x_at",64
"222360_at",64
"200063_s_at",65
"221691_x_at",65
"221923_s_at",65
"201429_s_at",65
"213459_at",65
"214041_x_at",65
"200074_s_at",65
"213588_x_at",65
"219138_at",65
