"node","cluster"
"200926_at",1
"214317_x_at",1
"217747_s_at",1
"221798_x_at",1
"200834_s_at",1
"214097_at",1
"222015_at",1
"202108_at",2
"201122_x_at",2
"201123_s_at",2
"213753_x_at",2
"201134_x_at",3
"213846_at",3
"217491_x_at",3
"218011_at",3
"201568_at",3
"211963_s_at",4
"217992_s_at",4
"217817_at",4
"217818_s_at",4
"200936_at",5
"222216_s_at",5
"217980_s_at",5
"212044_s_at",5
"211178_s_at",5
"202004_x_at",6
"210131_x_at",6
"215088_s_at",6
"216591_s_at",6
"205217_at",6
"202004_x_at",7
"210131_x_at",7
"215088_s_at",7
"216591_s_at",7
"210800_at",7
"200852_x_at",8
"206737_at",8
"200744_s_at",8
"200745_s_at",8
"200746_s_at",8
"202839_s_at",9
"211407_at",9
"211752_s_at",9
"218320_s_at",9
"208714_at",9
"218563_at",9
"203663_s_at",9
"202004_x_at",9
"210131_x_at",9
"215088_s_at",9
"216591_s_at",9
"205312_at",10
"207954_at",10
"209710_at",10
"210358_x_at",10
"218948_at",10
"205312_at",11
"207954_at",11
"209710_at",11
"210358_x_at",11
"218949_s_at",11
"200967_at",12
"200968_s_at",12
"201380_at",12
"204724_s_at",12
"219170_at",13
"202400_s_at",13
"202401_s_at",13
"207282_s_at",13
"209026_x_at",14
"211714_x_at",14
"212320_at",14
"201136_at",14
"218481_at",15
"212627_s_at",15
"213648_at",15
"212101_at",15
"200010_at",15
"218481_at",16
"212627_s_at",16
"213648_at",16
"212102_s_at",16
"200010_at",16
"218481_at",17
"212627_s_at",17
"213648_at",17
"212103_at",17
"200010_at",17
"212983_at",18
"201040_at",18
"215996_at",18
"204280_at",18
"212983_at",19
"201040_at",19
"215996_at",19
"211021_s_at",19
"212983_at",20
"201040_at",20
"215996_at",20
"38290_at",20
"207694_at",21
"200737_at",21
"200738_s_at",21
"217356_s_at",21
"217383_at",21
"207000_s_at",22
"209697_at",22
"213950_s_at",22
"32540_at",22
"32541_at",22
"219191_s_at",22
"204031_s_at",23
"213263_s_at",23
"213264_at",23
"213517_at",23
"204039_at",23
"214023_x_at",24
"209026_x_at",24
"211714_x_at",24
"212320_at",24
"203667_at",24
"205312_at",25
"208991_at",25
"208992_s_at",25
"207163_s_at",25
"203828_s_at",25
"207113_s_at",25
"213061_s_at",26
"200747_s_at",26
"214250_at",26
"214251_s_at",26
"213062_at",27
"200747_s_at",27
"214250_at",27
"214251_s_at",27
"217862_at",28
"217863_at",28
"217864_s_at",28
"205932_s_at",28
"201693_s_at",29
"201694_s_at",29
"207163_s_at",29
"213182_x_at",29
"201693_s_at",30
"201694_s_at",30
"207163_s_at",30
"213183_s_at",30
"201693_s_at",31
"201694_s_at",31
"207163_s_at",31
"213348_at",31
"201693_s_at",32
"201694_s_at",32
"207163_s_at",32
"216894_x_at",32
"201693_s_at",33
"201694_s_at",33
"207163_s_at",33
"219533_at",33
"205205_at",34
"214062_x_at",34
"214448_x_at",34
"207535_s_at",34
"209636_at",34
"211524_at",34
"210182_at",34
"217716_s_at",35
"200094_s_at",35
"204102_s_at",35
"200717_x_at",35
"212042_x_at",35
"200834_s_at",35
"214097_at",35
"212044_s_at",35
"200010_at",35
"217980_s_at",35
"200908_s_at",35
"217670_at",35
"214317_x_at",35
"217747_s_at",35
"221798_x_at",35
"200092_s_at",35
"201429_s_at",35
"213459_at",35
"214041_x_at",35
"204330_s_at",35
"204331_s_at",35
"210008_s_at",35
"213840_s_at",35
"201492_s_at",35
"201033_x_at",35
"208856_x_at",35
"211720_x_at",35
"211972_x_at",35
"214167_s_at",35
"200062_s_at",35
"200074_s_at",35
"213588_x_at",35
"219138_at",35
"200002_at",35
"200926_at",35
"200674_s_at",35
"200936_at",35
"208674_x_at",35
"208675_s_at",35
"222216_s_at",35
"207585_s_at",35
"200022_at",35
"214335_at",35
"222297_x_at",35
"217266_at",35
"221475_s_at",35
"221476_s_at",35
"201011_at",35
"205863_at",36
"207535_s_at",36
"209636_at",36
"211524_at",36
"209546_s_at",37
"208817_at",37
"208818_s_at",37
"213981_at",37
"216204_at",37
"221087_s_at",38
"208817_at",38
"208818_s_at",38
"213981_at",38
"216204_at",38
"201641_at",39
"210313_at",39
"210514_x_at",39
"211528_x_at",39
"211529_x_at",39
"211530_x_at",39
"203028_s_at",40
"212983_at",40
"207113_s_at",40
"206219_s_at",40
"207163_s_at",40
"201134_x_at",41
"213846_at",41
"217491_x_at",41
"200093_s_at",41
"207721_x_at",41
"208826_x_at",41
"203667_at",41
"206001_at",42
"221345_at",42
"201040_at",42
"215996_at",42
"204046_at",42
"210388_at",42
"200744_s_at",42
"200745_s_at",42
"200746_s_at",42
"213384_x_at",42
"200852_x_at",42
"206634_at",43
"215497_s_at",43
"216036_x_at",43
"40829_at",43
"202546_at",44
"210514_x_at",44
"211528_x_at",44
"211529_x_at",44
"211530_x_at",44
"210890_x_at",45
"210514_x_at",45
"211528_x_at",45
"211529_x_at",45
"211530_x_at",45
"210514_x_at",46
"211528_x_at",46
"211529_x_at",46
"211530_x_at",46
"220538_at",46
"202621_at",47
"208436_s_at",47
"213885_at",47
"208894_at",47
"210982_s_at",47
"203275_at",47
"210514_x_at",47
"211528_x_at",47
"211529_x_at",47
"211530_x_at",47
"206493_at",48
"206494_s_at",48
"216956_s_at",48
"216966_at",48
"212983_at",48
"208206_s_at",48
"206493_at",49
"206494_s_at",49
"216956_s_at",49
"216966_at",49
"212983_at",49
"214367_at",49
"206493_at",50
"206494_s_at",50
"216956_s_at",50
"216966_at",50
"212983_at",50
"214368_at",50
"206493_at",51
"206494_s_at",51
"216956_s_at",51
"216966_at",51
"212983_at",51
"214369_s_at",51
"202388_at",52
"206270_at",52
"201040_at",52
"215996_at",52
"201897_s_at",53
"201890_at",53
"209773_s_at",53
"213088_s_at",53
"201897_s_at",54
"201890_at",54
"209773_s_at",54
"213092_x_at",54
"209309_at",55
"207889_at",55
"210063_at",55
"210862_s_at",55
"211322_s_at",55
"202336_s_at",56
"212958_x_at",56
"214620_x_at",56
"204855_at",56
"202336_s_at",57
"212958_x_at",57
"214620_x_at",57
"200019_s_at",57
"209742_s_at",58
"207155_at",58
"211886_s_at",58
"215389_s_at",58
"208445_s_at",59
"211313_s_at",59
"213336_at",59
"217742_s_at",59
"208445_s_at",60
"211313_s_at",60
"213336_at",60
"219679_s_at",60
"206634_at",61
"207372_s_at",61
"215497_s_at",61
"216036_x_at",61
"40829_at",61
"206001_at",62
"206390_x_at",62
"213245_at",62
"200852_x_at",62
"209201_x_at",62
"211919_s_at",62
"217028_at",62
