"node","cluster"
"200926_at",1
"214317_x_at",1
"217747_s_at",1
"221798_x_at",1
"200834_s_at",1
"214097_at",1
"222015_at",1
"201033_x_at",2
"208856_x_at",2
"211720_x_at",2
"211972_x_at",2
"214167_s_at",2
"200717_x_at",2
"212042_x_at",2
"200074_s_at",2
"213588_x_at",2
"219138_at",2
"218103_at",2
"215497_s_at",3
"216036_x_at",3
"40829_at",3
"201527_at",3
"200852_x_at",4
"206737_at",4
"200744_s_at",4
"200745_s_at",4
"200746_s_at",4
"204031_s_at",5
"213263_s_at",5
"213264_at",5
"213517_at",5
"204039_at",5
"202108_at",6
"201122_x_at",6
"201123_s_at",6
"213753_x_at",6
"205863_at",7
"207535_s_at",7
"209636_at",7
"211524_at",7
"207000_s_at",8
"209697_at",8
"213950_s_at",8
"32540_at",8
"32541_at",8
"219191_s_at",8
"210514_x_at",9
"211528_x_at",9
"211529_x_at",9
"211530_x_at",9
"220538_at",9
"211752_s_at",10
"221789_x_at",10
"222131_x_at",10
"65770_at",10
"212315_s_at",11
"212316_at",11
"213945_s_at",11
"213947_s_at",11
"220035_at",11
"218678_at",11
"205205_at",12
"214062_x_at",12
"214448_x_at",12
"207535_s_at",12
"209636_at",12
"211524_at",12
"210182_at",12
"207359_at",13
"210787_s_at",13
"212252_at",13
"213812_s_at",13
"220414_at",13
"207694_at",14
"200737_at",14
"200738_s_at",14
"217356_s_at",14
"217383_at",14
"200974_at",15
"215787_at",15
"203872_at",15
"216438_s_at",15
"200974_at",16
"215787_at",16
"203872_at",16
"215506_s_at",16
"200936_at",17
"222216_s_at",17
"217980_s_at",17
"212044_s_at",17
"211178_s_at",17
"209280_at",18
"210845_s_at",18
"211924_s_at",18
"214866_at",18
"37408_at",19
"210845_s_at",19
"211924_s_at",19
"214866_at",19
"210845_s_at",20
"211924_s_at",20
"214866_at",20
"203667_at",20
"209309_at",21
"207889_at",21
"210063_at",21
"210862_s_at",21
"211322_s_at",21
"201897_s_at",22
"201890_at",22
"209773_s_at",22
"213088_s_at",22
"201897_s_at",23
"201890_at",23
"209773_s_at",23
"213092_x_at",23
"204581_at",24
"217422_s_at",24
"220674_at",24
"38521_at",24
"205049_s_at",24
"215925_s_at",24
"204581_at",25
"217422_s_at",25
"220674_at",25
"38521_at",25
"221345_at",25
"203174_s_at",26
"203833_s_at",26
"203834_s_at",26
"212040_at",26
"212043_at",26
"215984_s_at",27
"203833_s_at",27
"203834_s_at",27
"212040_at",27
"212043_at",27
"221087_s_at",28
"208817_at",28
"208818_s_at",28
"213981_at",28
"216204_at",28
"207769_s_at",29
"210499_s_at",29
"214527_s_at",29
"202253_s_at",29
"216024_at",29
"200094_s_at",30
"204102_s_at",30
"209026_x_at",30
"211714_x_at",30
"212320_at",30
"200883_at",31
"212600_s_at",31
"204083_s_at",31
"212654_at",31
"203396_at",32
"205377_s_at",32
"205378_s_at",32
"210332_at",32
"211570_s_at",33
"205377_s_at",33
"205378_s_at",33
"210332_at",33
"205377_s_at",34
"205378_s_at",34
"210332_at",34
"206522_at",34
"207745_at",35
"205428_s_at",35
"220414_at",35
"208928_at",35
"205713_s_at",36
"202330_s_at",36
"201851_at",36
"200796_s_at",36
"200797_s_at",36
"200798_x_at",36
"214056_at",36
"214057_at",36
"202621_at",37
"208436_s_at",37
"220909_at",37
"208894_at",37
"210982_s_at",37
"210514_x_at",37
"211528_x_at",37
"211529_x_at",37
"211530_x_at",37
"203275_at",37
"202621_at",38
"208436_s_at",38
"204910_s_at",38
"208894_at",38
"210982_s_at",38
"203275_at",38
"210514_x_at",38
"211528_x_at",38
"211529_x_at",38
"211530_x_at",38
"202621_at",39
"208436_s_at",39
"204911_s_at",39
"208894_at",39
"210982_s_at",39
"203275_at",39
"210514_x_at",39
"211528_x_at",39
"211529_x_at",39
"211530_x_at",39
"202621_at",40
"208436_s_at",40
"213884_s_at",40
"208894_at",40
"210982_s_at",40
"203275_at",40
"210514_x_at",40
"211528_x_at",40
"211529_x_at",40
"211530_x_at",40
"202621_at",41
"208436_s_at",41
"213885_at",41
"208894_at",41
"210982_s_at",41
"203275_at",41
"210514_x_at",41
"211528_x_at",41
"211529_x_at",41
"211530_x_at",41
"218076_s_at",42
"203838_s_at",42
"203839_s_at",42
"216439_at",42
"201954_at",43
"201114_x_at",43
"216088_s_at",43
"217817_at",43
"217818_s_at",43
"200057_s_at",44
"208698_s_at",44
"210470_x_at",44
"203663_s_at",44
"200094_s_at",45
"204102_s_at",45
"221789_x_at",45
"222131_x_at",45
"65770_at",45
"221798_x_at",45
"206380_s_at",46
"206629_at",46
"220208_at",46
"203691_at",47
"41469_at",47
"211431_s_at",47
"211432_s_at",47
"201851_at",47
"221021_s_at",47
"202336_s_at",48
"212958_x_at",48
"214620_x_at",48
"204855_at",48
"200974_at",49
"215787_at",49
"200645_at",49
"203872_at",49
"200019_s_at",49
"212315_s_at",50
"212316_at",50
"213945_s_at",50
"213947_s_at",50
"220035_at",50
"205096_at",50
"200063_s_at",50
"221691_x_at",50
"221923_s_at",50
"204647_at",51
"215489_x_at",51
"222222_s_at",51
"209830_s_at",51
"201541_s_at",52
"208103_s_at",52
"221505_at",52
"207168_s_at",52
"214500_at",52
"214501_s_at",52
"1316_at",53
"204100_at",53
"214883_at",53
"35846_at",53
"220566_at",53
"206793_at",54
"208817_at",54
"208818_s_at",54
"213981_at",54
"216204_at",54
"208291_s_at",54
"206450_at",54
"200737_at",55
"200738_s_at",55
"217356_s_at",55
"217383_at",55
"209201_x_at",55
"211919_s_at",55
"217028_at",55
"200063_s_at",56
"221691_x_at",56
"221923_s_at",56
"201429_s_at",56
"213459_at",56
"214041_x_at",56
"200074_s_at",56
"213588_x_at",56
"219138_at",56
"200010_at",56
"205312_at",57
"208991_at",57
"208992_s_at",57
"207163_s_at",57
"203828_s_at",57
"207113_s_at",57
"209381_x_at",58
"37462_i_at",58
"201935_s_at",58
"201936_s_at",58
"203849_s_at",59
"203850_s_at",59
"215497_s_at",59
"216036_x_at",59
"40829_at",59
"207163_s_at",60
"212983_at",60
"201040_at",60
"215996_at",60
"200924_s_at",60
"200796_s_at",61
"200797_s_at",61
"200798_x_at",61
"214056_at",61
"214057_at",61
"208674_x_at",61
"208675_s_at",61
"218481_at",62
"212627_s_at",62
"213648_at",62
"212101_at",62
"212102_s_at",62
"212103_at",62
"200010_at",62
"201693_s_at",63
"201694_s_at",63
"201841_s_at",63
"208991_at",63
"208992_s_at",63
"207163_s_at",63
"200782_at",63
"201763_s_at",63
"216038_x_at",63
"207113_s_at",63
"200967_at",64
