"node","cluster"
"OR4C46",1
"OR1M1",1
"OR5A2",1
"WNT3",2
"WNT10B",2
"WNT11",2
"HMGN2",3
"RPL4",3
"RPL7",3
"RPL8",3
"RPLP0",3
"RPLP2",3
"RPS2",3
"TRAF5",4
"TNFSF13",4
"TNFRSF13B",4
"EIF5A",5
"MARS",5
"PCBP1",5
"GSPT2",5
"PCBP3",5
"NPM1",6
"RPL4",6
"RPL7",6
"RPLP0",6
"RPS2",6
"DYRK2",6
"CEBPA",7
"DBP",7
"BATF",7
"EIF5A",8
"GNB1",8
"MARS",8
"RPN1",8
"AGPAT1",8
"TUBB",8
"P2RY11",9
"POM121",9
"MYBBP1A",9
"PPAN",9
"TUBB",9
"PCBP1",10
"HDAC3",10
"MYBBP1A",10
"DHX30",10
"CPSF1",10
"DDOST",11
"EIF5A",11
"SURF4",11
"ORMDL3",11
"DDOST",12
"MARS",12
"NONO",12
"PCBP1",12
"RPL4",12
"RPL7",12
"RPS9",12
"MYBBP1A",12
"WDR6",12
"TIMM13",12
"CPSF1",12
"FTSJ3",12
"CKS1B",13
"CSNK2B",13
"EEF1G",13
"NONO",13
"PCBP1",13
"PCBP2",13
"PSMC4",13
"RPL4",13
"RPLP2",13
"RPS9",13
"MTA2",13
"CPSF1",13
"MUS81",13
"FTSJ3",13
"TSEN54",13
"CKS1B",14
"EEF1G",14
"EEF2",14
"EIF5A",14
"FRG1",14
"GTF2H4",14
"NPM1",14
"P2RY11",14
"PPIB",14
"PSMB4",14
"RPL4",14
"RPL7",14
"RPL8",14
"RPL11",14
"RPL18",14
"RPL37A",14
"RPLP0",14
"RPLP2",14
"RPS2",14
"RPS23",14
"MYBBP1A",14
"NUDC",14
"RPL35",14
"CPSF1",14
"PPAN",14
"EXOSC5",14
"XAB2",14
"LSM2",14
"MUS81",14
"FTSJ3",14
"ADAR",15
"EGR1",15
"NONO",15
"NPM1",15
"PCBP1",15
"PSMB4",15
"RPL11",15
"RPS2",15
"RPL35",15
"CKS1B",16
"DDOST",16
"PCBP1",16
"PSMA4",16
"PSMB4",16
"PSMC4",16
"RPLP2",16
"SH3GL1",16
"SURF4",16
"ARPC1B",16
"PLSCR3",16
"PDCL3",16
"MUS81",16
"ARF1",17
"EIF4A2",17
"GNB1",17
"PSMA4",17
"PSMA7",17
"PSMB4",17
"PSMC4",17
"STK24",17
"TIMM13",17
"CAB39",17
"SMAP1",17
"CSNK2B",18
"EEF2",18
"EIF5A",18
"GNAI2",18
"GNB2",18
"MARS",18
"NONO",18
"PCBP1",18
"PSMA4",18
"PSMA7",18
"PSMB4",18
"PSMC4",18
"RPL4",18
"RPL7",18
"RPL11",18
"RPL30",18
"RPL32",18
"RPLP0",18
"RPLP2",18
"RPN1",18
"RPS2",18
"RPL14",18
"ARPC5",18
"ARPC1B",18
"HARS2",18
"RPL13A",18
"GSPT2",18
"PYCR2",18
"LSM2",18
"PDCL3",18
"MUS81",18
"FTSJ3",18
"TUBB",18
"CKS1B",19
"CSNK2B",19
"DDOST",19
"EEF2",19
"EIF4A2",19
"EIF5A",19
"GNL1",19
"GTF2H4",19
"KIFC1",19
"MARS",19
"NONO",19
"NPM1",19
"P2RY11",19
"PCBP1",19
