"node","cluster"
"OR4C46",1
"OR1M1",1
"OR5A2",1
"WNT3",2
"WNT10B",2
"WNT11",2
"HMGN2",3
"RPL4",3
"RPL7",3
"RPL8",3
"RPLP0",3
"RPLP2",3
"RPS2",3
"EIF5A",4
"MARS",4
"PCBP1",4
"GSPT2",4
"PCBP3",4
"NPM1",5
"RPL4",5
"RPL7",5
"RPLP0",5
"RPS2",5
"DYRK2",5
"CKS1B",6
"DDOST",6
"PCBP1",6
"PSMA4",6
"PSMB4",6
"PSMC4",6
"RPLP2",6
"PLSCR3",6
"PDCL3",6
"MUS81",6
"PCBP1",7
"HDAC3",7
"MYBBP1A",7
"DHX30",7
"CPSF1",7
"CEBPA",8
"DBP",8
"BATF",8
"DDOST",9
"MARS",9
"NONO",9
"PCBP1",9
"RPL4",9
"RPL7",9
"RPS9",9
"MYBBP1A",9
"WDR6",9
"TIMM13",9
"CPSF1",9
"FTSJ3",9
"P2RY11",10
"POM121",10
"MYBBP1A",10
"PPAN",10
"TUBB",10
"CKS1B",11
"PSMA4",11
"ZNF35",11
"ZNF598",11
"CKS1B",12
"CSNK2B",12
"EEF1G",12
"NONO",12
"PCBP1",12
"PCBP2",12
"PSMC4",12
"RPL4",12
"RPLP2",12
"RPS9",12
"MTA2",12
"CPSF1",12
"MUS81",12
"FTSJ3",12
"TSEN54",12
"EIF5A",13
"GNB1",13
"MARS",13
"RPN1",13
"AGPAT1",13
"TUBB",13
"ADAR",14
"EGR1",14
"NONO",14
"NPM1",14
"PCBP1",14
"PSMB4",14
"RPL11",14
"RPS2",14
"RPL35",14
"CSNK2B",15
"DDOST",15
"EIF5A",15
"PPP2R5A",15
"PSMA4",15
"PSMA7",15
"PSMC4",15
"RPL7",15
"RPLP2",15
"SET",15
"EIF4G3",15
"CSNK2B",16
"DDOST",16
"EEF2",16
"EIF4A2",16
"GNB1",16
"MARS",16
"NONO",16
"NPM1",16
"PCBP1",16
"PCBP2",16
"POLR2L",16
"PSMA4",16
"PSMC4",16
"RPL4",16
"RPL7",16
"RPL8",16
"RPL11",16
"RPL18",16
"RPL27A",16
"RPL32",16
"RPLP0",16
"RPLP2",16
"RPS2",16
"RPS9",16
"EIF4G3",16
"RPL14",16
"PRMT5",16
"RPL35",16
"RPL13A",16
"GSPT2",16
"PYCR2",16
"PPAN",16
"THOC2",16
"LSM2",16
"MUS81",16
"ZNF598",16
"FTSJ3",16
"ASNA1",17
"CKS1B",17
"CSNK2B",17
"DDOST",17
"EEF1G",17
"EEF2",17
"EIF4A2",17
"EIF5A",17
"GTF2H4",17
"HINT1",17
"KIFC1",17
"MARS",17
"NONO",17
"NPM1",17
"P2RY11",17
"PCBP1",17
"PCBP2",17
"PLK1",17
"POLR2L",17
"PSMA4",17
"PSMA7",17
"PSMC4",17
"RPL4",17
"RPL7",17
"RPL10",17
"RPL11",17
"RPL15",17
"RPL18",17
"RPL30",17
"RPL27A",17
"RPL32",17
"RPL37",17
"RPLP0",17
"RPLP2",17
"RPN1",17
"RPS2",17
"RPS9",17
"RPS23",17
"RRM2",17
"HIST1H2AC",17
"RPL14",17
"PRMT5",17
"MYBBP1A",17
"TUBGCP2",17
"HARS2",17
"RPL13A",17
