"node","cluster"
"WNT3",1
"WNT10B",1
"WNT11",1
"CEBPA",2
"DBP",2
"BATF",2
"DDOST",3
"PSMC4",3
"RPLP2",3
"RFXANK",3
"RBM10",4
"POM121",4
"MYBBP1A",4
"PPAN",4
"TUBB",4
"DDOST",5
"RPL4",5
"RPL8",5
"RPL11",5
"RPS2",5
"RPS9",5
"RPL35",5
"RPL13A",5
"RNF149",5
"CKS1B",6
"PSMA4",6
"ZNF35",6
"ZNF598",6
"FAU",7
"MSN",7
"NONO",7
"PCBP1",7
"PPIB",7
"PSMA4",7
"PSMA7",7
"PSMC4",7
"RPL4",7
"RPL7",7
"RPL8",7
"RPLP0",7
"RPLP2",7
"RPS2",7
"RPS9",7
"RPS23",7
"RRM2",7
"STK24",7
"RPL14",7
"RPL35",7
"TUBB",7
"ASNA1",8
"EEF2",8
"EIF5A",8
"MDH2",8
"PCBP1",8
"PPIB",8
"RPS2",8
"RPS9",8
"ISYNA1",8
"HLA-DMA",9
"HLA-DQA2",9
"HLA-DRB1",9
"HLA-G",9
"SET",10
"TAF1C",10
"MTA1",10
"MTA2",10
"BID",11
"CSNK1E",11
"CSNK2B",11
"MSN",11
"BAD",12
"BID",12
"MCL1",12
"HRK",12
"BBC3",12
"CKS1B",13
"DDOST",13
"POLR2L",13
"PPIB",13
"RPL4",13
"SET",13
"SMARCD3",13
"KHSRP",13
"HDAC3",13
"MYBBP1A",13
"SIN3B",13
"PAF1",13
"MUS81",13
"KLHDC3",13
"GRM4",14
"NPY",14
"CXCR4",14
"RGS14",14
"NPW",14
"EIF5A",15
"GNB1",15
"MARS",15
"RPN1",15
"AGPAT1",15
"TUBB",15
"AKT1",16
"CSNK2B",16
"DDOST",16
"EIF5A",16
"PPP2R5A",16
"PSMA4",16
"PSMA7",16
"PSMC4",16
"RPL7",16
"RPLP2",16
"SET",16
"EIF4G3",16
"PPIB",17
"UQCRC2",17
"MRPL16",17
"QRSL1",17
"GNB1",18
"GNB2",18
"HINT1",18
"POLR2L",18
"PSMA4",18
"PSMA7",18
"PSMB4",18
"SURF4",18
"TBCA",18
"LSM7",18
"LSM2",18
"UBL5",18
"POLR2J2",18
"DDOST",19
"EIF5A",19
"EMD",19
"MYL6",19
"HDAC3",19
"MTA1",19
"RPL35",19
"SEC61A1",19
"LSM2",19
"TUBB",19
"KIFC1",20
"MARS",20
"PSMA4",20
"PSMB4",20
"RPL8",20
"RPL36AL",20
"NUBP2",20
"NUDC",20
"TIMM13",20
"UBE2R2",20
"MRPL16",20
"CSK",21
"HCK",21
"LIMK2",21
"SRMS",21
"STK11",21
"TYRO3",21
"RIPK1",21
"PIM2",21
"ILKAP",21
"ASNA1",22
"DDOST",22
"EEF2",22
"NDUFV1",22
"PCBP1",22
"PSMA4",22
"RPL4",22
"RPL18",22
"RPLP0",22
"RPLP2",22
"CLPP",22
