"node","cluster"
"HMGN2",1
"RPL4",1
"RPL7",1
"RPL8",1
"RPLP0",1
"RPLP2",1
"RPS2",1
"OR4C46",2
"OR1M1",2
"OR5A2",2
"WNT3",3
"WNT10B",3
"WNT11",3
"NPM1",4
"RPL4",4
"RPL7",4
"RPLP0",4
"RPS2",4
"DYRK2",4
"EIF5A",5
"MARS",5
"PCBP1",5
"GSPT2",5
"PCBP3",5
"ADAR",6
"NONO",6
"NPM1",6
"PCBP1",6
"PSMB4",6
"RPL11",6
"RPS2",6
"RPL35",6
"PCBP1",7
"HDAC3",7
"MYBBP1A",7
"DHX30",7
"CPSF1",7
"DDOST",8
"MARS",8
"NONO",8
"PCBP1",8
"RPL4",8
"RPL7",8
"RPS9",8
"MYBBP1A",8
"WDR6",8
"TIMM13",8
"CPSF1",8
"FTSJ3",8
"P2RY11",9
"POM121",9
"MYBBP1A",9
"PPAN",9
"TUBB",9
"TRAF5",10
"TNFSF13",10
"TNFRSF13B",10
"EIF5A",11
"GNB1",11
"MARS",11
"RPN1",11
"AGPAT1",11
"TUBB",11
"COMT",12
"CSNK2B",12
"HINT1",12
"MDH2",12
"ASNA1",13
"GTF2H4",13
"PCBP1",13
"PSMC4",13
"RPLP2",13
"USP5",13
"CSNK2B",14
"DDOST",14
"EIF5A",14
"PPP2R5A",14
"PSMA4",14
"PSMA7",14
"PSMC4",14
"RPL7",14
"RPLP2",14
"SET",14
"EIF4G3",14
"ALAS2",15
"MDH2",15
"NDUFV1",15
"FIS1",15
"ADCY1",16
"FSHR",16
"HTR4",16
"SCTR",16
"ADM2",16
"ASNA1",17
"CKS1B",17
"CSNK2B",17
"DDOST",17
"EEF2",17
"EIF4A2",17
"EIF5A",17
"GTF2H4",17
"KIFC1",17
"MARS",17
"NONO",17
"NPM1",17
"P2RY11",17
"PCBP1",17
"PCBP2",17
"PLK1",17
"POLR2L",17
"PSMA4",17
"PSMA7",17
"PSMC4",17
"RPL4",17
"RPL7",17
"RPL10",17
"RPL11",17
"RPL15",17
"RPL18",17
"RPL30",17
"RPL27A",17
"RPL32",17
"RPL37",17
"RPLP0",17
"RPLP2",17
"RPN1",17
"RPS2",17
"RPS9",17
"RPS23",17
"RRM2",17
"RPL14",17
"PRMT5",17
"MYBBP1A",17
"TUBGCP2",17
"HARS2",17
"RPL13A",17
"GSPT2",17
"TIMM13",17
"ANAPC2",17
"CPSF1",17
"PYCR2",17
"EXOSC3",17
"DPH5",17
"PAF1",17
"PRMT8",17
"EXOSC5",17
"XAB2",17
"LSM2",17
"MRPL17",17
"CHTF18",17
"MUS81",17
"FTSJ3",17
"TRAPPC5",17
"TUBB",17
"CEBPA",18
"DBP",18
"BATF",18
"ASNA1",19
"EEF2",19
"EIF5A",19
"MDH2",19
"PCBP1",19
"PPIB",19
"RPS2",19
"RPS9",19
"ISYNA1",19
"MARS",20
"MDH2",20
"NPM1",20
"PSMA4",20
"PSMA7",20
"RPL4",20
"RPL7",20
"RPL8",20
"RPL27A",20
"SET",20
"HDAC3",20
"RPL14",20
"PRMT5",20
"RPL35",20
"PDAP1",20
"TIMM13",20
"CSNK2B",21
"DDOST",21
"EEF2",21
"EIF4A2",21
"EIF5A",21
"GNL1",21
"KIFC1",21
"MARS",21
"P2RY11",21
"PLK1",21
"PPIB",21
"PSMA4",21
"RANGAP1",21
"RPL7",21
"RPL11",21
"RPL15",21
"RPL27A",21
"RPL37A",21
"RPS9",21
"RRM2",21
"HDAC3",21
"RPL14",21
"ARPC1B",21
"MYBBP1A",21
"HARS2",21
"RPL13A",21
"TIMM13",21
"PPAN",21
"TUBB",21
"PPIB",22
"UQCRC2",22
"MRPL16",22
"QRSL1",22
"ECHS1",23
"PSMA4",23
"PSMA7",23
"UBE2V1",23
"DDOST",24
"PPIB",24
"RPN1",24
"OS9",24
"NUP210",24
"SEC61A1",24
"CKS1B",25
"DDOST",25
"EEF2",25
"EIF4A2",25
"GNL1",25
"MARS",25
"P2RY11",25
"PLK1",25
"PSMA4",25
"RPL4",25
"SURF4",25
"EIF4G3",25
"KPNA6",25
"GSPT2",25
"PYCR2",25
"EXOSC3",25
"PPAN",25
"EXOSC5",25
"THOC2",25
"PDCL3",25
"MUS81",25
"ADCY1",26
"GRM4",26
"NPY",26
"CXCR4",26
"RGS14",26
"NPW",26
"DDOST",27
"ECHS1",27
"EEF2",27
"EIF4A2",27
"EIF5A",27
"GNAI2",27
"GNB1",27
"GNB2",27
"MDH2",27
"NDUFV1",27
"NONO",27
"PCBP1",27
"PGK1",27
"PSMA4",27
"PSMA7",27
"PSMB4",27
"PSMC4",27
"RPL4",27
"RPL7",27
"RPL8",27
"RPL10",27
"RPL11",27
"RPL15",27
"RPL30",27
"RPL27A",27
"RPL32",27
"RPLP0",27
"RPLP2",27
"RPN1",27
"RPS2",27
"RPS9",27
"RPS23",27
"UQCRC2",27
"RPL14",27
"COX5A",27
"RPL35",27
"HARS2",27
"RPL13A",27
"PYCR2",27
"MRPL16",27
"PPAN",27
"TRAPPC5",27
"TUBB",27
"CKS1B",28
"EEF2",28
"EIF4A2",28
"P2RY11",28
"POLR2L",28
"PSMA4",28
"RPL4",28
"RPL7",28
"RPL8",28
"RPL10",28
"RPL11",28
"RPL15",28
"RPL18",28
"RPL30",28
"RPL27A",28
"RPL32",28
"RPL37",28
"RPL37A",28
"RPLP0",28
"RPLP2",28
"RPS2",28
"RPS9",28
"RPS23",28
"HIST1H2AC",28
"HDAC3",28
"RPL14",28
"PRMT5",28
"RPL35",28
"RPL13A",28
"PRMT8",28
"PPAN",28
"LSM2",28
"MRPL17",28
"HIST1H2AA",28
"MYBBP1A",28
"GSPT2",28
"CPSF1",28
"XAB2",28
"TUBB",28
"CKS1B",29
"RPS2",29
"DNAJC9",29
"ANP32E",29
"CKS1B",30
"CSNK2B",30
"DDOST",30
"EEF2",30
"EIF5A",30
"GNB1",30
"GNB2",30
"GTF2H4",30
"KIFC1",30
"P2RY11",30
"PCBP1",30
"PCBP2",30
"PSMA4",30
"PSMA7",30
"RAB5B",30
