"node","cluster"
"HMGN2",1
"RPL4",1
"RPL7",1
"RPL8",1
"RPLP0",1
"RPLP2",1
"RPS2",1
"RPL4",2
"RPL7",2
"RPL8",2
"RPL11",2
"RPL15",2
"RPL30",2
"RPL27A",2
"RPL32",2
"RPL37",2
"RPL37A",2
"RPL41",2
"RPLP0",2
"RPLP2",2
"RPS2",2
"RPS23",2
"RPL14",2
"RPL35",2
"SMG6",2
"RPL13A",2
"NPM1",3
"RPL4",3
"RPL7",3
"RPLP0",3
"RPS2",3
"DYRK2",3
"DDOST",4
"PSMC4",4
"RPLP2",4
"RFXANK",4
"ADAR",5
"NONO",5
"NPM1",5
"PCBP1",5
"PSMB4",5
"RPL11",5
"RPS2",5
"RPL35",5
"DDOST",6
"RPL4",6
"RPL8",6
"RPL11",6
"RPS2",6
"RPS9",6
"RPL35",6
"RPL13A",6
"RNF149",6
"EIF5A",7
"GNB1",7
"MARS",7
"RPN1",7
"AGPAT1",7
"TUBB",7
"DDOST",8
"PSMA4",8
"PPAN",8
"SMYD3",8
"MUS81",8
"EIF5A",9
"MARS",9
"PCBP1",9
"GSPT2",9
"PCBP3",9
"DDOST",10
"MARS",10
"NONO",10
"PCBP1",10
"RPL4",10
"RPL7",10
"RPS9",10
"MYBBP1A",10
"WDR6",10
"TIMM13",10
"CPSF1",10
"FTSJ3",10
"PCBP1",11
"HDAC3",11
"MYBBP1A",11
"DHX30",11
"CPSF1",11
"ASNA1",12
"GTF2H4",12
"PCBP1",12
"PSMC4",12
"RPLP2",12
"USP5",12
"COMT",13
"CSNK2B",13
"HINT1",13
"MDH2",13
"ASNA1",14
"EEF2",14
"EIF5A",14
"MDH2",14
"PCBP1",14
"PPIB",14
"RPS2",14
"RPS9",14
"ISYNA1",14
"ASNA1",15
"DDOST",15
"EEF2",15
"MARS",15
"NDUFV1",15
"PCBP1",15
"PSMA4",15
"RPL4",15
"RPL18",15
"RPLP0",15
"RPLP2",15
"CLPP",15
"COX5A",15
"NUDC",15
"RPL35",15
"HSPBP1",15
"TIMM13",15
"TUBB",15
"CKS1B",16
"RPS2",16
"DNAJC9",16
"ANP32E",16
"CEBPA",17
"DBP",17
"BATF",17
"CRK",18
"GP9",18
"ITGA2B",18
"VWF",18
"OR4C46",19
"OR1M1",19
"OR6N1",19
"OR5A2",19
"WNT3",20
"WNT10B",20
"WNT11",20
"CSNK2B",21
"DDOST",21
"EEF2",21
"EIF4A2",21
"EIF5A",21
"KIFC1",21
"MARS",21
"PLK1",21
"PPIB",21
"PSMA4",21
"RANGAP1",21
"RPL7",21
"RPL11",21
"RPL15",21
"RPL27A",21
"RPL37A",21
"RPS9",21
"RRM2",21
"HDAC3",21
"RPL14",21
"ARPC1B",21
"MYBBP1A",21
"NUDC",21
"DNAJC9",21
"HARS2",21
"RPL13A",21
"TIMM13",21
"PPAN",21
"TUBB",21
"PPIB",22
"UQCRC2",22
"MRPL16",22
"QRSL1",22
"DDOST",23
"EIF5A",23
"EMD",23
"MYL6",23
"HDAC3",23
"MTA1",23
"RPL35",23
"SEC61A1",23
"LSM2",23
"TUBB",23
"ASNA1",24
"CKS1B",24
"CSNK2B",24
"DDOST",24
"EEF1G",24
"EEF2",24
"EIF4A2",24
"EIF5A",24
"GTF2H4",24
"HINT1",24
"KIFC1",24
"MARS",24
"NONO",24
"NPM1",24
"P2RY11",24
"PCBP1",24
"PCBP2",24
"PFDN2",24
"PLK1",24
"POLR2L",24
"PSMA4",24
"PSMA7",24
"PSMC4",24
"RANGAP1",24
"RPL4",24
"RPL7",24
"RPL10",24
"RPL11",24
"RPL15",24
"RPL18",24
"RPL30",24
"RPL27A",24
"RPL32",24
"RPL37",24
"RPLP0",24
"RPLP2",24
"RPN1",24
"RPS2",24
"RPS9",24
"RPS23",24
"RRM2",24
"TBCA",24
"HIST1H2AC",24
"RPL14",24
"PRMT5",24
"MYBBP1A",24
"TUBGCP2",24
"HARS2",24
"RPL13A",24
"GSPT2",24
"TIMM13",24
"ANAPC2",24
"CPSF1",24
"PYCR2",24
"EXOSC3",24
"DPH5",24
"PAF1",24
"PRMT8",24
"EXOSC5",24
"XAB2",24
"LSM2",24
"MRPL17",24
"CHTF18",24
"MUS81",24
"FTSJ3",24
"TRAPPC5",24
"TUBB",24
"POLR2J2",24
"CKS1B",25
"DDOST",25
"PCBP1",25
"PSMA4",25
"PSMB4",25
"PSMC4",25
"RPLP2",25
"SH3GL1",25
"SURF4",25
"ARPC1B",25
"PLSCR3",25
"PDCL3",25
"MUS81",25
"CSNK2B",26
"EIF5A",26
"GTF2H4",26
"NDUFB7",26
"NDUFB10",26
"PFDN2",26
"PPIB",26
"PSMA4",26
"PSMA7",26
"PSMB4",26
"ZNHIT1",26
"TIMM13",26
"VPS28",26
"MYL2",27
"MYL3",27
"TNNI1",27
"TNNI2",27
"TNNT2",27
"TNNT3",27
"TPM2",27
"TCAP",27
"ACTA1",28
"ACTA2",28
"DYNC1H1",28
"EEF2",28
"GNB2",28
"KIFC1",28
"PGK1",28
"RANGAP1",28
"RPL4",28
"RPL7",28
"RPL8",28
"RPL27A",28
"RPLP0",28
"RPN1",28
"TUBGCP2",28
"RPL35",28
"HARS2",28
"PYCR2",28
"PDCL3",28
"TUBB",28
"TUBB2B",28
"ASNA1",29
"DYNC1H1",29
"EEF2",29
"EIF5A",29
"GNB2",29
"IDH2",29
"MYL6",29
"PPIB",29
"PSMA4",29
"PSMA7",29
"PSMC4",29
"RPL8",29
"RPL15",29
"RPL18",29
"RPL32",29
"RPL37A",29
"RPLP0",29
"RPLP2",29
"RPS2",29
"RPS23",29
"SH3GL1",29
"RPL14",29
"ATP6V1F",29
"COX5A",29
"ARPC5",29
"NUDC",29
"RPL35",29
"GABARAP",29
"SEC61A1",29
"FIS1",29
"VPS28",29
"UBE2R2",29
"TUBB",29
"DYNC1H1",30
"EEF2",30
"EIF4A2",30
"EIF5A",30
"GNB2",30
"GNL1",30
"P2RY11",30
"RANGAP1",30
"RPL4",30
"RPL7",30
"RPL10",30
"RPL11",30
"RPL15",30
