"node","cluster"
"CEBPA",1
"DBP",1
"BATF",1
"RPL32",2
"RPL37A",2
"PSTPIP1",2
"ARPC1B",2
"RPL35",2
"TUBB",2
"RBM10",3
"POM121",3
"MYBBP1A",3
"PPAN",3
"TUBB",3
"DDOST",4
"EIF5A",4
"SURF4",4
"ORMDL3",4
"EIF5A",5
"GNB1",5
"MARS",5
"RPN1",5
"AGPAT1",5
"TUBB",5
"HLA-DMA",6
"HLA-DQA2",6
"HLA-DRB1",6
"HLA-G",6
"DDOST",7
"PPIB",7
"RPN1",7
"OS9",7
"SEC61A1",7
"DDOST",8
"PSMC4",8
"RPLP2",8
"RFXANK",8
"PSMC4",9
"RPL4",9
"RPL8",9
"RPLP2",9
"HARS2",9
"GSPT2",9
"KLHDC4",9
"PPAN",9
"MUS81",9
"FTSJ3",9
"TRAPPC5",9
"DDOST",10
"RPL4",10
"RPL8",10
"RPL11",10
"RPS2",10
"RPS9",10
"RPL35",10
"RPL13A",10
"RNF149",10
"ASNA1",11
"EEF2",11
"EIF5A",11
"MDH2",11
"PCBP1",11
"PPIB",11
"RPS2",11
"RPS9",11
"ISYNA1",11
"AKT1",12
"HRAS",12
"ITGA2B",12
"ITGB4",12
"ASL",13
"DDOST",13
"GLUD2",13
"GNB2",13
"PPIB",13
"RPL4",13
"RPLP2",13
"DDOST",14
"EIF5A",14
"EMD",14
"MYL6",14
"HDAC3",14
"MTA1",14
"RPL35",14
"SEC61A1",14
"LSM2",14
"TUBB",14
"AKT1",15
"EEF2",15
"EIF4A2",15
"EIF4EBP1",15
"RPLP0",15
"TSC2",15
"PPIB",16
"UQCRC2",16
"MRPL16",16
"QRSL1",16
"DDOST",17
"GNAI2",17
"GYS1",17
"PPIB",17
"PSMA4",17
"PSMA7",17
"PSMB4",17
"PSMC4",17
"RPL11",17
"RPN1",17
"RRM2",17
"UGP2",17
"MUS81",17
"SLC44A4",17
"GRM4",18
"NPY",18
"CXCR4",18
"RGS14",18
"NPW",18
"AKT1",19
"CSK",19
"DYNC1H1",19
"EEF2",19
"FLII",19
"GNAI2",19
"HSPB1",19
"RPL7",19
"RPLP2",19
"RPS9",19
"HDAC3",19
"ARPC1B",19
"MYBBP1A",19
"NUDC",19
"ADCY1",20
"FSHR",20
"HTR4",20
"SCTR",20
"ADM2",20
"GNB1",21
"GNB2",21
"HINT1",21
"POLR2L",21
"PSMA4",21
"PSMA7",21
"PSMB4",21
"SURF4",21
"TBCA",21
"TIMM13",21
"LSM7",21
"ARHGAP17",21
"LSM2",21
"UBL5",21
"POLR2J2",21
"ALAS2",22
"HBD",22
"HBE1",22
"HBQ1",22
"HBZ",22
"CYGB",22
"ACTA1",23
"ASNA1",23
"EEF1G",23
"EIF4A2",23
"EIF5A",23
"NDUFV1",23
"PFDN1",23
"PFDN2",23
"PSMA4",23
"RPL4",23
"RPL7",23
"RPL11",23
"RPL15",23
"RPL18",23
"RPL27A",23
"RPL32",23
"RPL36AL",23
"RPL37",23
"RPLP0",23
"RPLP2",23
"RPS23",23
"SH3GL1",23
"RPL14",23
"PRMT5",23
"RPL35",23
"TIMM13",23
"LSM2",23
"MRPS24",23
"CHCHD4",23
"TUBB2B",23
"PGK1",23
"POLR2L",23
"PSMA7",23
"PSMB4",23
"PSMC4",23
"RPS9",23
"TBCA",23
"GSPT2",23
"PAF1",23
"PPAN",23
"TUBB",23
"DYNC1H1",24
"EIF5A",24
"GNB1",24
"IDH2",24
"MDH2",24
"PEPD",24
"PPIB",24
"RPLP2",24
"SCLY",24
"PSMA4",24
"PSMC4",24
"RPLP0",24
"RPS9",24
"GSPT2",24
"TIMM13",24
"ARHGAP17",24
"CNDP2",24
"AKT1",25
"BAD",25
"BID",25
"MCL1",25
"HRK",25
"BBC3",25
"STAT3",25
"STAT5A",25
"ECHS1",26
"EEF2",26
"PGK1",26
"COX5A",26
"NUDC",26
"WDTC1",26
"TRPC4AP",26
"DDA1",26
"ANXA5",27
"PPIB",27
"SH3GL1",27
"CRTAP",27
"EEF2",27
"MSN",27
"PGK1",27
"SH3GLB2",27
"NFKBIB",28
"S100A8",28
"S100A12",28
"S100A14",28
"ACTA2",29
"KLF6",29
"SRF",29
"PGK1",29
"RPLP2",29
"ARPC5",29
"ARPC1B",29
"DAXX",30
"HRAS",30
"TP73",30
"PIAS1",30
"TNK2",30
"ASNA1",31
"CKS1B",31
"CSNK2B",31
"DDOST",31
"EEF1G",31
"EEF2",31
"EIF4A2",31
"EIF5A",31
"GNL1",31
"GTF2H4",31
"HINT1",31
"KIFC1",31
"MARS",31
"NONO",31
"NPM1",31
"P2RY11",31
"PCBP1",31
"PCBP2",31
"PFDN2",31
"PLK1",31
"POLR2L",31
"PSMA4",31
"PSMA7",31
"PSMC4",31
"RANGAP1",31
"RPL4",31
"RPL7",31
"RPL10",31
"RPL11",31
"RPL15",31
"RPL18",31
"RPL30",31
"RPL27A",31
"RPL32",31
"RPL37",31
"RPLP0",31
"RPLP2",31
"RPN1",31
"RPS2",31
"RPS9",31
"RPS23",31
"RRM2",31
"SH3GL1",31
"TBCA",31
"HIST1H2AC",31
"RPL14",31
"POM121",31
"PRMT5",31
"MYBBP1A",31
"TUBGCP2",31
"HARS2",31
"RPL13A",31
"KPNA6",31
"GSPT2",31
"TIMM13",31
"ANAPC2",31
"CPSF1",31
