"node","cluster"
"OR1E1",1
"OR1J2",1
"OR5C1",1
"RAC3",2
"PLEKHG5",2
"ARHGAP10",2
"DYNC1I1",3
"SPTBN2",3
"RILP",3
"ABCA4",9999
"ABCB11",9999
"ACADS",9999
"ADSSL1",9999
"ALAS2",9999
"ARRB1",9999
"B3GNT7",9999
"BCS1L",9999
"CBL",9999
"CD79B",9999
"CDC34",9999
"CDT1",9999
"CHRM1",9999
"CLEC1B",9999
"DERL3",9999
"DGCR8",9999
"F2RL3",9999
"FBXL2",9999
"GNMT",9999
"HBD",9999
"HIST1H2AK",9999
"HIST1H2BN",9999
"IDH3B",9999
"IRAK2",9999
"LAMB2",9999
"LDLR",9999
"MAP3K14",9999
"MYO1A",9999
"NRBP1",9999
"PELI3",9999
"POU2F1",9999
"PYCR1",9999
"SAMM50",9999
"SERINC5",9999
"SLC35D2",9999
"SNX17",9999
"SP1",9999
"SPTBN4",9999
"SUPT5H",9999
"TXNRD2",9999
"UCHL1",9999
"VDR",9999
