"node","cluster"
"CHPF",1
"B3GAT3",1
"EXT2",1
"RPS23",2
"RPS9",2
"RPS2",2
"RPS21",2
"CSNK1E",2
"RPL35",3
"RPL30",3
"HINT1",3
"RPLP0",3
"RPS21",3
"RPL11",3
"RPL15",3
"RPL35",4
"RPL8",4
"RPL27A",4
"RPL11",4
"SLC3A2",4
"KRTAP11-1",5
"KRTAP6-2",5
"KRTAP23-1",5
"KRTAP19-6",5
"KRTAP6-3",5
"TXN2",6
"EEF2",6
"SEC61A1",6
"RPL8",6
"IRF3",7
"IRF7",7
"TRIM46",7
"HLA-DRA",7
"HLA-DRB1",7
"IFI30",7
"HLA-DQA2",7
"HLA-G",7
"IRF2",7
"RTN4R",8
"TYRO3",8
"SH3GL1",8
"MCL1",8
"COMP",9
"AMBP",9
"RAB5C",9
"MCL1",9
"NDP",9
"RPL8",10
"MRPL17",10
"MRPL16",10
"RPL4",10
"RPL27A",10
"MRPL21",10
"RPL13A",10
"PSTPIP1",10
"PI3",11
"TYRO3",11
"SH3GL1",11
"CTNNBL1",11
"HRK",12
"BAD",12
"BID",12
"MCL1",12
"BBC3",12
"EXOSC5",13
"EXOSC7",13
"EXOSC3",13
"ZFP36L1",13
"KHSRP",13
"CABP2",14
"CALB2",14
"CALML5",14
"POR",14
"CYBA",15
"HRAS",15
"TNF",15
"VAV1",15
"AKT1",15
"SPI1",16
"STAT3",16
"AKT1",16
"IL32",16
"TNF",16
"ACTA2",17
"ARPC1B",17
"DNM2",17
"ARPC5",17
"ACTA1",17
"ARPC4",17
"TIMM13",18
"CHCHD4",18
"TIMM8A",18
"PSMA4",19
"PSMB4",19
"RPN1",19
"EXOSC5",19
"PSMA7",19
"MRPL17",20
"RPS23",20
"MRPL16",20
"MRPS12",20
"MRPS24",20
"MRPL52",20
"MRPL21",20
"NCK2",21
"ARPC1B",21
"EPHB3",21
"ARPC5",21
"ARPC4",21
"AP2A1",21
"TXN2",22
"CLPP",22
"MDH2",22
"SF3A2",23
"LSM7",23
"RPL37",23
"EEF2",23
"RPS2",23
"RPL35",23
"LSM2",23
"XAB2",23
"MYL2",24
"ACTN4",24
"MYL3",24
"ACTA1",24
"MIB2",24
"MYL6",24
"WNT3",25
"WNT10B",25
"PORCN",25
"WNT11",25
"TCF7",25
"GRN",26
"AKT1",26
"ITGA2B",26
"TNF",26
"EEF2",27
"MDH2",27
"NDUFV1",27
"EEF1G",27
"CHDH",28
"ECHS1",28
"HSD17B1",28
"DHRS7B",28
"PPP3CC",29
"SRF",29
"MEF2D",29
"NFATC4",29
"HDAC3",30
"HIST1H2AC",30
"BCL9L",30
"TCF7",30
"PPP2R5A",31
"HRAS",31
"ARRB2",31
"AKT1",31
"SPI1",32
"DAXX",32
"NPM1",32
"HDAC3",32
"CSF3R",32
"PRAM1",32
"NPM1",33
"RPL37A",33
"RPL14",33
"MYBBP1A",33
"RPL11",33
"RPL4",33
"RPL13A",33
"PDXP",34
"COMP",34
"KCNE1",34
"MICAL1",34
"NES",34
"ECE1",34
"TH",34
"ACTA2",35
"ACTN4",35
"TNNI2",35
"TUBB2B",35
"MYO1A",35
"CALB2",35
"ACTA1",35
"OBSCN",35
"TUBB",35
"CAMK2A",35
"TNNI1",35
"SIX3",36
"ENTPD2",36
"WDTC1",36
"PIAS1",37
"UBE2R2",37
"RNF149",37
"OS9",37
"SPI1",38
"EGR1",38
"GGT1",38
"STAT3",38
"SRF",38
"AKT1",38
"ANXA5",38
"HRAS",38
"SP1",38
"STAT5A",38
"FOXM1",38
"SDHC",38
"TNF",38
"NR5A1",38
