"node","cluster"
"RPS23",1
"RPL4",1
"RPL7",1
"RPS2",1
"MYBBP1A",1
"RPL18",1
"RPL37A",1
"RPS23",2
"RPS9",2
"RPS2",2
"RPS21",2
"CSNK1E",2
"RPL35",3
"RPL30",3
"HINT1",3
"FAU",3
"RPLP0",3
"RPS21",3
"RPL11",3
"RPL15",3
"RPS2",4
"RPS21",4
"ELAVL3",4
"FAU",4
"SCTR",5
"ADCY1",5
"GPR20",5
"P2RY11",5
"HTR4",5
"FSHR",5
"CACNA1H",6
"RASGRP2",6
"CACNA2D4",6
"CACNA1A",6
"WNT3",7
"WNT10B",7
"PORCN",7
"WNT11",7
"RPL35",8
"RPL8",8
"RPL37",8
"RPL30",8
"RPS23",8
"MRPL16",8
"RPS9",8
"EEF2",8
"RPL15",8
"RPL4",8
"RPLP2",8
"EIF4A2",8
"EEF1G",8
"RPL7",8
"RPL36AL",8
"RPL27A",8
"RPL11",8
"RPL13A",8
"GSPT2",8
"RPL37A",8
"RPS2",8
"RPLP0",8
"RPL14",8
"RPL32",8
"EIF5A",8
"RPL18",8
"RPL10",8
"FAU",8
"RPL35",9
"RPL8",9
"RPL37",9
"RPL30",9
"RPN1",9
"RPS23",9
"RPS9",9
"RPL15",9
"RPL4",9
"RPLP2",9
"RPLP0",9
"RPL7",9
"RPL10",9
"RPS2",9
"RPL14",9
"RPS21",9
"RPL36AL",9
"RPL27A",9
"RPL11",9
"DDOST",9
"RPL18",9
"RPL13A",9
"RPL37A",9
"RPL41",9
"RPL32",9
"EXOSC5",10
"RPL7",10
"RPL27A",10
"RPL11",10
"RPLP2",10
"RPS9",10
"RPS2",10
"RPL4",10
"RPL18",10
"RPL15",10
"RPL13A",10
"MPHOSPH6",10
"RPL41",10
"RPLP0",10
"RPL35",10
"RPL30",10
"RPL14",10
"RPL32",10
"RPL8",10
"EXOSC7",10
"EXOSC3",10
"RPL10",10
"RPL37",10
"RPL37A",10
"CFP",11
"ADAMTSL2",11
"ADAMTS4",11
"ADAMTS13",11
"EXOSC5",12
"EXOSC7",12
"EXOSC3",12
"KPNA6",12
"RPL11",12
"RELB",13
"NFKBIB",13
"NFKB2",13
"CORT",13
"EEF2",14
"RPL4",14
"EEF1G",14
"EIF5A",14
"RPLP0",14
"GSPT2",14
"RPS2",14
"PGK1",14
"RPL13A",14
"RPL11",14
"SCTR",15
"P2RY11",15
"HTR4",15
"GPR20",15
"FSHR",15
"TSSC4",16
"IGF2R",16
"CDKN1C",16
"COMP",17
"AMBP",17
"RAB5C",17
"MCL1",17
"NDP",17
"WNT3",18
"GBX2",18
"MSX1",18
"EVX1",18
"COMP",19
"AMBP",19
"SH3GL1",19
"HINT1",19
"UQCRC2",20
"COX5A",20
"NDUFV1",20
"MDH2",20
"SDHC",20
"UBE2R2",21
"RPLP0",21
"UBE2V1",21
"MIB2",21
"FAU",21
"COMP",22
"UNG",22
"SH3GL1",22
"MCL1",22
"STAT3",23
"STAT5A",23
"STAT4",23
"PIAS3",23
"RPL8",24
"MRPL17",24
"MRPL16",24
"RPL4",24
"RPL27A",24
"MRPL21",24
"RPL13A",24
"PSTPIP1",24
"NPY",25
"PF4",25
"GNB2",25
"GNAI2",25
"NPW",25
"GRM4",25
"GNB1",25
"CXCR4",25
"CORT",25
"GRN",26
"AKT1",26
"ITGA2B",26
"TNF",26
"EXOSC5",27
"EXOSC7",27
"EXOSC3",27
"ZFP36L1",27
"KHSRP",27
"TXN2",28
"EEF2",28
"SEC61A1",28
"RPL8",28
"NPY",29
"PNMT",29
"DBH",29
"TH",29
"CHDH",30
"ECHS1",30
"HSD17B1",30
"ACTA2",31
"SRF",31
"SP1",31
"ACTA1",31
"MYL2",32
"ACTN4",32
"MYL3",32
"ACTA1",32
"MIB2",32
"MYL6",32
"PPIB",33
"ISYNA1",33
"ECHS1",33
"CD79A",34
"VWF",34
"COX5A",34
"WDTC1",34
"JOSD1",35
"CHCHD4",35
"TIMM8A",35
"CDA",35
"ACTN4",36
"UQCRC2",36
"NDUFB10",36
"TPM2",36
"TYRO3",37
"KCNE1",37
"TH",37
"MICAL1",37
"CYBA",38
"HRAS",38
"TNF",38
"VAV1",38
"AKT1",38
"HRK",39
"BAD",39
"BID",39
