"node","cluster"
"RPS23",1
"RPS9",1
"RPS2",1
"RPS21",1
"CSNK1E",1
"CHPF",2
"B3GAT3",2
"EXT2",2
"ALAS2",3
"SARDH",3
"GCAT",3
"EXOSC5",4
"EXOSC7",4
"EXOSC3",4
"KPNA6",4
"RPL11",4
"RELB",5
"NFKBIB",5
"NFKB2",5
"CORT",5
"POLR2L",6
"ZMAT5",6
"GTF2F1",6
"LSM2",6
"UNC93A",7
"KCNK9",7
"KCNK3",7
"PPIB",8
"CRTAP",8
"COL9A3",8
"IRF3",9
"IRF7",9
"TRIM46",9
"HLA-DRA",9
"HLA-DRB1",9
"IFI30",9
"HLA-DQA2",9
"HLA-G",9
"IRF2",9
"WNT3",10
"WNT10B",10
"WNT11",10
"TCF7",10
"KRTAP11-1",11
"KRTAP6-2",11
"KRTAP23-1",11
"KRTAP19-6",11
"KRTAP6-3",11
"P2RX3",12
"P2RY11",12
"ENTPD2",12
"HRK",13
"BAD",13
"BID",13
"MCL1",13
"BBC3",13
"CYBA",14
"HRAS",14
"TNF",14
"VAV1",14
"AKT1",14
"USP2",15
"RHPN1",15
"ZFYVE1",15
"CD63",16
"VAMP8",16
"LAMP1",16
"TGOLN2",16
"IGF2R",16
"ITGB4",17
"COMP",17
"ITGA2B",17
"COL9A3",17
"SPI1",18
"STAT3",18
"AKT1",18
"IL32",18
"TNF",18
"ACTA2",19
"TNNI2",19
"TUBB2B",19
"MYO1A",19
"CALB2",19
"ACTA1",19
"OBSCN",19
"TUBB",19
"TNNI1",19
"MYO18B",19
"AKT1",20
"TH",20
"SQSTM1",20
"AKT1",21
"CRTC2",21
"CREB3L1",21
"PI3",22
"TYRO3",22
"SH3GL1",22
"CTNNBL1",22
"CENPH",23
"NPM1",23
"PLK1",23
"HIST1H2AC",23
"HDAC3",24
"HIST1H2AC",24
"BCL9L",24
"TCF7",24
"ANXA11",25
"NDUFV1",25
"SLC9A3R2",25
"FFAR2",26
"PLCB2",26
"PLCB3",26
"PROK2",26
"GNB1",26
"UTS2R",26
"GNB2",26
"P2RY11",26
"PDCL3",27
"TUBB",27
"PLP2",27
"CFP",28
"THSD1",28
"ADAMTS4",28
"ADAMTS13",28
"PIAS1",29
"UBE2R2",29
"RANGAP1",29
"PPIB",30
"ISYNA1",30
"ECHS1",30
"PKMYT1",31
"PLK1",31
"TBC1D2B",31
"DUSP23",31
"CABP2",32
"CALB2",32
"CALML5",32
"POR",32
"KIF1A",33
"PPFIA3",33
"GIT1",33
"CALB2",34
"FGF8",34
"NES",34
"TH",34
"MYL2",35
"TNNI2",35
"TNNT3",35
"MYL3",35
"TCAP",35
"MYO18B",35
"TNNI1",35
"TPM2",35
"ACTA1",35
"TNNT2",35
"MYL6",35
"KLC2",36
"OSBPL1A",36
"DYNC1H1",36
"HLA-DRB1",36
"HLA-DMA",36
"HLA-DQA2",36
"HLA-DRA",36
"CD22",37
"CD79A",37
"TRAF5",37
"TNFRSF13B",37
"TNF",37
"MYL2",38
"ACTN4",38
"MYL3",38
"PLK1",38
"ACTA1",38
"MIB2",38
"MYL6",38
"ACTN4",39
"UQCRC2",39
"NDUFB10",39
"TPM2",39
"ACTA2",40
"ACTN4",40
"TNNI2",40
"TUBB2B",40
"PLK1",40
"MYO1A",40
"MYO18B",40
"TNNI1",40
"TUBB",40
"ACTA1",40
"CALML5",40
"SF3A2",41
"LSM7",41
"RPL37",41
