"node","cluster"
"RPS23",1
"RPS9",1
"RPS2",1
"RPS21",1
"CSNK1E",1
"CTSH",2
"HLA-DRB1",2
"HLA-DQA2",2
"HLA-DRA",2
"NPM1",3
"RPL37A",3
"RPL14",3
"RPL11",3
"RPL4",3
"RPL13A",3
"EXOSC5",4
"EXOSC7",4
"EXOSC3",4
"KPNA6",4
"RPL11",4
"KRTAP11-1",5
"KRTAP6-2",5
"KRTAP23-1",5
"KRTAP19-6",5
"KRTAP6-3",5
"MYO1A",6
"ARPC4",6
"RAB5B",6
"ARPC5",6
"TIMM13",7
"CHCHD4",7
"TIMM8A",7
"IRF3",8
"IRF7",8
"TRIM46",8
"HLA-DRA",8
"HLA-DRB1",8
"IFI30",8
"HLA-DQA2",8
"HLA-G",8
"IRF2",8
"IRF3",9
"IRF7",9
"TRIM3",9
"HLA-DRA",9
"HLA-DQA2",9
"IRF2",9
"HLA-DRB1",9
"HLA-G",9
"IFI30",9
"RPL8",10
"MRPL17",10
"MRPL16",10
"RPL4",10
"RPL27A",10
"MRPL21",10
"RPL13A",10
"PSTPIP1",10
"MARS",11
"EEF2",11
"RPL4",11
"EEF1G",11
"EIF5A",11
"RPLP0",11
"GSPT2",11
"RPS2",11
"PGK1",11
"RPL13A",11
"RPL11",11
"COMP",12
"AMBP",12
"SH3GL1",12
"TNIP1",12
"SEC61A1",13
"UQCRC2",13
"DDOST",13
"RPL7",13
"RPN1",13
"UQCRQ",13
"TXN2",14
"CLPP",14
"MDH2",14
"UNC93A",15
"KCNK9",15
"KCNK3",15
"RPL35",16
"MARS",16
"RPL8",16
"RPL37",16
"RPL30",16
"RPS23",16
"MRPL16",16
"RPS9",16
"EEF2",16
"MRPS12",16
"RPL15",16
"RPL4",16
"RPLP2",16
"EIF4A2",16
"EEF1G",16
"RPLP0",16
"RPL7",16
"GSPT2",16
"RPL10",16
"RPS2",16
"RPL14",16
"RPS21",16
"RPL27A",16
"RPL11",16
"RPL13A",16
"RPL32",16
"RPL37A",16
"RPL41",16
"FAU",16
"RPL18",16
"CABP2",17
"CALB2",17
"CALML5",17
"POR",17
"EXOSC5",18
"EXOSC7",18
"EXOSC3",18
"ZFP36L1",18
"KHSRP",18
"PI3",19
"TYRO3",19
"SH3GL1",19
"CTNNBL1",19
"USP2",20
"FAU",20
"ZFYVE1",20
"ACTA2",21
"HK3",21
"ACTA1",21
"PGK1",21
"SPI1",22
"STAT3",22
"AKT1",22
"IL32",22
"TNF",22
"MRPL17",23
"RPS23",23
"MRPL16",23
"MRPS12",23
"MRPS24",23
"MRPL52",23
"MRPL21",23
"P2RX3",24
"P2RY11",24
"ENTPD2",24
"COMP",25
"ZBTB32",25
"AMBP",25
"TYRO3",25
"NES",25
"SH3GL1",25
"MCL1",25
"NDP",25
"HELT",25
"TUBB2B",26
"CABP2",26
"EEF2",26
"EEF1G",26
"TUBB",26
"CALML5",26
"PI3",27
"IL13",27
"SERPINB5",27
"TNF",27
"HDAC3",28
"HIST1H2AC",28
"BCL9L",28
"TCF7",28
"ITGB4",29
"COMP",29
"LAMA5",29
"ITGA2B",29
"COL9A3",29
"CD63",30
"VAMP8",30
"LAMP1",30
"TGOLN2",30
"IGF2R",30
"CFP",31
"ADAMTSL2",31
"ADAMTS4",31
"ADAMTS13",31
"SPI1",32
"EGR1",32
"STAT3",32
"SRF",32
"AKT1",32
"ANXA5",32
"HRAS",32
"SP1",32
