topology,subject,measure,ontology,edge,node,cluster
string,mets,Resnik,MF,24,29,9 
string,mets,Resnik,BP,19,24,6 
string,mets,Resnik,CC,21,26,6 
string,mets,Lin,MF,24,29,9 
string,mets,Lin,BP,19,24,7 
string,mets,Lin,CC,21,26,7 
string,mets,Rel,MF,24,29,9 
string,mets,Rel,BP,19,24,7 
string,mets,Rel,CC,21,26,7 
string,mets,Jiang,MF,24,29,10 
string,mets,Jiang,BP,20,25,8 
string,mets,Jiang,CC,21,26,7 
string,mets,Wang,MF,25,29,8 
string,mets,Wang,BP,23,28,7 
string,mets,Wang,CC,21,26,7 
string,t2d,Resnik,MF,122,84,20 
string,t2d,Resnik,BP,140,95,21 
string,t2d,Resnik,CC,145,100,21 
string,t2d,Lin,MF,122,84,16 
string,t2d,Lin,BP,140,95,20 
string,t2d,Lin,CC,145,100,22 
string,t2d,Rel,MF,122,84,16 
string,t2d,Rel,BP,140,95,21 
string,t2d,Rel,CC,145,100,21 
string,t2d,Jiang,MF,139,93,18 
string,t2d,Jiang,BP,132,89,20 
string,t2d,Jiang,CC,145,100,23 
string,t2d,Wang,MF,142,97,19 
string,t2d,Wang,BP,141,97,21 
string,t2d,Wang,CC,145,100,20 
string,cad,Resnik,MF,6910,915,118 
string,cad,Resnik,BP,7173,903,94 
string,cad,Resnik,CC,7208,931,111 
string,cad,Lin,MF,6910,915,111 
string,cad,Lin,BP,7173,903,93 
string,cad,Lin,CC,7208,931,106 
string,cad,Rel,MF,6910,915,120 
string,cad,Rel,BP,7173,903,95 
string,cad,Rel,CC,7208,931,108 
string,cad,Jiang,MF,7213,922,100 
string,cad,Jiang,BP,7139,910,94 
string,cad,Jiang,CC,7334,935,99 
string,cad,Wang,MF,7320,939,108 
string,cad,Wang,BP,7331,925,98 
string,cad,Wang,CC,7415,938,106 
inet,mets,Resnik,MF,36,24,8 
inet,mets,Resnik,BP,36,24,7 
inet,mets,Resnik,CC,34,21,6 
inet,mets,Lin,MF,36,24,4 
inet,mets,Lin,BP,36,24,6 
inet,mets,Lin,CC,34,21,6 
inet,mets,Rel,MF,36,24,4 
inet,mets,Rel,BP,36,24,6 
inet,mets,Rel,CC,34,21,6 
inet,mets,Jiang,MF,36,24,6 
inet,mets,Jiang,BP,36,24,6 
inet,mets,Jiang,CC,34,21,5 
inet,mets,Wang,MF,36,24,5 
inet,mets,Wang,BP,36,24,5 
inet,mets,Wang,CC,34,21,5 
inet,t2d,Resnik,MF,38,48,12 
inet,t2d,Resnik,BP,46,48,12 
inet,t2d,Resnik,CC,49,51,12 
inet,t2d,Lin,MF,38,48,12 
inet,t2d,Lin,BP,46,48,11 
inet,t2d,Lin,CC,49,51,12 
inet,t2d,Rel,MF,38,48,12 
inet,t2d,Rel,BP,46,48,12 
inet,t2d,Rel,CC,49,51,12 
inet,t2d,Jiang,MF,46,49,11 
inet,t2d,Jiang,BP,34,45,11 
inet,t2d,Jiang,CC,49,51,12 
inet,t2d,Wang,MF,46,49,11 
inet,t2d,Wang,BP,47,50,11 
inet,t2d,Wang,CC,49,51,12 
inet,cad,Resnik,MF,11258,788,78 
inet,cad,Resnik,BP,11130,786,74 
inet,cad,Resnik,CC,11604,802,85 
inet,cad,Lin,MF,11258,788,86 
inet,cad,Lin,BP,11130,786,76 
inet,cad,Lin,CC,11604,802,81 
inet,cad,Rel,MF,11258,788,82 
inet,cad,Rel,BP,11130,786,72 
inet,cad,Rel,CC,11604,802,81 
inet,cad,Jiang,MF,11454,793,78 
inet,cad,Jiang,BP,11003,786,72 
inet,cad,Jiang,CC,11644,807,79 
inet,cad,Wang,MF,11576,802,81 
inet,cad,Wang,BP,11503,796,77 
inet,cad,Wang,CC,11710,808,81 
